name,country,city,businessType
INTRASOFT INTERNATIONAL SA,Luxembourg,LUXEMBOURG,Private for-profit entities (excluding Higher or Secondary Education Establishments)
LUXEMBOURG INSTITUTE OF HEALTH,Luxembourg,LUXEMBOURG,Research Organisations
FORUM EUROPEEN DES PATIENTS (FPE),Luxembourg,LUXEMBOURG,Other
POST LUXEMBOURG,Luxembourg,LUXEMBOURG,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SEC CONSULT (LUXEMBOURG) SARL,Luxembourg,ESCH-SUR-ALZETTE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
WAVESTONE LUXEMBOURG SA,Luxembourg,LEUDELANGE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UNIVERSITE DU LUXEMBOURG,Luxembourg,ESCH-SUR-ALZETTE,Higher or Secondary Education Establishments
EUROPEAN DYNAMICS LUXEMBOURG SA,Luxembourg,LUXEMBOURG,Private for-profit entities (excluding Higher or Secondary Education Establishments)
LUXEMBOURG INSTITUTE OF SCIENCE AND TECHNOLOGY,Luxembourg,ESCH SUR ALZETTE,Research Organisations
EVVOS SA,Luxembourg,HESPERANGE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
EUROPEAN UNIVERSITY FOUNDATION-CAMPUS EUROPAE,Luxembourg,MUNSBACH,Other
DELPHI AUTOMOTIVE SYSTEMS LUXEMBOURG SA,Luxembourg,BASCHARAGE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
FONDS NATIONAL DE LA RECHERCHE,Luxembourg,ESCH-SUR-ALZETTE,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
AGENCE EUROPEENNE POUR L'INFORMATION ET LE CONSEIL DES JEUNES ASBL,Luxembourg,LUXEMBOURG,Other
E-CONTENT STORE,Luxembourg,CAPPELLEN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
INCITES CONSULTING SARL,Luxembourg,LUXEMBOURG,Private for-profit entities (excluding Higher or Secondary Education Establishments)
