name,country,city,businessType
Institut Pasteur de Madagascar,Madagascar,ANTANANARIVO,Research Organisations
INSTITUT NATIONAL DE LA STATISTIQUE,Madagascar,Antananrivo 101,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
Institut National de Sante Publique et Communautaire,Madagascar,Antananarivo,Higher or Secondary Education Establishments
UNIVERSITE CATHOLIQUE DE MADAGASCAR,Madagascar,ANTANANARIVO,Higher or Secondary Education Establishments
UNIVERSITY OF ANTANANARIVO,Madagascar,Antananarivo,Higher or Secondary Education Establishments
Etablissement d'Enseignement SupÃ©rieur des Sciences,Madagascar,Antananarivo,Unknown
Centre National de la Recherche AppliquÃ©e au Developpement Rural,Madagascar,Antananarivo,Unknown
UniversitÃ© d'Antananarivo,Madagascar,Antananarivo,Unknown
Recherche AppliquÃ©e Ã  Madagascar sur la SantÃ© de l'Environnement,Madagascar,Antananarivo,Unknown
INSTITUT PASTEUR DE MADAGASCAR,Madagascar,ANTANANARIVO,Unknown
CENTRE D'INFORMATION TECHNIQUE ET ECONOMIQUE,Madagascar,ANTANANARIVO,Unknown
CENTRE NATIONAL DE LA RECHERCHE APPLIQUEE AU DEVELOPPEMENT RURAL,Madagascar,ANTANANARIVO,Unknown
UNIVERSITÃ D'ANTANANARIVO- FACULTÃ DES SCIENCES,Madagascar,ANTANANARIVO,Unknown
CENTRE NATIONAL DE LA RECHERCHE APPLIQUEE AU DEVELOPPEMENT RURAL,Madagascar,Antananarivo,Research Organisations
SOABE Partner SARL - Societe Agricole de Befandriana-Sud et Partners,Madagascar,Ambohidratrimo,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"DIRECTION OF RESEARCH, MINISTRY OF NATIONAL EDUCATION AND SCIENTIFIC RESEARCH (DR-MENRS)",Madagascar,ANTANANARIVO,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
