name,country,city,businessType
UNIVERSITY OF MALAWI,Malawi,ZOMBA,Higher or Secondary Education Establishments
BAOBAB HEALTH TRUST,Malawi,LILONGWE,Other
THE REGISTERED TRUSTEES OF THE RESEARCH FOR EQUITY AND COMMUNITY HEALTH TRUST,Malawi,LILONGWE,Research Organisations
"SOILS, FOOD AND HEALTHY COMMUNITIES(SFHC) LIMITED",Malawi,EKWENDENI,Other
"MINISTRY OF EDUCATION, SCIENCE AND TECHNOLOGY",Malawi,CAPITAL HILL CIRCLE,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
Tea Research Foundation of Central Africa,Malawi,Lilongwe,Unknown
University of Malawi,Malawi,Blantyre,Unknown
Ministry of Agriculture,Malawi,Bvumbwe,Unknown
University of Malawi,Malawi,Lilongwe,Unknown
Forestry Research Institute of Malawi,Malawi,Zomba,Unknown
LEPRA Malawi - Leprosy Relief Association,Malawi,Chilumba,Unknown
University of Malawi,Malawi,Zomba,Unknown
Ministry of Natural Resources - Malawi Government,Malawi,Monkey Bay,Unknown
University of Malawi,Malawi,Blantyre - Chichiri,Unknown
UNIVERSITY OF MALAWI,Malawi,BLANTYRE,Unknown
DEPARTMENT OF FISHERIES,Malawi,LILONGWE,Unknown
LILONGWE CENTRAL HOSPITAL,Malawi,LILONGWE,Unknown
UNIVERSITY OF MALAWI,Malawi,ZOMBA,Unknown
DEPARTMENT OF FISHERIES - MALAWI,Malawi,LILONGWE,Unknown
UNIVERSITY OF MALAWI BUNDA COLLEGE,Malawi,LILONGWE,Unknown
CENTRE FOR TICKS AND TICK-BORNE DISEASES,Malawi,LILONGWE,Unknown
"COLLEGE OF MEDICINE, UNIVERSITY OF MALAWI",Malawi,BLANTYRE,Unknown
CENTRE FOR SOCIAL RESEARCH,Malawi,ZOMBA,Unknown
CITIZENS FOR JUSTICE,Malawi,LILONGWE,Other
Malawi Ministry of Health,Malawi,Lilongwe,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
THE REGISTERED TRUSTEES OF THE PARENT AND CHILD HEALTH INITIATIVE TRUST,Malawi,LILONGWE,Higher or Secondary Education Establishments
THE REGISTERED TRUSTEES OF THE UNGWERU,Malawi,MZUZU,Other
MZUZU UNIVERSITY,Malawi,MZUZU,Higher or Secondary Education Establishments
