name,country,city,businessType
CROPS FOR THE FUTURE RESEARCH CENTRE,Malaysia,SELANGOR,Research Organisations
UNIVERSITI TEKNOLOGI MALAYSIA,Malaysia,JOHOR BAHRU,Higher or Secondary Education Establishments
UNIVERSITI TEKNOLOGI MARA (UTM),Malaysia,SHAH ALAM SELANGOR,Higher or Secondary Education Establishments
HENG HIAP INDUSTRIES SDN BHD,Malaysia,JOHOR,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UNIVERSITI PUTRA MALAYSIA,Malaysia,SELANGOR DARUL EHSAN,Higher or Secondary Education Establishments
UNIVERSITY OF MALAYA,Malaysia,KUALA LUMPUR,Higher or Secondary Education Establishments
UNIVERSITI KEBANGSAAN MALAYSIA,Malaysia,SELANGOR DARUL EHSAN,Higher or Secondary Education Establishments
CHONG TON SIN,Malaysia,PETALING JAYA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
Universiti Malaysia Sarawak,Malaysia,KOTA SAMARAHAN,Higher or Secondary Education Establishments
UNIVERSITI MALAYSIA PERLIS,Malaysia,KANGAR PERLIS,Higher or Secondary Education Establishments
Centre for Nuclear Diagnostic Imaging,Malaysia,Seri Kembangan,Higher or Secondary Education Establishments
UNIVERSITI SAINS MALAYSIA*,Malaysia,PENANG,Higher or Secondary Education Establishments
MONASH UNIVERSITY MALAYSIA SDN BHD,Malaysia,BANDAR SUNWAY,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UNIVERSITY MALAYSIA PAHANG,Malaysia,KUANTAN PAHANG,Higher or Secondary Education Establishments
INTERNATIONAL CENTER FOR LIVING AQUATIC RESOURCES,Malaysia,BAYAN LEPAS,Research Organisations
UNIVERSITI MALAYSIA TERENGGANU,Malaysia,KUALA TERENGGANU,Higher or Secondary Education Establishments
CYBERSECURITY MALAYSIA,Malaysia,SERI KEMBANGAN,Research Organisations
INSTITUTE OF TECHNOLOGY PETRONAS SDN BHD,Malaysia,BANDAR SERI ISKANDAR,Private for-profit entities (excluding Higher or Secondary Education Establishments)
Forest Research Institute Malaysia,Malaysia,Kepong - Kuala-Lumpur,Unknown
UM Malaysia,Malaysia,Kuala-Lumpur,Unknown
University Pertanian Malaysia,Malaysia,Selangor,Unknown
Palm Oil Research Institute of Malaysia,Malaysia,Kuala-Lumpur,Unknown
Forest Research Center Sandakan - Forestry Department Sabah,Malaysia,Sandakan,Unknown
University Pertanian Malaysia,Malaysia,Serdang Selangor,Unknown
Innoprise Corporation SDN BHD,Malaysia,Tawau,Unknown
Malaysian Agricultural Research and Development Institute,Malaysia,Kuala-Lumpur,Unknown
University of Malaya,Malaysia,Kuala-Lumpur,Unknown
Universiti Kebangsaan Malaysia,Malaysia,Kuala Lumpur,Unknown
University Sains Malaysia,Malaysia,Penang,Unknown
Forest Research Institute Malaysia,Malaysia,KEPONG /KUALA-LUMPUR,Unknown
Innoprise Corporation SDN BHD,Malaysia,Kota Kinabalu,Unknown
Malaysian Centre for Remote Sensing,Malaysia,Kuala Lumpur,Unknown
UNIVERSITY SAINS MALAYSIA,Malaysia,PENANG,Unknown
Universiti Putra Malaysia,Malaysia,Serdang Selangor,Unknown
UNIVERSITY TEKNOLOGI MARA,Malaysia,SHAH ALAM,Unknown
MALAYSIAN PALM OIL BOARD,Malaysia,KUALA LUMPUR,Unknown
UNIVERSITI PUTRA MALAYSIA,Malaysia,SELANGOR,Unknown
UNIVERSITY MALAYSIA SARAWAK,Malaysia,SARAWAK,Unknown
MALAYSIAN AGRICULTURAL RESEARCH AND DEVELOPMENT INSTITUTE,Malaysia,KUALA LUMPUR,Unknown
CENTRE OF EDUCATION AND TRAINING OF RENEWABLE ENERGY AND ENERGY EFFICIENCY,Malaysia,PENENG,Unknown
CENTRE FOR EDUCATION AND TRAINING IN RENEWABLE ENERGY AND ENERGY EFFICIENCY,Malaysia,PENANG,Unknown
MALAYSIAN INSTITUTE FOR NUCLEAR TECHNOLOGY RESEARCH,Malaysia,"KAJANG, SELANGOR DARUL EHSAN",Unknown
UNIVERSITI SAINS MALAYSIA,Malaysia,,Unknown
UNIVERSITI MALAYSIA SARAWAK,Malaysia,SARAWAK,Unknown
UNIVERSITI SAINS MALAYSIA,Malaysia,PENANG,Unknown
UNIVERSITI SAINS MALAYSIA,Malaysia,PULAU PINANG,Unknown
DAMAI SCIENCES SDN BHD LTD,Malaysia,KUALA LUMPUR,Unknown
UNIVERSITI MALAYSIA SARAWAK,Malaysia,KOTA SAMARAHAN,Unknown
UNIVERSITY TECHNOLOGY MALAYSIA,Malaysia,"SKUDAI CAMPUS, JOHOR",Unknown
MIMOS BERHAD,Malaysia,KUALA LUMPUR,Unknown
UNIVERSITY OF MALAYA,Malaysia,KUALA LUMPUR,Unknown
MALAYSIAN INSTITUTE OF MICROELECTRONIC SYSTEMS,Malaysia,Kuala Lumpur,Unknown
PUSAT TENAGA MALAYSIA,Malaysia,SERI KEMBANGAN,Unknown
MIMOS BERHAD,Malaysia,KUALA LUMPUR,Research Organisations
UNIVERSITY OF NOTTINGHAM IN MALAYSIA,Malaysia,KUALA LUMPUR,Higher or Secondary Education Establishments
MINISTRY OF SCIENCE TECHNOLOGY AND INNOVATION,Malaysia,PUTRAJAYA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
MINISTRY OF AGRICULTURE AND AGRO-BASED INDUSTRY,Malaysia,PUTRAJAYA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
SIRIM BERHAD,Malaysia,SHAH ALAM SELANGOR DARUL EHSAN,Research Organisations
CUSTOMMEDIA SDN BHD,Malaysia,BUKIT JALIL (KUALA LUMPUR),Private for-profit entities (excluding Higher or Secondary Education Establishments)
MULTIMEDIA DEVELOPMENT CORPORATIONSDN BHD LTD,Malaysia,Cyberjaya,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MALAYSIAN AGRI HI TECH SDN BHD,Malaysia,SELANGOR,Private for-profit entities (excluding Higher or Secondary Education Establishments)
WORLD ASSOCIATION OF INDUSTRIAL AND TECHNOLOGICAL RESEARCH ORGANIZATIONS,Malaysia,Shah Alam,Other
KOLEJ TUNKU ABDUL RAHMAN,Malaysia,KUALA LUMPUR,Higher or Secondary Education Establishments
AQUAKIMIA SDN BHD,Malaysia,SUBANG JAYA SELANGOR,Private for-profit entities (excluding Higher or Secondary Education Establishments)
