name,country,city,businessType
INSTITUT NATIONAL DE LA STATISTIQUE,Mali,BAMAKO,Research Organisations
Point Sud,Mali,Bamako,Higher or Secondary Education Establishments
UNIVERSITE DES SCIENCES JURIDIQUES ET POLITIQUES DE BAMAKO,Mali,BAMAKO,Higher or Secondary Education Establishments
UNIVERSITE DES SCIENCES DES TECHNIQUES ET DES TECHNOLOGIES DE BAMAKO,Mali,BAMAKO,Higher or Secondary Education Establishments
AOPP,Mali,Bamako,Other
INSTITUT D'ECONOMIE RURALE,Mali,BAMAKO,Higher or Secondary Education Establishments
INSTITUT POLYTECHNIQUE RURAL DE FORMATION ET DE RECHERCHE APPLIQUEE,Mali,KATIBOUGOU,Research Organisations
Institut National pour la Recherche Zootechnique,Mali,Bamako,Unknown
"Institut du Sahel, CILSS",Mali,Bamako,Unknown
Laboratoire Central VÃ©tÃ©rinaire,Mali,Bamako,Unknown
INSTITUT D'ECONOMIE RURALE,Mali,BAMAKO,Unknown
Institut d'Economie Rurale,Mali,Bamako,Unknown
Ecole Nationale de MÃ©decine et de Pharmacie,Mali,Bamako,Unknown
Institut Polytechnique Rural de Katibougou,Mali,Koulikoro,Unknown
INSTITUT NATIONAL DE RECHERCHES EN SANTE PUBLIQUE,Mali,BAMAKO,Unknown
MinistÃšre de la SantÃ© de la SolidaritÃ© et des Personnes AgÃ©es,Mali,Bamako,Unknown
UNIVERSITE DU MALI,Mali,BAMAKO,Unknown
Centre National de l'Energie Solaire et des Energies Renouvelables,Mali,Bamako,Unknown
UniversitÃ© du Mali,Mali,Bamako,Unknown
"Institut des Sciences Humaines - MinistÃšre des Enseignements Secondaire, SupÃ©rieur et de la Recherche Scientifique",Mali,Bamako,Unknown
Ministere Developpement Rural et Environment - Mali,Mali,Bamako,Unknown
Institut National de Recherches en SantÃ© Publique,Mali,Bamako,Unknown
Cabinet d'Etude Keita Kala Saba,Mali,Bamako,Unknown
INSTITUT D'ECONOMIE RURALE (IER),Mali,BAMAKO 01,Unknown
CENTRE UNIVERSITAIRE MANDE BUKARI,Mali,BAMAKO,Unknown
INTERNATIONAL CROPS RESEARCH INSTITUTE FOR THE SEMI ARID TROPICS,Mali,BAMAKO,Unknown
DIRECTION NATIONALE DE LA METEOROLOGIE DU MALI,Mali,BAMAKO,Unknown
MINISTRY OF ENVIRONMENT MALI,Mali,BAMAKO,Unknown
CENTRAL VETERINARY LABORATORY,Mali,BAMAKO,Unknown
INSTITUT D'ECONOMIE RURALE,Mali,BAMAKO SOTUBA,Unknown
INSTITUT D'ECONOMIE RURALE,Mali,SEGOU,Unknown
DELEGATION D' INTERCOOPERATION-SAHEL,Mali,BAMAKO,Unknown
ASSOCIATION SANTE COMMUNAUTAIRE BANCONI,Mali,BAMAKO,Unknown
ASSOCIATION MALI - FOLKECENTER,Mali,BAMAKO,Unknown
UNIVERSITE DE BAMAKO,Mali,BAMAKO,Unknown
FOUNDATION MERIEUX MALI,Mali,BAMAKO,Unknown
INSTITUTE OF RURAL ECONOMY / INTSTITUT D'ECONOMIE RURALE,Mali,BAMAKO,Unknown
INSTITUT D ECONOMIE RURALE,Mali,SIKASSO,Unknown
BUREAU OUEST AFRICAIN D'APPUI ORGANISATIONNEL ET DE TECHNOLOGIES APPROPRIEES-BOATA,Mali,BAMAKO,Unknown
Institut National de Recherche en SantÃ© Publique,Mali,BAMAKO,Unknown
"MALARIA RESEARCH AND TRAINING CENTER, DEAP, FMPOS, U. OF BAMAKO, MALI",Mali,BAMAKO,Unknown
"WORLD AGROFORESTRY CENTRE (ICRAF), SAHEL REGIONAL PROGRAMME",Mali,BAMAKO,Unknown
UNIVERSITÃ DU MALI,Mali,BAMAKO,Unknown
LABORATOIRE CENTRAL VETERINAIRE BAMAKO,Mali,BAMAKO,Unknown
Laboratoire Central Veterinaire,Mali,Bamako,Research Organisations
SAHEL ECO,Mali,Bamako,Other
INSTITUT NATIONAL DE RECHERCHE EN SANTE PUBLIQUE INRSP,Mali,Bamako,Research Organisations
UNIVERSITE DE BAMAKO,Mali,BAMAKO,Higher or Secondary Education Establishments
AIDE AU DEVELOPPEMENT DE LA MEDECINE TRADITIONNELLE ASSOCIATION,Mali,Bamako,Research Organisations
Mali-Folkecenter Nyetaa,Mali,Bamako,Other
Coordination Nationale des Organisations Paysannes du Mali ASSOCIATION,Mali,Bamako,Other
MARIKANI,Mali,BAMAKO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
CENTRE D'APPUI A LA RECHERCHE ET A LA FORMATION GIE,Mali,BAMAKO,Research Organisations
