name,country,city,businessType
DIVERS ALERT NETWORK EUROPE FOUNDATION,Malta,TA XBIEZ,Research Organisations
UNIVERSITA TA MALTA,Malta,MSIDA,Higher or Secondary Education Establishments
MALTA COLLEGE OF ARTS SCIENCE AND TECHNOLOGY,Malta,PAOLA,Higher or Secondary Education Establishments
AUTHORITY FOR TRANSPORT IN MALTA,Malta,MARSA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
INBOUNDMUSE LTD,Malta,MARSASKALA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
OFFICE OF THE PRIME MINISTER,Malta,VALLETTA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
MINISTRY FOR EDUCATION AND EMPLOYMENT,Malta,Floriana,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
GO BEYOND LIMITED,Malta,QORMI,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ECOSTACK INNOVATIONS LIMITED,Malta,GUDJA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
GZIRA LOCAL COUNCIL,Malta,GZIRA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
THE COMMONWEALTH CENTRE FOR CONNECTED LEARNING FOUNDATION,Malta,FLORIANA,Other
AQUABIOTECH LIMITED,Malta,MOSTA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ENERGY AND WATER AGENCY,Malta,LUQA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
MALTA COMPETITION AND CONSUMER AFFAIRS AUTHORITHY,Malta,HAMRUN,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
MALTA INTELLIGENT ENERGY MANAGEMENT AGENCY,Malta,VALLETTA,Other
VALLETTA KUNSILLI LOKALI,Malta,VALLETTA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
MINISTRY OF TOURISM,Malta,VALLETTA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
WELLNESS SPA ITALY CO. LTD,Malta,BIRZEBBUGIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
THE MALTA CHAMBER OF COMMERCE AND ENTERPRISE ASSOCIATION,Malta,VALETTA,Other
MALTA BUSINESS FOUNDATION,Malta,BIRKIRKARA,Other
MALTA ENTERPRISE,Malta,PIETA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
WASTEWATER SCIENCE LIMITED,Malta,BALZAN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MALTA INFORMATION TECHNOLOGY AGENCY,Malta,BLATA L BAJDA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
MINISTRY FOR FINANCE AND FINANCIAL SERVICES,Malta,Valletta,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
REAQTA LTD,Malta,VALLETTA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
EPSILON MALTA LIMITED,Malta,SWATAR,Private for-profit entities (excluding Higher or Secondary Education Establishments)
Ministry for Health - Government of Malta,Malta,Valletta,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
"MINISTRY FOR TRANSPORT, INFRASTRUCTURE AND CAPITAL PROJECTS",Malta,Floriana,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
ATRIGA CONSULTING SERVICES LTD,Malta,PIETA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
WATER SERVICES CORPORATION - WSC,Malta,LUQA,Research Organisations
IXARIS SYSTEMS (MALTA) LIMITED,Malta,SAN GWANN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ACROSSLIMITS LTD,Malta,NAXXAR,Private for-profit entities (excluding Higher or Secondary Education Establishments)
THE PEOPLE FOR CHANGE FOUNDATION,Malta,SAN GWANN,Research Organisations
FLYING SQUIRREL GAMES MALTA LIMITED,Malta,ATTARD,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SAINT JAMES (CAPUA) HOSPITA LTD,Malta,Sliema,Private for-profit entities (excluding Higher or Secondary Education Establishments)
VRTRON LIMITED,Malta,MELLIEHA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MALTA MARITTIMA AGENCY,Malta,BLATA I BAJDA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
MALTA AIR TRAFFIC SERVICES LIMITED,Malta,LUQA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
PROJECTS IN MOTION LIMITED,Malta,MOSTA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
FINANCIAL INTELLIGENCE ANALYSIS UNIT,Malta,BIRKIRKARA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
THE MEDICINES AUTHORITY,Malta,SAN GWANN,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
