name,country,city,businessType
ECOPRODUCTORES DEL TROPICO HUMEDO,Mexico,JIUTEPEC ESTADO DE MORELOS,Other
Centro de Investigacion Cientifica de Yucatan A.C.,Mexico,"Mérida, Yucatán",Higher or Secondary Education Establishments
COLEGIO DE POSTGRADUADOS,Mexico,Texcoco,Higher or Secondary Education Establishments
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Mexico,MEXICO DISTRITO FEDERAL,Higher or Secondary Education Establishments
INSTITUTO MEXICANO DEL PETROLEO,Mexico,CIUDAD DE MEXICO,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
INSTITUTO POLITECNICO NACIONAL,Mexico,MEXICO DF,Higher or Secondary Education Establishments
UNIVERSIDAD AUTONOMA METROPOLITANA,Mexico,MEXICO CITY,Higher or Secondary Education Establishments
CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL INSTITUTO POLITECNICO NACIONAL,Mexico,MEXICO,Higher or Secondary Education Establishments
INSTITUTO NACIONAL DE INVESTIGACIONES NUCLEARES,Mexico,OCOYOACAC,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
INSTITUTO MEXICANO DEL SEGURO SOCIAL,Mexico,MEXICO CITY,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
INSTITUTO NACIONAL DE SALUD PUBLICA,Mexico,CUERNAVACA MORELOS,Research Organisations
INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,Mexico,MONTERREY NUEVO LEON,Higher or Secondary Education Establishments
"INFOTEC, CENTRO DE INVESTIGACION E INNOVACION EN TECNOLOGIAS DE LA INFORMACION Y COMUNICACION",Mexico,Mexico City,Research Organisations
CONSORCIO DE INVESTIGACION SOBRE VIH SIDA TB CISIDAT,Mexico,CUERNAVACA MORELOS,Research Organisations
INTERNET EDUCATION MEXICO,Mexico,MEXICO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
CORPORACION UNIVERSITARIA PARA EL DESARROLLO DE INTERNET AC,Mexico,CUAUHTEMOC,Other
AMIO INGENIEROS SOCIEDAD ANONIMA DECAPITAL VARIABLE,Mexico,LEON GUANAJUATO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MUNICIPIO DE LEON,Mexico,LEON DE LOS ALDAMAS,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
INSTITUTO MEXICANO DE TECNOLOGIA DEL AGUA,Mexico,JIUTEPEC,Research Organisations
Centro de Investigaciones en Optica A.C.,Mexico,León,Other
