name,country,city,businessType
Institutul de Ecologie si Geografie,Moldova,Chisinau,Research Organisations
SRL POLIVALENT-95,Moldova,CHISINAU,Private for-profit entities (excluding Higher or Secondary Education Establishments)
AGENTIA NATIONALA PENTRU CERCETARE SI DEZVOLTARE,Moldova,CHISINAU,Research Organisations
CENTRUL PROIECTE INTERNATIONALE,Moldova,CHISINAU,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
Wisdom,Moldova,Causeni,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"""INSTITUTIA MEDICO-SANITARA PUBLICA - INSTITUTUL DE FTIZIOPNEUMOLOGIE """"CHIRIL DRAGANIUC""""""",Moldova,CHISINAU,Research Organisations
INSTITUTUL DE FIZICA APLICATA,Moldova,CHISINAU,Research Organisations
SOCIETATEA CU RASPUNDERE LIMITATA SUNGA,Moldova,CEADIR-LUNGA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
FUNDATIA DAS - PENTRU O MOLDOVA BAZATA PE CUNOASTERE,Moldova,CHISINAU,Other
SERVICIUL DE PROTECTIE SI PAZA DE STAT,Moldova,CHISINAU,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
CENTRUL PENTRU FINANTAREA CERCETARII FUNDAMENTALE SI APLICATIVE,Moldova,CHISINAU,Research Organisations
DAS Solutions S.R.L.,Moldova,Chisinau,Private for-profit entities (excluding Higher or Secondary Education Establishments)
INTREPRINDEREA DE STAT PENTRU UTILI ZAREA SPATIULUI AERIAN SI DESERVIREA TRAFICULUI AERIAN MOLDATSA,Moldova,CHISINAU,Private for-profit entities (excluding Higher or Secondary Education Establishments)
RESEARCH AND EDUCATIONAL NETWORKING ASSOCIATION OF MOLDOVA,Moldova,CHISINAU,Other
ACADEMIA DE STIINTE A MOLDOVEI,Moldova,CHISINAU,Research Organisations
CAMERA DE COMERT SI INDUSTRIE A REPUBLICII MOLDOVA CCI RM,Moldova,CHISINAU,Other
ORGANIZATIA PENTRU DEZVOLTAREA SECTORULUI INTREPRINDERILOR MICI SI MIJLOCII,Moldova,CHISINAU,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
ASOCIATIA OBSTEASCA RETEAUA DE TRANSFER TEHNOLOGIC A MOLDOVEI,Moldova,CHISINAU,Other
AGENTIA PENTRU INOVARE SI TRANSFERTEHNOLOGIC,Moldova,CHISINAU,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
INSPECTORATUL GENERAL AL POLITIEI DE FRONTIERA AL MINISTERULUI AFACERILOR INTERNE,Moldova,CHISINAU,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
INTREPRINDEREA MIXTA UZINA TOPAZ SA,Moldova,CHISINAU,Private for-profit entities (excluding Higher or Secondary Education Establishments)
INSTITUTUL DE CHIMIE ACADEMIA DE STIINTE A MOLDOVEI,Moldova,CHISINAU,Research Organisations
ECOSORBENT LIMITED LIABILITY COMPANY,Moldova,CHISINAU,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"SOCIETATEA PSIHIATRILOR, NARCOLOGILOR, PSIHOTERAPEUTILOR SI PSIHOLOGILOR CLINICIENI DIN REPUBLICA MOLDOVA",Moldova,CHISINAU,Other
UNIVERSITATEA DE STAT DE MEDICINA SI FARMACIE NICOLAE TESTEMITANU DIN REPUBLICA MOLDOVA,Moldova,Chisinau,Higher or Secondary Education Establishments
INSTITUTUL PENTRU DEZVOLTARE SI INITIATIVE SOCIALE VIITORUL,Moldova,CHISINAU,Research Organisations
INSTITUTIA DE CERCETARE SI DEZVOLTARE DIN REPUBLICA MOLDOVA,Moldova,CHISINAU,Other
INSTITUTUL NATIONAL DE CERCETARI ECONOMICE AL ACADEMIEI DE STINTE A MOLDOVEI,Moldova,CHISINAU,Other
ASOCIATIA OBSTEASCA SANATATE PENTRU TINERI,Moldova,CHISINAU,Other
UNIVERSITATEA TEHNICA A MOLDOVEI,Moldova,Chisinau,Higher or Secondary Education Establishments
UNIVERSITATEA DE STAT DIN TIRASPOL,Moldova,CHISINAU,Higher or Secondary Education Establishments
INSTITUTULUI DE INGINERIE ELECTRONICA SI NANOTEHNOLOGII,Moldova,Chisinau,Higher or Secondary Education Establishments
ASOCIATA OBSTEASCA PROENTRANSE,Moldova,CHISNAU,Other
UNIVERSITATEA DE STAT DIN MOLDOVA,Moldova,CHISINAU,Higher or Secondary Education Establishments
INSTITUTUL DE DEZVOLTARE A SOCIETATII INFORMATIONALE,Moldova,CHISINAU,Higher or Secondary Education Establishments
"PRIMARIA MUNICIPIULUI, CHISINAU",Moldova,Chisinau-Moldova,Unknown
National Center of Scientific and Applied Preventive Medicine,Moldova,Chisinau,Unknown
Technical University of Moldova,Moldova,Chisinau,Unknown
Institute of Zoology of the Academy of Sciences of Moldova,Moldova,Kishinau,Unknown
Fish Farming Research Station,Moldova,Chisineu,Unknown
Agrarian State University of Moldova,Moldova,Chisinau,Unknown
TECHNICAL UNIVERSITY OF MOLDOVA,Moldova,CHISINAU,Unknown
Centre of Scientific Research of Technical Cybernetics and Information Technologies,Moldova,Chisinau,Unknown
National Center for Scientific and Applied Hygiene and Epidemiology,Moldova,Chisinau,Unknown
State Production Association of Geological Prospecting of Moldova,Moldova,Chisinau,Unknown
State University of Moldova,Moldova,Chisinau,Unknown
Institute of Microbiology - The Academy of Sciences of the Republic of Moldova,Moldova,Chisinau,Unknown
STATE UNIVERSITY OF MOLDOVA,Moldova,CHISINAU,Unknown
INSTITUTULUI DE MATEMATICA SI INFORMATICA AL ACADEMIEI DE STIINTE A REPUBLICII MOLDOVA,Moldova,CHISINAU,Unknown
CHAMBER OF COMMERCE AND INDUSTRY OF THE REPUBLIC OF MOLDOVA,Moldova,CHISINAU,Unknown
OPINIA - INDEPENDENT SOCIOLOGICAL AND INFORMATION SERVICE,Moldova,CHISINAU,Unknown
"CELINA LTD ""MOLDOVAPAINT""",Moldova,CHISINAU,Unknown
AMOTEC LTD,Moldova,KISHINEV,Unknown
RESEARCH AND EDUCATIONAL NETWORKING ASSOCIATION OF MOLDOVA,Moldova,CHISINAU,Unknown
ACADEMY OF SCIENCES OF MOLDOVA,Moldova,CHISINAU,Unknown
ACADEMY OF SCIENCE OF MOLDOVA,Moldova,CHISINAU,Unknown
ACADEMIA DE STIINTE A MOLDOVEI,Moldova,CHISINAU,Unknown
FOUNDATION FOR SOCIAL AND ECONOMIC RESEARCH - CASE MOLDOVA,Moldova,CHISINAU,Unknown
INSTITUTE OF POWER ENGINEERING OF THE ACADEMY OF SCIENCES OF REPUBLIC MOLDOVA,Moldova,CHISINAU,Unknown
SOCIETATII FIZICIENILOR DIN MOLDOVA,Moldova,CHISINAU,Unknown
BUSINESS RESEARCH COMPANY,Moldova,CHISINAU,Unknown
EUROPEAN ASSOCIATED CENTRE ON FLOOD PROBLEMS,Moldova,KISHINAU,Unknown
AGENCY FOR INNOVATION AND TECHNOLOGY TRANSFER,Moldova,CHISINAU,Unknown
FARUS GRUP SRL,Moldova,CHISINÃU,Unknown
RESEARCH AND EDUCATIONAL NETWORKING ASSOCIATION OF MOLDOVA,Moldova,Chisinau,Unknown
"CENTRUL DE ANALIZA SI INVESTIGATII IN SOCIOLOGIE, POLITOLOGIE SI PSICHOLOGIE ""CIVIS""",Moldova,CHISINAU,Unknown
ASOCIATIA BIBLIOTECARILOR DIN REPUBLICA MOLDOVA,Moldova,CHISINAU,Unknown
CLINICAL HOSPITAL OF INFECTIOUS DISEASES 'TOMA CIORBA',Moldova,MUN. CHISINAU,Unknown
SERVICIULUI HIDROMETEOROLOGIC DE STAT,Moldova,CHISINAU,Research Organisations
Institutul de MatematicÄ Åi InformaticÄ al Academiei de ÅtiinÅ£e a Moldovei,Moldova,ChiÅinÄu,Higher or Secondary Education Establishments
SOCIETATEA PE ACTIUNI INSTITUTUL DE CERCETARI STIINTIFICE ELIRI,Moldova,CHISINAU,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UNIVERSITATEA DE STA ALECU RUSSO DIN BALTI,Moldova,BALTI,Higher or Secondary Education Establishments
Institutul de Microbiologie si Biotehnologie,Moldova,Chisinau,Research Organisations
CAMERA DI COMMERCIO E INDUSTRIA MOLDO-ITALIANA,Moldova,Chisinau,Other
Fundatia Renala,Moldova,Chisinau,Research Organisations
SOCIETATEA PENTRU METODOLOGIA SONDAJELOR,Moldova,CHISINAU,Private for-profit entities (excluding Higher or Secondary Education Establishments)
OPINIA - INDEPENDENT SOCIOLOGICAL AND INFORMATION SERVICE,Moldova,CHISINAU,Private for-profit entities (excluding Higher or Secondary Education Establishments)
