name,country,city,businessType
JAVNA USTANOVA UNIVERZITET CRNE GORE PODGORICA,Montenegro,PODGORICA,Higher or Secondary Education Establishments
JU ZAVOD ZA GEOLOSKA ISTRAZIVANJA,Montenegro,PODGORICA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
KLINICKI CENTAR CRNE GORE PODGORICA,Montenegro,PODGORICA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
13 JUL PLANTAZE AD PODGORICA,Montenegro,PODGORICA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UNIVERZITET DONJA GORICA PODGORICA,Montenegro,PODGORICA,Higher or Secondary Education Establishments
BERZA ELEKTRICNE ENERGIJE DOO PODGORICA,Montenegro,PODGORICA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
CRNOGORSKI ELEKTROPRENOSNI SISTEM AD PODGORICA,Montenegro,PODGORICA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
AGENCIJA ZA CIVILNO VAZDUHOPLOVSTVO CRNE GORE PODGORICA,Montenegro,PODGORICA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
UPRAVA POMORSKE SIGURNOSTI I UPRAVLJANJA LUKAMA,Montenegro,BAR,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
MINISTARSTVO EKONOMIJE,Montenegro,PODGORICA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
FONDACIJA BIZNIS START - UP CENTAR BAR,Montenegro,BAR,Other
PRIVREDNA KOMORA CRNE GORE PODGORICA,Montenegro,PODGORICA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MECONET D.O.O.,Montenegro,PODGORICA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ZU SPECIJALNA BOLNICA ZA PSIHIJATRIJU DOBROTA KOTOR,Montenegro,KOTOR,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
MINISTARSTVO SAOBRACAJA I POMORSTVA,Montenegro,PODGORICA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
JAVNA USTANOVA SPECIJALISTICKA VETERINARSKA LABORATORIJA PODGORICA,Montenegro,PODGORICA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
J.U. PRIRODNJACKI MUZEJ CRNE GORE PODGORICA,Montenegro,PODGORICA,Research Organisations
MINISTARSTVO NAUKE,Montenegro,Podgorica,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
"""Fondacija za promovisanje nauke """"PRONA""""""",Montenegro,Podgorica,Other
UPRAVA CARINA REPUBLIKA CRNA GORA,Montenegro,PODGORICA,Unknown
DIREKCIJA ZA RAZVOJ MALIH I SREDNJIH PREDUZECA PODGORICA,Montenegro,PODGORICA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
MINISTARSTVO PROSVJETE I NAUKE,Montenegro,Podgorica,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
SEIZMOLOSKI ZAVOD CRNE GORE,Montenegro,PODGORICA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
UNIVERZITET MEDITERAN PODGORICA PRIVATNA USTANOVA,Montenegro,PODGORICA,Higher or Secondary Education Establishments
ZDRAVSTVENA USTANOVA INSTITUT ZA JAVNO ZDRAVLJE PODGORICA,Montenegro,PODGORICA,Research Organisations
THE PORT OF BAR H.Co.,Montenegro,Bar,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"REPUBLICAN AGENCY FOR INTERNATIONAL SCIENTIFIC, EDUCATIONAL, CULTURAL AND TECHNICAL COOPERATION, PODGORICA",Montenegro,Podgorica,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
"""The Republic Hydrometeorological Institute"" of the Republic of Montenegro",Montenegro,PODGORICA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
