name,country,city,businessType
INSTITUT NATIONAL DE LA RECHERCHE AGRONOMIQUE,Morocco,RABAT,Research Organisations
UNIVERSITE CADI AYYAD,Morocco,MARRAKECH,Higher or Secondary Education Establishments
UNIVERSITE MOHAMMED V DE RABAT,Morocco,RABAT,Higher or Secondary Education Establishments
ECOLE NATIONALE D'AGRICULTURE DE MEKNES,Morocco,MEKNES,Research Organisations
"MINISTERE DE L'ENSEIGNEMENT SUPERIEUR, DE LA RECHERCHE SCIENTIFIQUE ET DE LA FORMATION DES CADRES",Morocco,RABAT,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
MOROCCAN FOUNDATION FOR ADVANCED SCIENCE INNOVATION AND RESEARCHFONDATION MASCIR,Morocco,RABAT,Research Organisations
INSTITUT NATIONAL DE RECHERCHE HALIEUTIQUE,Morocco,CASABLANCA,Research Organisations
INSTITUT DE RECHERCHES EN ENERGIE SOLAIRE ET ENERGIES NOUVELLES,Morocco,RABAT,Research Organisations
MOROCCAN AGENCY FOR SOLAR ENERGY SA,Morocco,RABAT,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UNIVERSITE IBNOU ZOHR A AGADIR,Morocco,AGADIR,Higher or Secondary Education Establishments
UNIVERSITE AL AKHAWAYN D'IFRANE,Morocco,IFRANE,Higher or Secondary Education Establishments
INSTITUT AGRONOMIQUE ET VETERINAIRE HASSAN II,Morocco,RABAT,Higher or Secondary Education Establishments
PHONE ASSISTANCE,Morocco,CASABLANCA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
GROUPE INSTITUT SUPERIEUR DE COMMERCE ET D'ADMINISTRATION DES ENTREPRISES,Morocco,CASABLANCA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
STE MAGHREB STEEL SA,Morocco,CASABLANCA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UNIVERSITE ABDELMALEK ESSAADI,Morocco,TETOUAN,Higher or Secondary Education Establishments
ASSOCIATION RACINES,Morocco,CASABLANCA,Other
CENTRE REGIONAL AFRICAIN DES SCIENCES ET TECHNOLOGIES DE L'ESPACE,Morocco,AGDAL RABAT,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UNIVERSITE MOULAY ISMAIL,Morocco,MEKNES,Higher or Secondary Education Establishments
UNIVERSITE CHOUAIB DOUKKALI,Morocco,EL JADIDA,Higher or Secondary Education Establishments
UNIVERSITE HASSAN II DE CASABLANCA,Morocco,CASABLANCA,Higher or Secondary Education Establishments
IBN TOFAIL UNIVERSITY,Morocco,KENITRA,Higher or Secondary Education Establishments
UNIVERSITE SIDI MOHAMMED BEN ABDELLAH,Morocco,FES,Higher or Secondary Education Establishments
AGIR Association de Gestion Integree des Ressources,Morocco,AL HOCEIMA,Other
Institut Pasteur Du Maroc,Morocco,Casablanca,Research Organisations
Association R&D MAROC,Morocco,Casablanca,Other
LA SOCIETE GIE ZOYOUT DIR BENI MELLAL GIE,Morocco,BENI MELLAL,Private for-profit entities (excluding Higher or Secondary Education Establishments)
FONDATION CHEIKH KHALIFA IBN ZAID,Morocco,CASABLANCA,Other
"MINISTERE DE L AMENAGEMENT DU TERRITOIRE NATIONAL, DE L URBANISME, DE L HABITAT ET DE LA POLITIQUE DE LA VILLE",Morocco,RABAT,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
Agence marocaine pour l'efficacite energetique,Morocco,RABAT,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
Institut Agronomique et Veterinaire Hassan II,Morocco,RABAT,Unknown
Institut National de la Recherche Agronomique,Morocco,Rabat,Unknown
Institut Agronomique et VÃ©tÃ©rinaire de Rabat,Morocco,Rabat,Unknown
Institut Agronomique et VÃ©tÃ©rinaire Hassan II,Morocco,Rabat,Unknown
MinistÃšre de la SantÃ©,Morocco,Rabat,Unknown
UNIVERSITE CADI AYYAD,Morocco,MARRAKECH,Unknown
INSTITUT PASTEUR DU MAROC,Morocco,CASABLANCA,Unknown
Institut Agronomique et VÃ©tÃ©rinaire Hassan II,Morocco,Agadir,Unknown
Institut National d'Administration Sanitaire,Morocco,Rabat,Unknown
INSTITUT AGRONOMIQUE ET VETERINAIRE HASSAN II,Morocco,RABAT / AGDAL,Unknown
