name,country,city,businessType
SOUTHERN AFRICAN SCIENCE SERVICE CENTRE FOR CLIMATE CHANGE AND ADAPTIVE LAND MANAGEMENT,Namibia,WINDHOEK,Research Organisations
UNIVERSITY OF NAMIBIA,Namibia,WINDHOEK,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
POLYTECHNIC OF NAMIBIA PON,Namibia,WINDHOEK,Private for-profit entities (excluding Higher or Secondary Education Establishments)
NAMIBIA UNIVERSITY OF SCIENCE AND TECHNOLOGY,Namibia,WINDHOEK,Higher or Secondary Education Establishments
A. SPEISER-ENVIRONMENTAL CONSULTANTS CC,Namibia,WINDHOEK,Private for-profit entities (excluding Higher or Secondary Education Establishments)
GEO-AFRICA PROSPECTING SERVICES CC,Namibia,WINDHOEK,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MINISTRY OF EDUCATION,Namibia,WINDHOEK,Higher or Secondary Education Establishments
Legal Assistance Centre,Namibia,Windhoek,Other
University of Namibia,Namibia,Windhoek,Unknown
UNIVERSITY OF NAMIBIA,Namibia,WINDHOEK,Unknown
Directorate of Forestry,Namibia,Windhoek,Unknown
Ministry of Environment and Tourism,Namibia,Windhoek,Unknown
Ministry of Fisheries and Marine Resources,Namibia,Swakupmuno,Unknown
"Ministry of Agriculture, Water and Rural Development",Namibia,Windhoek,Unknown
DESERT RESEARCH FOUNDATION OF NAMIBIA,Namibia,WINDHOEK,Unknown
POLYTECHNIC OF NAMIBIA,Namibia,WINDHOEK,Unknown
"MINISTRY OF AGRICULTURE, WATER AND RURAL DEVELOPMENT",Namibia,OMBALANTU,Unknown
THE DESERT RESEARCH FOUNDATION OF NAMIBIA / GOBABEB RESEARCH AND TRAINING CENTER,Namibia,WINDHOEK,Unknown
UNIVERSITY OF NAMIBIA,Namibia,Windhoek,Higher or Secondary Education Establishments
"MINISTRY OF AGRICULTURE, WATER AND RURAL DEVELOPMENT, REPUBLIC OF NAMIBIA",Namibia,WINDHOEK,Unknown
EARTHLIFE NAMIBIA TRUST,Namibia,Windhoek,Research Organisations
MINISTRY OF FISHERIES AND MARINE RESOURCES,Namibia,WINDHOEK,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
