name,country,city,businessType
SAJHA YATAYAT SAHAKAARI SANSTHAA LIMITED,Nepal,LALITPUR,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MINISTRY OF HEALTH AND POPULATION,Nepal,KATHMANDU,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
HERD INTERNATIONAL PVT LTD,Nepal,KATHMANDU,Private for-profit entities (excluding Higher or Secondary Education Establishments)
HEALTH RESEARCH AND SOCIAL DEVELOPMENT FORUM,Nepal,KATHMANDU,Research Organisations
INTERNATIONAL CENTRE FOR INTEGRATED MOUNTAIN DEVELOPMENT,Nepal,LALITPUR,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SOCIAL SCIENCE BAHA,Nepal,KATHMANDU,Research Organisations
BIRAT NEPAL MEDICAL TRUST,Nepal,KATHMANDU,Other
KATHMANDU UNIVERSITY,Nepal,Kathmandu,Higher or Secondary Education Establishments
Environment Culture Agriculture Research Development Society in Nepal,Nepal,Kathmandu,Unknown
Pakhribas Agricultural Center,Nepal,Pakhribas,Unknown
Tribhuvan University,Nepal,Kathmandu,Unknown
B.P. KOIRALA INSTITUTE OF HEALTH SCIENCES,Nepal,KATHMANDU,Unknown
ENVIRONMENT AND PUBLIC HEALTH ORGANISATION,Nepal,KATHMANDU,Unknown
NEPAL HEALTH ECONOMICS ASSOCIATION,Nepal,KATHMANDU,Unknown
NEPAL WATER FOR HEALTH,Nepal,KATHMANDU,Unknown
INTERNATIONAL CENTRE FOR INTEGRATED MOUNTAIN DEVELOPMENT,Nepal,KATHMANDU,Unknown
NEPAL AGRICULTURE RESEARCH COUNCIL,Nepal,KATHMANDU,Unknown
"LOCAL INITIATIVES FOR BIODIVERSITY, RESEARCH AND DEVELOPMENT",Nepal,POKHARA,Unknown
"SOCIETY OF PUBLIC HEALTH ENGINEERS, NEPAL",Nepal,KATHMANDU,Unknown
TRIBHUVAN UNIVERSITY,Nepal,KATHMANDU,Unknown
KATHMANDU UNIVERSITY,Nepal,DHULIKHEL,Unknown
B.P. Koirala Institute of Health Sciences,Nepal,DHARAN,Unknown
VOLUNTEERS FOR DEVELOPMENT NEPAL ASSOCIATION,Nepal,BHAKTAPUR,Other
TRIBHUVAN UNIVERSITY,Nepal,KATHMANDU,Higher or Secondary Education Establishments
BP KOIRALA INSTITUTE OF HEALTH SCIENCES,Nepal,DHARAN,Research Organisations
Transcultural Psychosocial Organization Nepal,Nepal,KATHMANDU,Research Organisations
