name,country,city,businessType
THE UNIVERSITY OF AUCKLAND,New Zealand,AUCKLAND,Higher or Secondary Education Establishments
NATIONAL INSTITUTE OF WATER AND ATMOSPHERIC RESEARCH,New Zealand,AUCKLAND,Research Organisations
THE NEW ZEALAND INSTITUTE FOR PLANT AND FOOD RESEARCH LIMITED,New Zealand,AUCKLAND,Research Organisations
Syft Ltd.,New Zealand,Middleton,Private for-profit entities (excluding Higher or Secondary Education Establishments)
Massey University,New Zealand,Palmerston North,Higher or Secondary Education Establishments
AGRESEARCH LIMITED,New Zealand,HAMILTON,Research Organisations
THE RESEARCH TRUST OF VICTORIA UNIVERSITY OF WELLINGTON,New Zealand,WELLINGTON,Research Organisations
University of Auckland,New Zealand,AUCKLAND,Higher or Secondary Education Establishments
AROHANUI HOSPICE SERVICE TRUST,New Zealand,PALMERSTON NORTH,Research Organisations
New Zealand Forest Research Institute LTD,New Zealand,Rotorua,Private for-profit entities (excluding Higher or Secondary Education Establishments)
LANDCARE RESEARCH NEW ZEALAND LTD,New Zealand,LINCOLN,Research Organisations
MARITIME NEW ZEALAND,New Zealand,WELLINGTON,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
UNIVERSITY OF WAIKATO,New Zealand,HAMILTON,Higher or Secondary Education Establishments
RADIATA PINE BREEDING COMPANY LIMITED,New Zealand,ROTORUA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UNIVERSITY OF CANTERBURY,New Zealand,CHRISTCHURCH,Higher or Secondary Education Establishments
UNIVERSITY OF OTAGO,New Zealand,DUNEDIN,Higher or Secondary Education Establishments
HEALTH RESEARCH COUNCIL OF NEW ZEALAND,New Zealand,AUCKLAND,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
CALLAGHAN INNOVATION RESEARCH LIMITED,New Zealand,Lower Hutt,Private for-profit entities (excluding Higher or Secondary Education Establishments)
NATIONAL INSTITUTE FOR WATER AND ATMOSPHERIC RESEARCH,New Zealand,WELLINGTON,Unknown
THE HORTICULTURE AND FOOD RESEARCH INSTITUTE OF NEW ZEALAND LTD,New Zealand,PALMERSTON NORTH,Unknown
UNIVERSITY OF OTAGO,New Zealand,CHRISTCHURCH,Unknown
ABSOLUTE COMMUNICATIONS LIMITED,New Zealand,CHRISTCHURCH,Unknown
MASSEY UNIVERSITY,New Zealand,PALMERSTON NORTH,Unknown
CHRISTCHURCH CITY COUNCIL,New Zealand,CHRISTCHURCH,Unknown
WAITAKERE CITY COUNCIL,New Zealand,HENDERSON,Unknown
UNIVERSITY OF CANTERBURY,New Zealand,CHRISTCHURCH,Unknown
INVESTIGATION AND DIAGNOSTIC CENTRE BIOSECURITY NEW ZEALND MINISTRY OF AGRICULTURE AND FORESTRY,New Zealand,UPPER HUTT,Unknown
"HIT LAB NZ, UNIVERSITY OF CANTERBURY",New Zealand,CHRISTCHURCH,Higher or Secondary Education Establishments
INSTITUTE OF ENVIRONMENTAL SCIENCE AND RESEARCH,New Zealand,"ILAM, CHRISTCHURCH",Unknown
AGRESEARCH LIMITED,New Zealand,HAMILTON,Unknown
INSTITUTE OF ENVIRONMENTAL SCIENCE AND RESEARCH LIMITED,New Zealand,PORIRUA,Unknown
FONTERRA CO-OPERATIVE GROUP LIMITED,New Zealand,PALMERSTON NORTH,Unknown
LINCOLN UNIVERSITY,New Zealand,LINCOLN,Unknown
MASSEY UNIVERSITY,New Zealand,AUCKLAND,Unknown
THE UNIVERSITY OF AUCKLAND,New Zealand,AUCKLAND,Unknown
THE NEW ZEALAND INSTITUTE FOR PLANT AND FOOD RESEARCH LIMITED,New Zealand,AUCKLAND,Unknown
NEW ZEALAND INSTITUTE FOR CROP AND FOOD RESEARCH LTD,New Zealand,CHRISTCHURCH,Unknown
INSTITUTE OF ENVIRONMENTAL SCIENCE AND RESEARCH,New Zealand,"PORIRUA, WELLINGTON",Unknown
"SCHOOL OF GEOGRAPHY AND ENVRIONMENTAL SCIENCE, UNIVERSITY OF AUCKLAND",New Zealand,AUCKLAND,Unknown
LINCOLN UNIVERSITY,New Zealand,CANTERBURY,Unknown
"INSTITUTE OF GEOLOGY AND NUCLEAR SCIENCES, LTD",New Zealand,LOWER HUTT,Unknown
THE NEW ZEALAND SEAFOOD INDUSTRY COUNCIL LTD,New Zealand,,Unknown
UNIVERSITY OF OTAGO,New Zealand,DUNEDIN,Unknown
INSTITUTE OF GEOLOGICAL AND NUCLEAR SCIENCES LIMITED,New Zealand,LOWER HUTT,Unknown
UNIVERSITY OF LIMERICK,New Zealand,,Unknown
"MINISTRY OF RESEARCH, SCIENCE AND TECHNOLOGY",New Zealand,Wellington,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
"Ministry of Business, Innovation & Employment",New Zealand,Wellington,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
Euro Research Support Limited,New Zealand,ROTORUA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
LINCOLN UNIVERSITY,New Zealand,Canterbury,Higher or Secondary Education Establishments
Royal Society of New Zealand,New Zealand,Wellington,Other
Carole Glynn European Consultant,New Zealand,Rotorua,Private for-profit entities (excluding Higher or Secondary Education Establishments)
AUCKLAND UNIVERSITY OF TECHNOLOGY,New Zealand,Auckland,Higher or Secondary Education Establishments
INSTITUTE OF ENVIRONMENTAL SCIENCE AND RESEARCH LIMITED,New Zealand,PORIRUA,Research Organisations
FOUNDATION FOR RESEARCH SCIENCE AND TECHNOLOGY,New Zealand,WELLINGTON,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
