name,country,city,businessType
FUNDACION NICAFRANCE,Nicaragua,MANAGUA,Research Organisations
Ministerio de la Salud,Nicaragua,Managua,Unknown
University of Nicaragua,Nicaragua,Enugu,Unknown
CENTRO DE INVESTIGACIONES Y ESTUDIOS DE SALUD,Nicaragua,MANAGUA,Unknown
Universidad Nacional Agraria,Nicaragua,Managua,Unknown
INSTITUTO CENTROAMERICANO DE LA SALUD - NICARAGUA,Nicaragua,MANAGUA,Unknown
Universidad Autonoma de Nicaragua,Nicaragua,Managua,Unknown
CENTRO NACIONAL DE DIAGNOSTICO Y REFERENCIA - MINISTERIO DE SALUD DE NICARAGUA,Nicaragua,MANAGUA,Unknown
UNIVERSIDAD NACIONAL AUTONOMA DE NICARAGUA,Nicaragua,MANAGUA,Unknown
UNIVERSIDAD NACIONAL AGRARIA,Nicaragua,MANAGUA,Unknown
FUNDACION NICARAGUENSE PARA LA CONSERVACION - FUNDACION COCIBOLCA,Nicaragua,MANAGUA,Unknown
UNIVERSIDAD CENTROAMERICANA,Nicaragua,MANAGUA,Unknown
CENTRO DE ASISTENCIA LAGAL A PUEBLOS INDIGENAS,Nicaragua,CHINANDEGA,Unknown
INSTITUTO NICARAGÃENSE DE TECNOLOGÃA AGROPECUARIA,Nicaragua,MANAGUA,Unknown
UNIVERSIDAD NACIONAL AUTONOMA DE NICARAGUA - MANAGUA,Nicaragua,MANAGUA,Unknown
"ASOCIACIÃN CHINANTLÃN, CONSTRUYENDO HERMANDAD",Nicaragua,CHINANDEGA,Unknown
"EMPRESA DE CONSULTORÃA E INVERSIONES CABAL, S.A.",Nicaragua,Managua,Other
INSTITUTO NICARAGUENSE DE ESTUDIOS TERRITORIALES,Nicaragua,MANAGUA,Unknown
UNIVERSIDAD NACIONAL DE INGENIERIA,Nicaragua,MANAGUA,Unknown
INSTITUTO CENTROAMERICANO DE LA SALUD ICAS ASSOCIATION - CENTRAL AMERICAN HEALTH INSTITUTE,Nicaragua,MANAGUA,Research Organisations
CENTRO DE INVESTIGACIONES Y ESTUDIOS DE SALUD - CIES UNAN,Nicaragua,MANAGUA,Research Organisations
CONSEJO NICARAGUENSE DE CIENCIA Y TECNOLOGIA,Nicaragua,MANAGUA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
UNIVERSIDAD CENTROAMERICANA ASOCIACION,Nicaragua,MANAGUA,Higher or Secondary Education Establishments
