name,country,city,businessType
CENTRE REGIONAL AGRHYMET,Niger,NIAMEY,Higher or Secondary Education Establishments
UNIVERSITE ABDOU MOUMOUNI DE NIAMEY,Niger,NIAMEY,Higher or Secondary Education Establishments
AFRICAN CENTRE OF METEOROLOGICAL APPLICATION DEVELOPMENT,Niger,NIAMEY,Research Organisations
UniversitÃ© de Niamey,Niger,Niamey,Unknown
Centre de Recherche sur les Meningites et les Schistosomiases,Niger,Niamey,Unknown
MARI COMPUTER SYSTEMS LTD,Niger,Tyne and Wear,Unknown
Organisation de Coordination et de CoopÃ©ration pour la Lutte contre les Grandes EndÃ©mies,Niger,Niamey,Unknown
CENTRE REGIONAL DE FORMATION ET D'APPLICATION EN AGROMETEOROLOGIE ET HYDROLOGIE OPERATIONNELLE,Niger,NIAMEY,Unknown
AFRICAN CENTRE FOR METEOROLOGICAL APPLICATION FOR DEVELOPMENT,Niger,NIAMEY,Unknown
UNIVERSITE ABDOU MOUMOUNI,Niger,NIAMEY,Unknown
UNIVERSITE ABDOU MOUMOUNI DE NIAMEY,Niger,NIAMEY,Unknown
DIRECTION DE LA METEOROLOGIE NATIONALE DU NIGER,Niger,NIAMEY,Unknown
CENTRE DE RECHERCHE MEDICALE ET SANITAIRE,Niger,NIAMEY,Unknown
CENTRE REGIONAL DE FORMATION ET D'APLICATION EN AGROMETEOROLOGIE ET HYDROLOGIE OPERATIONNELLE-CENTRE REGIONAL AGRHYMET,Niger,NIAMEY,Unknown
CENTRE RÃGIONAL DE FORMATION ET D'APPLICATION EN AGROMETEOROLOGIE ET HYDROLOGIE OPERATIONNELLE,Niger,NIAMEY,Unknown
AGRHYMET REGIONAL CENTRE,Niger,NIAMEY,Unknown
INSTITUT NATIONAL DE LA RECHERCHE AGRONOMIQUE DU NIGER - INRAN,Niger,NIAMEY,Unknown
UNIVERSITY ABDOU MOUMOUNI,Niger,NIAMEY,Unknown
MINISTERE DE LA SANTE PUBLIQUE,Niger,NIAMEY,Unknown
PROGRAMME NATIONAL DE LUTTE CONTRE LA BILHARZIOSE ET LES GEOHELMINTHES - MINISTERE DE LA SANT PUBLIQUE ET DE LA LUTTE CONTRE LES END MIES,Niger,NIAMEY,Unknown
NIGER BASIN AUTHORITY / AFRICAN NETWORK OF BASIN ORGANISATIONS,Niger,NIAMEY,Unknown
INSTITUT NATIONAL DE LA RECHERCHE AGRONOMIQUE DU NIGER,Niger,NIAMEY,Unknown
INTERNATIONAL CROPS RESEARCH INSTITUTE FOR THE SEMI ARID TROPICS,Niger,NIAMEY,Unknown
Basel Convention Regional Coordinating Centre for Africa for Training and Technology,Niger,Ibadan,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
MinistÃšre de la SantÃ© Publique,Niger,Niamey,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
LABORATOIRE D ETUDES ET DE RECHERCHES SUR LES DYNAMIQUES SOCIALES ET LE DEVELOPPEMENT LASDEL,Niger,Niamey,Research Organisations
