name,country,city,businessType
CENTRE FOR REGIONAL POLICY RESEARCH AND COOPERATION STUDIORUM ZDRUZENJE,North Macedonia,SKOPJE,Research Organisations
UNIVERSITY CLINIC OF PSYCHIATRY,North Macedonia,SKOPJE,Research Organisations
Ss. CYRIL AND METHODIUS UNIVERSITY IN SKOPJE,North Macedonia,SKOPJE,Higher or Secondary Education Establishments
ASSOCIATION HELTGRUPER SAMIT- HEALTH AND SOCIAL POLICY RESEARCH SKOPJE,North Macedonia,SKOPJE,Research Organisations
PUBLIC SCIENTIFIC INSTITUTE-INSTITUTE OF EARTHQUAKE ENGINEERING AND ENGINEERING SEISMOLOGY SS CYRIL AND METHODIUS UNIVERSITY SKOPJE IZIIS,North Macedonia,SKOPJE,Research Organisations
J.Z.U. INSTITUT ZA JAVNO ZDRAVJE NA REPUBLIKA SEVERNA MAKEDONIJA SKOPJE,North Macedonia,SKOPJE,Research Organisations
CITY OF SKOPJE,North Macedonia,SKOPJE,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
CARINSKA UPRAVA NA REPUBLIKA MAKEDONIJA,North Macedonia,SKOPJE,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
UNIVERSITY ST KLIMENT OHRIDSKI BITOLA,North Macedonia,BITOLA,Higher or Secondary Education Establishments
OPERATOR NA ELEKTROPRENOSNIOT SISTEM NA MAKEDONIJA AKCIONERSKO DRUSHTVO ZA PRENOS NA ELEKTRICHNA ENERGIJAI UPRAVUVANJE SO ELEKTROENERGETSKI,North Macedonia,SKOPJE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
DPTU ENERGIJA DOO,North Macedonia,SKOPJE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
REPUBLIC OF MACEDONIA GOCE DELCEV STATE UNIVERSITY STIP,North Macedonia,STIP,Higher or Secondary Education Establishments
"COMPANY FOR SOFTWARE PRODUCTION, TRADE AND SERVICES PRAJM APPS LLC SKOPJE",North Macedonia,SKOPJE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
PSI HYDROBIOLOGICAL INSTITUTE OHRID,North Macedonia,OHRID,Research Organisations
JAVNO SOOBRAKAJNO PRETPRIJATIE SKOPJE,North Macedonia,SKOPJE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
INSTITUT ZA DEMOKRATIJA SOCIETAS CIVILIS SKOPJE,North Macedonia,SKOPJE,Research Organisations
STATE OWNED JOINT STOCK COMPANY FOR PRODUCTION OF ELECTRICITY POWER PLANTS OF MACEDONIA SKOPJE,North Macedonia,SKOPJE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
DRUSTVO ZA INFORMATICKA DEJNOST PICKATALE DOOEL TETOVO,North Macedonia,TETOVO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MACEDONIAN CENTER FOR ENERGY EFFICIENCY SKOPJE-MACEF ASSOCIATION,North Macedonia,SKOPJE,Other
BALKAN DEVELOPMENT SOLUTIONS LTD SKOPJE,North Macedonia,SKOPJE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
CHAMBER OF COMMERCE FOR INFORMATION AND COMMUNICATION TECHNOLOGIES - MASIT SKOPJE,North Macedonia,SKOPJE,Other
PROVISION OF AIR NAVIGATION SERVICES M NAV AD SKOPJE,North Macedonia,PETROVEC,Private for-profit entities (excluding Higher or Secondary Education Establishments)
DRUSHTVO ZA EDUACIJA CENTAR ZA INOVACII TRANSFER NA ZNAEENJE DOOEL SKOPJE,North Macedonia,SKOPJE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ZDRUZENIE NA OPSTINI ZAEDNICA NA EDINICITE NA LOKALNATA SAMOUPRAVA NAREPUBLIKA MAKEDONIJA-ZELS SKOPJE,North Macedonia,SKOPJE,Other
FOUNDATION FOR MANAGEMENT AND INDUSTRIAL RESEARCH FOUNDATION SKOPJE,North Macedonia,SKOPJE,Research Organisations
ECONOMIC CHAMBER OF MACEDONIA,North Macedonia,Skopje,Other
ASSOCIATION OF ENGINEERING SOCIETIES ENGINEERING INSTITUTION OF MACEDONIA SKOPJE,North Macedonia,SKOPJE,Other
JAVNA USTANOVA CENTAR ZA OBRAZOVANIE NA VOZRASNITE SKOPJE,North Macedonia,SKOPJE,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
KREACIJA ASSOCIATION OF BUSINESS AND CONSULTANTS SKOPJE,North Macedonia,SKOPJE,Other
REPUBLIC OF MACEDONIA - UNIVERSITY FOR INFORMATION SCIENCE AND TECHNOLOGY ST.PAUL THE APOSTLE OHRID,North Macedonia,OHRID,Higher or Secondary Education Establishments
MARSECO DOO TETOVO,North Macedonia,TETOVO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SOUTH EAST EUROPEAN UNIVERSITY TETOVO,North Macedonia,TETOVO,Higher or Secondary Education Establishments
GEOLOGICAL SURVEY OF THE REPUBLIC OF MACEDONIA,North Macedonia,SKOPJE,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
ZDRUZENIE PLATFORMA ZA ZELEN RAZVOJSKOPJE,North Macedonia,"SKOPJE, KARPOSH",Other
AG FUTURA TECHNOLOGII DOOEL SKOPJE,North Macedonia,SKOPJE-CENTAR,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MACEDONIAN ACADEMY OF SCIENCES AND ARTS,North Macedonia,Skopje,Research Organisations
ISLAMSKI MLADINSKI FORUM,North Macedonia,SKOPJE,Other
INSTITUT ZA BILAKJ SEMEJSTVO I SISTEMSKA PRAKSA - ALTENATIVA,North Macedonia,SKOPJE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
RESIDENTIAL BUILDING MANAGEMENT COMPANY HABIDOM DOOEL SKOPJE,North Macedonia,SKOPJE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ZDRUZENIE ZA HUMANO DOMUVANJE HABITAT-MAKEDONIJA SKOPJE,North Macedonia,SKOPJE,Other
PRODUCTION TRADE AND SERVICE COMPANY ARTHAUS DOO IMPORT-EXPORT SKOPJE,North Macedonia,SKOPJE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ZDRUZENIE NA GRAGJANI ZA ISTRAZUVANJA ANALIZI I RAZVOJ NA JAVNI POLITIKI EVROTINK CENTAR ZA EVROPOSKI STRATEGII SKOPJE,North Macedonia,SKOPJE,Research Organisations
MACEDONIAN ACADEMIC AND RESEARCH NETWORK SKOPJE,North Macedonia,SKOPJE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MACEDONIAN CENTER FOR INTERNATIONAL COOPERATION SKOPJE,North Macedonia,SKOPJE,Other
INSTITUTE OF NATIONAL HISTORY - SKOPJE,North Macedonia,SKOPJE,Higher or Secondary Education Establishments
ST'S CYRIL AND METHODIUS UNIVERSITY OF SKOPJE,North Macedonia,SKOPJE,Higher or Secondary Education Establishments
"TRAJKOVSKI I PARTNERI D.O.O.E.L. AGENCIJA ZA INFORMACISKI IZENERING, KONSALTING I MARKETING",North Macedonia,SKOPJE,Other
CITY OF SKOPJE,North Macedonia,SKOPJE,Other
ST'S CYRIL AND METHODIUS UNIVERSITY OF SKOPJE,North Macedonia,SKOPJE,Unknown
"FACULTY OF TECHNOLOGY AND METALLURGY, UNIVERSITY ""STS CYRIL & METHODIUS"" - SKOPJE",North Macedonia,Skopje,Unknown
MINISTERSTVO ZA OBRAZOVANIE I NAUKA,North Macedonia,SKOPJE,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
