name,country,city,businessType
ASPLAN VIAK INTERNET AS,Norway,ARENDAL,Private for-profit entities (excluding Higher or Secondary Education Establishments)
OSLO UNIVERSITETSSYKEHUS HF,Norway,OSLO,Higher or Secondary Education Establishments
UNIVERSITETET I OSLO,Norway,OSLO,Higher or Secondary Education Establishments
UNIVERSITETET I TROMSOE - NORGES ARKTISKE UNIVERSITET,Norway,TROMSO,Higher or Secondary Education Establishments
UNIVERSITETET I BERGEN,Norway,BERGEN,Higher or Secondary Education Establishments
HELSE BERGEN HF*HAUKELAND UNIVERSITY HOSPITAL,Norway,BERGEN,Higher or Secondary Education Establishments
NORGES FORSKNINGSRAD,Norway,OSLO,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
Volcanic Basin Petroleum Research,Norway,Oslo,Other
NORSK INSTITUTT FOR VANNFORSKNING,Norway,OSLO,Research Organisations
NORGES MILJO-OG BIOVITENSKAPLIGE UNIVERSITET,Norway,AS,Higher or Secondary Education Establishments
OPPLAND FYLKESKOMMUNE,Norway,LILLEHAMMER,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
HOGSKOLEN I INNLANDET,Norway,ELVERUM,Higher or Secondary Education Establishments
STIFTELSEN NORGES GEOTEKNISKE INSTITUTT,Norway,OSLO,Other
METEOROLOGISK INSTITUTT,Norway,OSLO,Research Organisations
SIOS SVALBARD AS,Norway,LONGYEARBYEN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
NORSK INSTITUTT FOR LUFTFORSKNING STIFTELSE,Norway,KJELLER,Research Organisations
SCALPRO AS,Norway,RONG,Private for-profit entities (excluding Higher or Secondary Education Establishments)
NORGES TEKNISK-NATURVITENSKAPELIGE UNIVERSITET NTNU,Norway,TRONDHEIM,Higher or Secondary Education Establishments
UNIVERSITETET I STAVANGER,Norway,STAVANGER,Higher or Secondary Education Establishments
CARDIACCS AS,Norway,Oslo,Private for-profit entities (excluding Higher or Secondary Education Establishments)
STIFTELSEN HANDELSHOYSKOLEN BI,Norway,OSLO,Higher or Secondary Education Establishments
BORREGAARD AS,Norway,SARPSBORG,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ELKEM CARBON AS,Norway,OSLO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
TASEN MICROGREENS AS,Norway,OSLO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
GALLIS HELENE,Norway,OSLO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
POLAR PERMACULTURE SOLUTIONS AS,Norway,LONGYEARBYEN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
HAVFORSKNINGSINSTITUTTET,Norway,BERGEN,Research Organisations
CESSDA ERIC,Norway,BERGEN,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
"DURAND DOMINIQUE, DENIS, FABRICE",Norway,FYLLINGSDALEN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
INTERNATIONAL RESEARCH INSTITUTE OFSTAVANGER AS,Norway,Stavanger,Research Organisations
NORCE NORWEGIAN RESEARCH CENTRE AS,Norway,BERGEN,Research Organisations
SIMULA RESEARCH LABORATORY AS,Norway,FORNEBU,Research Organisations
STIFTELSEN SINTEF,Norway,TRONDHEIM,Research Organisations
SINTEF AS,Norway,TRONDHEIM,Research Organisations
SINTEF ENERGI AS,Norway,TRONDHEIM,Research Organisations
STATKRAFT AS,Norway,OSLO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SWECO NORGE AS,Norway,OSLO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
NIBIO - NORSK INSTITUTT FOR BIOOKONOMI,Norway,AAS,Research Organisations
Simis AS,Norway,Malm,Private for-profit entities (excluding Higher or Secondary Education Establishments)
OSLOMET - STORBYUNIVERSITETET,Norway,OSLO,Higher or Secondary Education Establishments
NORD UNIVERSITET,Norway,BODO,Higher or Secondary Education Establishments
NOFIMA AS,Norway,TROMSO,Research Organisations
COVARTEC AS,Norway,FYLLINGSDALEN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
POLYPURE AS,Norway,OSLO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
CICERO SENTER KLIMAFORSKNING STIFTELSE,Norway,Oslo,Research Organisations
CCHANGE AS,Norway,OSLO,Other
AANDERAA DATA INSTRUMENTS AS,Norway,NESTTUN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"Nasjonalmuseet for kunst, arkitektur og design",Norway,Oslo,Other
NORSK ELEKTRO OPTIKK AS,Norway,SKEDSMOKORSET,Private for-profit entities (excluding Higher or Secondary Education Establishments)
NAERINGSLIVETS HOVEDORGANISASJON,Norway,OSLO,Other
OSLO KOMMUNE,Norway,OSLO,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
FLOWPHYS AS,Norway,DRAMMEN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
EQUINOR ENERGY AS,Norway,STAVANGER,Private for-profit entities (excluding Higher or Secondary Education Establishments)
NORUT NORTHERN RESEARCH INSTITUTE AS,Norway,TROMSO,Research Organisations
FORSKNINGSSTIFTELSEN FAFO,Norway,OSLO,Research Organisations
MAGMA GEOPARK AS,Norway,EGERSUND,Other
LEROY SEAFOOD GROUP ASA,Norway,BERGEN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
NORWAY HEALTH TECH,Norway,OSLO,Other
UNI RESEARCH AS,Norway,BERGEN,Research Organisations
HOGSKULEN PA VESTLANDET,Norway,BERGEN,Higher or Secondary Education Establishments
HOGSKULEN I SOGN OG FJORDANE,Norway,SOGNDAL,Higher or Secondary Education Establishments
INSTITUTT FOR ENERGITEKNIKK,Norway,KJELLER,Research Organisations
BUSKERUD FYLKESKOMMUNE,Norway,DRAMMEN,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
MODUM KOMMUNE,Norway,VIKERSUND,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
KONTALI ANALYSE AS,Norway,KRISTIANSUND N,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MILJOSTIFTELSEN BELLONA,Norway,Oslo,Other
MARINE GARDEN AS,Norway,OSLO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
DNV GL AS,Norway,HOVIK,Private for-profit entities (excluding Higher or Secondary Education Establishments)
STIFTELSEN NANSEN SENTER FOR MILJOOG FJERNMALING,Norway,BERGEN,Research Organisations
Prototech AS,Norway,Bergen,Private for-profit entities (excluding Higher or Secondary Education Establishments)
STIFTELSEN RURALIS INSTITUTT FOR RURAL- OG REGIONALFORSKNING,Norway,TRONDHEIM,Research Organisations
VETERINAERINSTITUTTET - NORWEGIAN VETERINARY INSTITUTE,Norway,OSLO,Research Organisations
SAMFUNNS-OG NAERINGSLIVSFORSKNING AS,Norway,BERGEN,Other
STIFTELSEN GRID ARENDAL,Norway,ARENDAL,Other
STIFTELSEN TELEMARKSFORSKING,Norway,BO I TELEMARK,Research Organisations
HELSE STAVANGER HF,Norway,STAVANGER,Other
TRONDHEIM HAVN IKS,Norway,TRONDHEIM,Private for-profit entities (excluding Higher or Secondary Education Establishments)
BLUEYE ROBOTICS AS,Norway,TRONDHEIM,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ANDOYA SPACE CENTER AS,Norway,ANDENES,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SKRETTING AQUACULTURE RESEARCH CENTRE AS,Norway,STAVANGER,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SINTEF OCEAN AS,Norway,TRONDHEIM,Other
FOLKEHELSEINSTITUTTET,Norway,OSLO,Research Organisations
DIREKTORATET FOR STRALEVERN OG ATOMSIKKERHET,Norway,OSTERAAS,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
Technology Centre Mongstad,Norway,MONGSTAD,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ISOSILICON AS,Norway,KRISTIANSAND S,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ENOVA SF,Norway,TRONDHEIM,Private for-profit entities (excluding Higher or Secondary Education Establishments)
HORDALAND FYLKESKOMMUNE,Norway,BERGEN,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
TOPPINDUSTRISENTERET AS,Norway,OSLO,Other
OSLO CANCER CLUSTER SA,Norway,OSLO,Other
TELENOR ASA,Norway,FORNEBU,Private for-profit entities (excluding Higher or Secondary Education Establishments)
CELERWAY COMMUNICATION AS,Norway,FORNEBU,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ELLIPTIC LABORATORIES AS,Norway,OSLO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
INSTITUTT FOR FREDSFORSKNING,Norway,OSLO,Research Organisations
STATENS ARBEIDSMILJOINSTITUTT,Norway,OSLO,Research Organisations
JOTNE EPM TECHNOLOGY AS,Norway,OSLO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
HOGSKOLEN I OSTFOLD,Norway,HALDEN,Higher or Secondary Education Establishments
SAP NORWAY AS,Norway,LYSAKER,Private for-profit entities (excluding Higher or Secondary Education Establishments)
TELLU IOT AS,Norway,ASKER,Private for-profit entities (excluding Higher or Secondary Education Establishments)
CAMBI SOLUTIONS AS,Norway,ASKER,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UNINETT SIGMA2 AS,Norway,TRONDHEIM,Private for-profit entities (excluding Higher or Secondary Education Establishments)
Arctic Monitoring and Assessment Programme Secretariat,Norway,TROMSO,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
STIFTELSEN NORSAR,Norway,KJELLER,Research Organisations
STIFTELSEN TEL-TEK,Norway,PORSGRUNN,Research Organisations
NORGES VASSDRAGS- OG ENERGIDIREKTORAT,Norway,Oslo,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
ZEG POWER AS,Norway,KJELLER,Private for-profit entities (excluding Higher or Secondary Education Establishments)
NAVTOR AS,Norway,EGERSUND,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MARLO AS,Norway,Heer,Private for-profit entities (excluding Higher or Secondary Education Establishments)
EAT STOCKHOLM FOOD FORUM AS,Norway,OSLO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
PRESS,Norway,OSLO,Other
INFODESIGNLAB AS,Norway,OSLO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
COALITION FOR EPIDEMIC PREPAREDNESS INNOVATION,Norway,OSLO,Research Organisations
SEAWEED ENERGY SOLUTIONS AS,Norway,TRONDHEIM,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UNIVERSITETET I SOROST-NORGE,Norway,PORSGRUNN,Higher or Secondary Education Establishments
LITHICON NORWAY AS,Norway,TRONDHEIM,Private for-profit entities (excluding Higher or Secondary Education Establishments)
EYE NETWORKS AS,Norway,OSLO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SMART INNOVATION NORWAY AS,Norway,HALDEN,Research Organisations
TELLU AS,Norway,ASKER,Private for-profit entities (excluding Higher or Secondary Education Establishments)
WOLFFIA AS,Norway,OSLO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MOVATION AS,Norway,OSLO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
KELDA DRILLING CONTROLS AS,Norway,PORSGRUNN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
NORDIC QUANTUM COMPUTING GROUP AS,Norway,OSLO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
TARELAKS AS,Norway,BJORDAL,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MOREFORSKING ALESUND AS,Norway,ALESUND,Research Organisations
STIFTELSEN FLYKTNINGHJELPEN,Norway,OSLO,Other
NORSK POLARINSTITUTT,Norway,TROMSOE,Research Organisations
NORSK HYDRO ASA,Norway,Oslo,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UNIVERSITETSSENTERET PA SVALBARD AS,Norway,LONGYEARBYEN,Higher or Secondary Education Establishments
