name,country,city,businessType
AGA KHAN UNIVERSITY,Pakistan,KARACHI,Higher or Secondary Education Establishments
"MINISTRY OF NATIONAL HEALTH SERICES, REGULATION AND COORDINATION",Pakistan,ISLAMABAD,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
THE INITIATIVE,Pakistan,Islamabad,Research Organisations
UNIVERSITY OF KARACHI,Pakistan,KARAKI,Higher or Secondary Education Establishments
COMSATS UNIVERSITY ISLAMABAD,Pakistan,Islamabad,Higher or Secondary Education Establishments
SOCIETY FOR HUMAN RIGHTS AND PRISON AID,Pakistan,ISLAMABAD,Other
FORMAN CHRISTIAN COLLEGE,Pakistan,LAHORE,Higher or Secondary Education Establishments
PUNJAB INSTITUTE OF CARDIOLOGY (PIC) LAHORE,Pakistan,LAHORE PUNJAB,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
SERVICES INSTITUTE OF MEDICAL SCIENCES,Pakistan,Lahore,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
LAHORE UNIVERSITY OF MANAGEMENT SCIENCES,Pakistan,LAHORE,Higher or Secondary Education Establishments
"THE UNIVERSITY OF AGRICULTURE, PESHAWAR",Pakistan,PESHAWAR,Higher or Secondary Education Establishments
NATIONAL UNIVERSITY OF SCIENCES ANDTECHNOLOGY AT ISLAMABAD,Pakistan,ISLAMABAD,Higher or Secondary Education Establishments
Pakistan Council of Scientific and Industrial Research,Pakistan,Islamabad,Unknown
University of the Punjab,Pakistan,Lahore,Unknown
Aga Kahn Health Services,Pakistan,Gilgit,Unknown
The Aga Khan University,Pakistan,Karachi,Unknown
Pakistan Medical Research Council,Pakistan,Islamabad,Unknown
Health Services Academy,Pakistan,Islamabad,Unknown
Barani Agricultural Research Institute,Pakistan,Chakwal,Unknown
Pakistan Agricultural Research Council,Pakistan,Islamabad,Unknown
"University of Agriculture, Faisalabad",Pakistan,Faisalabad,Unknown
NWFP Agriculture University Peshawar Pakistan,Pakistan,Peshawar,Unknown
National Agriculture Research Centre,Pakistan,Islamabad,Unknown
World-Wide Fund for Nature,Pakistan,Karachi,Unknown
Pakistan Forest Institute,Pakistan,Peshawar,Unknown
Aga Khan Rural Support Programme,Pakistan,Gilgit,Unknown
NATIONAL AGRICULTURAL RESEARCH CENTRE,Pakistan,ISLAMABAD,Unknown
PAKISTAN AGRICULTURAL RESEARCH COUNCIL,Pakistan,ISLAMABAD,Unknown
AGA KHAN UNIVERSITY,Pakistan,KARACHI,Unknown
NATIONAL AGRICULTURAL RESEARCH CENTRE OF PAKISTAN AGRICULTURAL RESEARCH COUNCIL,Pakistan,ISLAMABAD,Unknown
DIABETIC ASSOCIATION OF PAKISTAN,Pakistan,KARACHI,Unknown
PAKISTAN COUNCIL OF RESEARCH IN WATER RESOURCES,Pakistan,ISLAMABAD,Unknown
PAKISTAN FOREST INSTITUTE,Pakistan,PESHAWAR,Unknown
University of Engineering & Technology Peshawar,Pakistan,Peshawar,Higher or Secondary Education Establishments
LOCAL COUNCILS ASSOCIATION OF THE PUNJAB SOCIETY,Pakistan,LAHORE PUNJAB,Other
Pakistan Space and Upper Atmosphere Research Commission,Pakistan,KARACHI,Research Organisations
Democratic Commission For Human Development,Pakistan,"Model Town, Lahore",Private for-profit entities (excluding Higher or Secondary Education Establishments)
LAHORE MEDICAL COLLEGE - ALLAMA IQBAL MEDICAL COLLEGE,Pakistan,LAHORE 20,Higher or Secondary Education Establishments
BAQAI MEDICAL UNIVERSITY,Pakistan,KARACHI,Higher or Secondary Education Establishments
