name,country,city,businessType
UNIVERSIDAD CATOLICA NUESTRA SENORA DE LA ASUNCION,Paraguay,ASUNCION,Higher or Secondary Education Establishments
Instituto Nacional de Enfermedades Respiratorias y del Ambiente - INERAM,Paraguay,Asunción,Other
UNIVERSIDAD NACIONAL DE ASUNCION,Paraguay,ASUNCION,Higher or Secondary Education Establishments
MINISTERIO DE JUSTICIA,Paraguay,ASUNCION,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
CABALLERO LLANO CARMELO CESAR,Paraguay,ASUNCION,Private for-profit entities (excluding Higher or Secondary Education Establishments)
Direccion Nacional de Aeronautica Civil,Paraguay,Asuncion,Unknown
Universidad Nacional de Asuncion,Paraguay,Asuncion,Unknown
INSTITUTO DE INVESTIGACIONES EN CIENCIAS DE LA SALUD,Paraguay,ASUNCION,Unknown
UNIVERSIDAD NACIONAL DE ASUNCION,Paraguay,SAN LORENZO,Unknown
ESTRATEGIAS ENERGETICAS PARA UN DESAROLLO SUSTENTABLE,Paraguay,VILLA MORRA - ASUNCIÃN,Unknown
UNIVERSIDAD DEL CONO SUR DE LAS AMERICAS,Paraguay,ASUNCION,Unknown
FUNDACIÃN PARA EL DESARROLLO SUSTENTABLE DEL CHACO SUDAMERICANO,Paraguay,LOMA PLATA,Unknown
CONSEJO NACIONAL DE CIENCIA Y TECNOLOGIA,Paraguay,ASUNCION,Unknown
UNIVERSIDAD NACIONAL ASUNCION - INSTITUTO DE INVESTIGACIONES EN CIENCIAS DE LA SALUD,Paraguay,Asuncion,Unknown
CONSEJO NACIONAL DE CIENCIA Y TECNOLOGIA,Paraguay,AsunciÃ³n,Unknown
"INSTITUTO DE INVESTIGACIONES EN CIENCIAS DE LA SALUD, UNIVERSIDAD NACIONAL DE ASUNCION",Paraguay,ASUNCION,Unknown
ESTRATEGIAS ENERGETICAS PARA UN DESAROLLO SUSTENTABLE,Paraguay,ASUNCION,Unknown
