name,country,city,businessType
PERIFERIA TERRITORIOS VIVOS SAC,Peru,LIMA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,Peru,LIMA,Higher or Secondary Education Establishments
UNIVERSIDAD PERUANA CAYETANO HEREDIA,Peru,LIMA,Higher or Secondary Education Establishments
UNIVERSIDAD NACIONAL AGRARIA LA MOLINA,Peru,LIMA,Higher or Secondary Education Establishments
Hospital Nacional Dos de Mayo,Peru,Lima,Other
THE MOUNTAIN INSTITUTE INC,Peru,HUARAZ,Other
UNIVERSIDAD DE PIURA,Peru,PIURA,Higher or Secondary Education Establishments
UNIVERSIDAD SAN MARTIN DE PORRES ASOCIACION,Peru,LIMA,Higher or Secondary Education Establishments
UNIVERSIDAD DEL PACIFICO,Peru,LIMA,Higher or Secondary Education Establishments
UNIVERSIDAD NACIONAL SAN AGUSTIN DEAREQUIPA,Peru,AREQUIPA,Higher or Secondary Education Establishments
SUPERINTENDENCIA NACIONAL DE SERVICIOS DE SANEAMIENTO,Peru,LIMA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
CUMBRES EXPLORACIONES SAC,Peru,LIMA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS SAC,Peru,LIMA,Higher or Secondary Education Establishments
INSTITUTO NACIONAL DE ENFERMEDADES NEOPLASICAS-INEN,Peru,LIMA,Research Organisations
UNIVERSIDAD CATOLICA DE SANTA MARIA,Peru,AREQUIPA,Higher or Secondary Education Establishments
CENTRO INTERNACIONAL DE LA PAPA,Peru,Lima,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
UNIVERSIDAD PERUANA CAYETANO HEREDIA,Peru,LIMA,Unknown
INIAA,Peru,Yurimaquas,Unknown
Universidad Nacional Agraria La Molina,Peru,Lima,Unknown
Universidad de Piura,Peru,Piura,Unknown
Universidad Nacional Mayor de San Marcos,Peru,Lima,Unknown
Jefatura - Instituto Nacional de Recursos Naturales,Peru,Lima,Unknown
Universidad Nacional de la AmazonÃ­a Peruana,Peru,Iquitos,Unknown
North Carolina State University,Peru,Lima,Unknown
UNIVERSIDAD NACIONAL DE SAN AGUSTIN DE AREQUIPA,Peru,AREQUIPA,Unknown
INSTITUTO NACIONAL DE ESTADISTICA E INFORMATICA,Peru,LIMA,Unknown
International Potato Center,Peru,Lima 12,Unknown
Universidad Catolica Santa Maria,Peru,Arequipa,Unknown
Universidad Nacional de la AmazonÃ²a Peruana,Peru,Iquitos,Unknown
Centro Eori de Investigacion y Promocion RÃ©gional,Peru,Puerto Maldonado (Madre de Dios),Unknown
Universidad Peruana Cayetano Heredia,Peru,Lima,Unknown
CENTRO DE ESTUDIOS Y PROMOCION DEL DESARROLLO,Peru,AREQUIPA,Unknown
Pontificia Universidad Catolica del Peru,Peru,Lima,Unknown
Universidad Peruana Cayetano Heredia,Peru,San Martin de Porras - Lima,Unknown
Direccion de Salud i Callao - Ministerio de salud,Peru,Bellavista - Callao,Unknown
