name,country,city,businessType
CLEAN AIR INITIATIVE FOR ASIAN CITIES (CIA-ASIA) CENTER INC ASSOCIATION NON STOCK CORPORATION,Philippines,PASIG CITY,Other
CITY OF PASIG,Philippines,PASIG,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
INTERNATIONAL RICE RESEARCH INSTITUTE,Philippines,METRO MANILA,Research Organisations
ADVANCED SCIENCE AND TECHNOLOGY INSTITUTE,Philippines,QUEZON CITY,Research Organisations
IFUGAO STATE UNIVERSITY,Philippines,LAMUT,Higher or Secondary Education Establishments
DAVAO MEDICAL SCHOOL FOUNDATION INC,Philippines,DAVAO CITY,Higher or Secondary Education Establishments
ARCHIPELAGO PHILIPPINE FERRIES CORPORATION,Philippines,MUNTINLUPA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
DE LA SALLE UNIVERSITY,Philippines,MANILA,Higher or Secondary Education Establishments
QUANTUM LEAP JMB MKTG INC,Philippines,TARLAC,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UNIVERSITY OF THE PHILIPPINES SYSTEM,Philippines,QUEZON CITY,Higher or Secondary Education Establishments
ATENEO DE MANILA UNIVERSITY,Philippines,QUEZON CILTY,Higher or Secondary Education Establishments
San Mariano Marcos University,Philippines,Manila,Unknown
Philippine Coconut Authority,Philippines,Manila,Unknown
University of the Philippines at Los Banos,Philippines,Los Banos,Unknown
Philippine Coconut Authority,Philippines,Diliman - Quezon City,Unknown
Philippine Coconut Authority,Philippines,Guinobatan,Unknown
Research Institute for Tropical Medicine,Philippines,Metro Manila,Unknown
Southeast Asian Fisheries DevelopmentCenter,Philippines,Tigbauan - Iloilo,Unknown
Philippine Coconut Authority,Philippines,Davao City,Unknown
Community Medicine Development Foundation,Philippines,Manila,Unknown
"University of the Philippines, Diliman",Philippines,Quezon City,Unknown
University of the Philippines at Los Banos,Philippines,College - Laguna,Unknown
Don Mariano Marcos Memorial State University,Philippines,Bacnotan - La Union,Unknown
University of the Philippines in the Visayas,Philippines,Miuagao Iloilo,Unknown
Lucena City Health Office,Philippines,Lucena City,Unknown
Mines and Geosciences Bureau,Philippines,Los Banos,Unknown
Philippine Nuclear Research Institute,Philippines,Quezan City,Unknown
RESEARCH INSTITUTE FOR TROPICAL MEDICINE,Philippines,MUNTINLUPA CITY,Unknown
Xavier University,Philippines,Cagayan de Oro City,Unknown
Bukidnon Seed Corporation,Philippines,Manolo Fortich,Unknown
Philippine Root Crop Research and Training Centre,Philippines,Leyte,Unknown
PHILIPPINE COCONUT AUTHORITY,Philippines,DILIMAN - QUEZON CITY,Unknown
International Rice Research Institute,Philippines,Manila,Unknown
Southeast Asian Fisheries Development Center,Philippines,Binangonan - Rizal,Unknown
UNIVERSITY OF THE PHILIPPINES AT LOS BANOS,Philippines,LOS BANOS,Unknown
