name,country,city,businessType
INSTYTUT CHEMII BIOORGANICZNEJ POLSKIEJ AKADEMII NAUK,Poland,POZNAN,Research Organisations
PROCHIMIA SURFACES SP. Z O.O.,Poland,SOPOT,Private for-profit entities (excluding Higher or Secondary Education Establishments)
POLITECHNIKA WARSZAWSKA,Poland,WARSZAWA,Higher or Secondary Education Establishments
SZKOLA GLOWNA GOSPODARSTWA WIEJSKIEGO,Poland,WARSZAWA,Higher or Secondary Education Establishments
INSTYTUT CHEMII FIZYCZNEJ POLSKIEJ AKADEMII NAUK,Poland,WARSZAWA,Higher or Secondary Education Establishments
WOJSKOWA AKADEMIA TECHNICZNA IM.JAROSLAWA DABROWSKIEGO,Poland,WARSZAWA,Higher or Secondary Education Establishments
UNIWERSYTET WARSZAWSKI,Poland,WARSZAWA,Higher or Secondary Education Establishments
LUCZYNSKI MICHAL KRZYSZTOF,Poland,OLSZTYN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UNIWERSYTET WARMINSKO MAZURSKI W OLSZTYNIE,Poland,OLSZTYN,Higher or Secondary Education Establishments
WINGSBRIDGE INSTYTUT NAUKOWO-DORADCZY SP ZOO,Poland,WARSZAWA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
FUNDACJA KREATYWNE MAZOWSZE,Poland,WARSZAWA,Other
BTM INNOVATIONS SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA,Poland,WARSZAWA,Other
POLSKIE ZRZESZENIE PRODUCENTOW BYDLA MIESNEGO,Poland,WARSZAWA,Other
INSTYTUT GOSPODARKI SUROWCAMI MINERALNYMI I ENERGIA PAN,Poland,KRAKOW,Research Organisations
UNIWERSYTET MIKOLAJA KOPERNIKA W TORUNIU,Poland,TORUN,Higher or Secondary Education Establishments
"THE HENRYK NIEWODNICZANSKI INSTITUTE OF NUCLEAR PHYSICS, POLISH ACADEMY OF SCIENCES",Poland,KRAKOW,Research Organisations
FUNDACJA UNIWERSYTETU IM ADAMA MICKIEWICZA W POZNANIU,Poland,POZNAN,Research Organisations
NARODOWE CENTRUM BADAN JADROWYCH,Poland,OTWOCK,Research Organisations
MIASTO STOLECZNE WARSZAWA,Poland,WARSZAWA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
INSTYTUT ENERGETYKI,Poland,WARSZAWA,Other
FUNDINGBOX ACCELERATOR SP ZOO,Poland,WARSZAWA,Other
Fundacja Rozwoju Dzieci im. J.A. Komenskiego,Poland,Warszawa,Other
HARIMATA SP ZOO,Poland,KRAKOW,Private for-profit entities (excluding Higher or Secondary Education Establishments)
NARODOWE CENTRUM NAUKI,Poland,KRAKOW,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
INSTYTUT OCEANOLOGII POLSKIEJ AKADEMII NAUK,Poland,SOPOT,Other
AKADEMIA GORNICZO-HUTNICZA IM. STANISLAWA STASZICA W KRAKOWIE,Poland,KRAKOW,Higher or Secondary Education Establishments
UNIWERSYTET JAGIELLONSKI,Poland,KRAKOW,Higher or Secondary Education Establishments
UNIWERSYTET LODZKI,Poland,LODZ,Higher or Secondary Education Establishments
INSTYTUT NISKICH TEMPERATUR I BADAN STRUKTURALNYCH IM. WLODZIMIERZA TRZEBIATOWSKIEGO POLSKIEJ AKADEMII NAUK,Poland,WROCLAW,Research Organisations
UNIWERSYTET SLASKI,Poland,KATOWICE,Higher or Secondary Education Establishments
INSTYTUT OGRODNICTWA,Poland,SKIERNIEWICE,Research Organisations
UNIWERSYTET WROCLAWSKI,Poland,WROCLAW,Higher or Secondary Education Establishments
CENTRALNY INSTYTUT OCHRONY PRACY,Poland,WARSZAWA,Research Organisations
SIEC BADAWCZA LUKASIEWICZ-INSTYTUTLOTNICTWA,Poland,WARSZAWA,Research Organisations
