name,country,city,businessType
SOCIEDADE PORTUGUESA DE INOVACAO CONSULTADORIA EMPRESARIAL E FOMENTO DA INOVACAO SA,Portugal,PORTO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
DOISECO UNIPESSOAL LDA,Portugal,LISBOA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"INESC TEC - INSTITUTO DE ENGENHARIADE SISTEMAS E COMPUTADORES, TECNOLOGIA E CIENCIA",Portugal,PORTO,Research Organisations
MITMYNID LDA,Portugal,AMARANTE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UNIVERSIDADE DO PORTO,Portugal,PORTO,Higher or Secondary Education Establishments
FACULDADE DE MEDICINA VETERINARIA,Portugal,LISBOA,Higher or Secondary Education Establishments
SILICOLIFE LDA,Portugal,BRAGA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ASSOCIACAO DO INSTITUTO SUPERIOR TECNICO PARA A INVESTIGACAO E DESENVOLVIMENTO,Portugal,LISBOA,Research Organisations
UNIVERSIDADE DE COIMBRA,Portugal,COIMBRA,Higher or Secondary Education Establishments
UNIVERSIDADE DO MINHO,Portugal,BRAGA,Higher or Secondary Education Establishments
UNIVERSIDADE DE LISBOA,Portugal,LISBOA,Higher or Secondary Education Establishments
UNIVERSIDADE NOVA DE LISBOA,Portugal,LISBOA,Higher or Secondary Education Establishments
UNIVERSIDADE DE AVEIRO,Portugal,AVEIRO,Higher or Secondary Education Establishments
"ICETA INSTITUTO DE CIENCIAS, TECNOLOGIAS E AGROAMBIENTE DA UNIVERSIDADE DO PORTO",Portugal,PORTO,Research Organisations
PACT PARQUE DO ALENTEJO DE CIENCIAE TECNOLOGIA,Portugal,EVORA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SECRETARIA GERAL DA PRESIDENCIA DA REPUBLICA,Portugal,LISBON,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
FCIENCIAS.ID - ASSOCIACAO PARA A INVESTIGACAO E DESENVOLVIMENTO DE CIENCIAS,Portugal,LISBON,Research Organisations
ASSOCIACAO DE MUNICIPIOS DA REGIAO AUTONOMA DOS ACORES,Portugal,PONTA DELGADA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
