name,country,city,businessType
C.C.I.C.C. LIMITED,Republic of Ireland,DUBLIN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
HEALTH SERVICE EXECUTIVE HSE,Republic of Ireland,NAAS,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
"UNIVERSITY COLLEGE DUBLIN, NATIONAL UNIVERSITY OF IRELAND, DUBLIN",Republic of Ireland,DUBLIN,Higher or Secondary Education Establishments
NATIONAL UNIVERSITY OF IRELAND GALWAY,Republic of Ireland,Galway,Higher or Secondary Education Establishments
"THE PROVOST, FELLOWS, FOUNDATION SCHOLARS & THE OTHER MEMBERS OF BOARD OF THE COLLEGE OF THE HOLY & UNDIVIDED TRINITY OF QUEEN ELIZABETH NEAR DUBLIN",Republic of Ireland,DUBLIN,Higher or Secondary Education Establishments
ENVIRONMENTAL PROTECTION AGENCY OF IRELAND,Republic of Ireland,WEXFORD,Research Organisations
DUBLIN CITY UNIVERSITY,Republic of Ireland,DUBLIN,Higher or Secondary Education Establishments
INSTITIUID TEICNEOLAIOCHTA BHAILE ATHA CLIATH,Republic of Ireland,DUBLIN,Higher or Secondary Education Establishments
ISME LIMITED,Republic of Ireland,DUBLIN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
TECHNOLOGICAL UNIVERSITY DUBLIN,Republic of Ireland,DUBLIN,Higher or Secondary Education Establishments
TEAGASC - AGRICULTURE AND FOOD DEVELOPMENT AUTHORITY,Republic of Ireland,Carlow,Higher or Secondary Education Establishments
FEIRMEOIRI AONTUITHE NA H-EIREANN IONTAOBIATHE TEORANTA LBG,Republic of Ireland,DUBLIN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
PINTAIL LTD,Republic of Ireland,Blackrock,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ROYAL COLLEGE OF SURGEONS IN IRELAND,Republic of Ireland,DUBLIN,Higher or Secondary Education Establishments
IARNROD EIREANN,Republic of Ireland,DUBLIN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ROUGHAN & O'DONOVAN LIMITED,Republic of Ireland,SANDYFORD,Private for-profit entities (excluding Higher or Secondary Education Establishments)
GAVIN AND DOHERTY GEOSOLUTIONS LTD,Republic of Ireland,AUGHRIM WICKLOW,Private for-profit entities (excluding Higher or Secondary Education Establishments)
DEPUY (IRELAND) UNLIMITED,Republic of Ireland,Ringaskiddy,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MARINE INSTITUTE,Republic of Ireland,GALWAY,Research Organisations
