name,country,city,businessType
INSTITUTUL NATIONAL DE CERCETARE DEZVOLTARE PENTRU FIZICA MATERIALELOR,Romania,MAGURELE,Research Organisations
INSTITUTUL NATIONAL DE CERCETARE DEZVOLTARE PENTRU FIZICA LASERILOR PLASMEI SI RADIATIEI,Romania,Magurele / Ilfov,Research Organisations
UNIVERSITATEA DE MEDICINA SI FARMACIE CAROL DAVILA DIN BUCURESTI,Romania,BUCURESTI,Higher or Secondary Education Establishments
INSTITUTUL NATIONAL DE CERCETARE-DEZVOLTARE PENTRU GEOLOGIE SI GEOECOLOGIE MARINA-GEOECOMAR,Romania,BUCHAREST,Research Organisations
INSTITUTUL NATIONAL DE CERCERTARE DEZVOLTARE PENTRU STIINTE BIOLOGICE RA,Romania,BUCURESTI,Research Organisations
REGIA AUTONOMA TEHNOLOGII PENTRU ENERGIA NUCLEARA - RATEN,Romania,MIOVENI,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
NATIONAL ADMINISTRATION APELE ROMANE,Romania,BUCURESTI,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
AGENTIA SPATIALA ROMANA,Romania,BUCURESTI,Research Organisations
MINISTERUL CERCETARII SI INOVARII,Romania,BUCURESTI,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
Ministerul Educatiei si Cercetarii,Romania,Bucuresti,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
INSTITUTUL NATIONAL DE CERCETARE-DEZVOLTARE MEDICO-MILITARA CANTACUZINO,Romania,BUCURESTI,Research Organisations
UNIVERSITATEA DIN ORADEA,Romania,ORADEA,Higher or Secondary Education Establishments
ASOCIATIA MAI BINE,Romania,IASI,Other
UNIVERSITATEA DIN BUCURESTI,Romania,BUCURESTI,Higher or Secondary Education Establishments
"""INSTITUTUL NATIONAL DE CERCETARE -DEZVOLTARE PENTRU FIZICA SI INGINERIE NUCLEARA """"HORIA HULUBEI"""" (IFIN-HH)""",Romania,MAGURELE,Research Organisations
GNOME DESIGN SRL,Romania,SFANTU GHEORGHE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"""INSTITUTUL NATIONAL DE CERCETARE-DEZVOLTARE AEROSPATIALA """"ELIE CARAFOLI""""- INCAS BUCURESTI""",Romania,BUCURESTI,Research Organisations
COMPANIA NATIONALA DE TRANSPORT ALENERGIEI ELECTRICE TRANSELECTRICA SA,Romania,BUCURESTI SECTOR 1,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UNIVERSITATEA POLITEHNICA DIN BUCURESTI,Romania,BUCHAREST,Higher or Secondary Education Establishments
MUNICIPIUL BRASOV,Romania,BRASOV,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
UNIVERSITATEA BABES BOLYAI,Romania,CLUJ NAPOCA,Higher or Secondary Education Establishments
INSTITUTUL NATIONAL DE CERCETARE-DEZVOLTARE PENTRU METALE NEFEROASE SIRARE-IMNR,Romania,PANTELIMON ILFOV,Research Organisations
AGENTIA PENTRU EFICIENTA ENERGETICASI ENERGII REGENERABILE PLOIESTI-PRAHOVA ASOCIATIE,Romania,PLOIESTI,Other
"Unitatea Executiva pentru Finantarea Invatamantului Superior, a Cercetarii, Dezvoltarii si Inovarii",Romania,Bucharest,Research Organisations
INSTITUTUL DE GEOGRAFIE,Romania,Bucharest,Higher or Secondary Education Establishments
INSTITUTE OF AGRICULTURAL ECONOMICS,Romania,BUCHAREST,Research Organisations
INSTITUTUL NATIONAL DE CERCETARE DEZVOLTARE PENTRU ECOLOGIE INDUSTRIALA,Romania,BUCURESTI,Other
INDUSTRIAL SOFTWARE SRL,Romania,SIBIU,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UNIVERSITATEA STEFAN CEL MARE DIN SUCEAVA,Romania,SUCEAVA,Higher or Secondary Education Establishments
FUNDATIA ADEPT TRANSILVANIA,Romania,SACELE,Research Organisations
CONTROL DATA SYSTEMS SRL,Romania,CLUJ NAPOCA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
FUNDATIA DESIRE FUNDATIA PENTRU DESCHIDERE SI REFLEXIE SOCIALA,Romania,CLUJ-NAPOCA,Other
FUNDATIA SATEAN,Romania,BRAILA,Other
INSTITUTUL DE CHIMIE MACROMOLECULARA PETRU PONI,Romania,IASI,Research Organisations
UNIVERSITATEA DE STIINTE AGRICOLE SI MEDICINA VETERINARA CLUJ NAPOCA,Romania,CLUJ NAPOCA,Higher or Secondary Education Establishments
Inspectoratul General al Politiei Romane,Romania,Bucuresti,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
ASOCIATIA AIDER AGRICULTURA INTEGRATA DURABIL ECONOMIC RENTABIL,Romania,BUCURESTI,Other
QUALITY RESPONSIBLE R SRL,Romania,BUCURESTI,Private for-profit entities (excluding Higher or Secondary Education Establishments)
NATIONAL INSTITUTE OF RESEARCH AND DEVELOPMENT FOR OPTOELECTRONICS,Romania,MAGURELE,Research Organisations
ASOCIATIEI AGENTIA DE MANAGEMENT ENERGETIC MARAMURES,Romania,BAIA MARE,Other
AGENTIA PENTRU MANAGEMENTUL ENERGIEI SI PROTECTIA MEDIULUI BRASOV,Romania,BRASOV,Other
ASOCIATIA INSTITUTIO PRO EDUCATIONEM TRANSILVANIENSIS,Romania,MIERCUREA CIUC,Other
JUDETUL HARGHITA,Romania,MIERCUREA CIUC,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
ACADEMIA DE STUDII ECONOMICE DIN BUCURESTI,Romania,BUCURESTI,Higher or Secondary Education Establishments
UNIVERSITATEA DE MEDICINA SI FARMACIE IULIU HATIEGANU CLUJ-NAPOCA,Romania,Cluj-Napoca,Higher or Secondary Education Establishments
UNIVERSITATEA TEHNICA CLUJ-NAPOCA,Romania,CLUJ NAPOCA,Higher or Secondary Education Establishments
UNIVERSITATEA DIN CRAIOVA,Romania,CRAIOVA,Higher or Secondary Education Establishments
FUNDATIA NOUA EUROPA,Romania,BUCURESTI,Research Organisations
UNIVERSITATEA ALEXANDRU IOAN CUZA DIN IASI,Romania,IASI,Higher or Secondary Education Establishments
FUNDATIA THE OPEN NETWORK FOR COMMUNITY DEVELOPMENT,Romania,IASI,Other
Municipiul Suceava,Romania,SUCEAVA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
INSTITUTUL GEOLOGIC AL ROMANIEI,Romania,Bucharest,Research Organisations
UNIVERSITATEA DE VEST DIN TIMISOARA,Romania,TIMISOARA,Higher or Secondary Education Establishments
INSTITUTUL NATIONAL DE CERCETARE-DEZVOLTARE MARINA GRIGORE ANTIPA,Romania,CONSTANTA,Research Organisations
INSTITUTUL DE ARHEOLOGIE VASILE PARVAN,Romania,BUCURESTI,Research Organisations
INSTITUTUL NATIONAL AL PATRIMONIULUI,Romania,BUCURESTI,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
ASOCIATIA ARHIVA ROMANA DE DATE SOCIALE,Romania,BUCURESTI,Research Organisations
INSTITUTUL NATIONAL DE CERCETARE-DEZVOLTARE PENTRU FIZICA PAMANTULUI,Romania,MAGURELE-BUCURESTI,Research Organisations
MUNICIPIU RESEDINTA DE JUDET CONSTANTA,Romania,CONSTANTA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
EUROPEAN INTEGRATED PROJECT,Romania,BUCURESTI,Private for-profit entities (excluding Higher or Secondary Education Establishments)
INSTITUTUL NATIONAL DE SANATATE PUBLICA,Romania,BUCURESTI,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
ASOCIATIA AGENTIA PENTRU EFICIENTA ENERGETICA SI PROTECLIA MEDIULUI,Romania,BUCURESTI,Other
INSTITUTUL DE PNEUMOFTIZIOLOGIE MARIUS NASTA,Romania,BUCURESTI,Research Organisations
FUNDATIA ROMANIAN ANGEL APPEAL,Romania,BUCURESTI,Research Organisations
INSTITUTUL NATIONAL DE CERCETAREDEZVOLTARE PENTRU MICROTEHNOLOGIE,Romania,VOLUNTARI,Research Organisations
