name,country,city,businessType
SKOLKOVO INSTITUTE OF SCIENCE AND TECHNOLOGY,Russia,Moscow,Other
TOMSK POLYTECHNIC UNIVERSITY,Russia,TOMSK,Higher or Secondary Education Establishments
"INSTITUTE OF APPLIED PHYSICS, RUSSIAN ACADEMY OF SCIENCES",Russia,NIZHNY NOVGOROD,Research Organisations
INSTITUTE FOR NUCLEAR RESEARCH OF THE RUSSIAN ACADEMY OF SCIENCES,Russia,MOSKVA,Research Organisations
Budker Institute of Nuclear Physics of SB RUS,Russia,Novosibirsk,Research Organisations
SAINT PETERSBURG STATE UNIVERSITY,Russia,SAINT PETERSBURG,Higher or Secondary Education Establishments
"""NATIONAL RESEARCH NUCLEAR UNIVERSITY """"MEPhI""""""",Russia,MOSCOW,Higher or Secondary Education Establishments
NATIONAL UNIVERSITY OF SCIENCE AND TECHNOLOGY MISIS,Russia,MOSCOW,Higher or Secondary Education Establishments
RUSSIAN RESEARCH CENTRE KURCHATOV INSTITUTE,Russia,MOSCOW,Research Organisations
IOFFE PHYSICO-TECHNICAL INSTITUTE OF THE RUSSIAN ACADEMY OF SCIENCES,Russia,ST PETERSBURG,Research Organisations
"INTERNATIONAL CENTRE FOR INNOVATIONS IN SCIENCE, TECHNOLOGY AND EDUCATION",Russia,MOSCOW,Research Organisations
JOINT INSTITUTE FOR NUCLEAR RESEARCH,Russia,DUBNA,Other
RSK TEHNOLOGII ZAO,Russia,MOSKVA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
Yandex,Russia,Moscow,Private for-profit entities (excluding Higher or Secondary Education Establishments)
FEDERAL STATE UNITARY ENTERPRISE THE CENTRAL AEROHYDRODYNAMIC INSTITUTE NAMED AFTER PROF. N.E. ZHUKOVSKY,Russia,ZHUKOVSKY,Research Organisations
B.P. KONSTANTINOV PETERSBURG NUCLEAR PHYSICS INSTITUTE,Russia,GATCHINA,Higher or Secondary Education Establishments
FEDERAL SCIENTIFIC RESEARCH CENTRECRYSTALLOGRAPHY AND PHOTONICS OF THE RUSSIAN ACADEMY OF SCIENCES,Russia,MOSKVA,Research Organisations
INSTITUTION OF RUSSIAN ACADEMY OF SCIENCES INSTITUTE OF MACROMOLECULAR COMPOUNDS RAS,Russia,ST PETERSBURG,Research Organisations
DELSI OOO,Russia,SAINT PETERSBURG,Private for-profit entities (excluding Higher or Secondary Education Establishments)
INSTITUT OF THE RUSSIAN ACADEMY OF SCIENCES SKRYABIN INSTITUTE OF BIOCHEMISTRY AND PHYSIOLOGY OF MICROORGANISMS RAS,Russia,PUSHCHINO,Research Organisations
THE FEDERAL STATE BUDGETARY INSTITUTION VOEIKOV MAIN GEOPHYSICAL OBSERVATORY,Russia,SAINT PETERSBURG,Research Organisations
P.P. SHIRSHOV INSTITUTE OF OCEANOLOGY OF RUSSIAN ACADEMY OF SCIENCES,Russia,MOSKVA,Research Organisations
FEDERAL STATE BUDGETARY INSTITUTION - INSTITUTE OF WORLD ECONOMY AND INTERNATIONAL RELATIONS OF THE RUSSIAN ACADEMY OF SCIENCES,Russia,MOSCOW,Research Organisations
ORGANIZATION OF THE RUSSIAN ACADEMYOF SCIENCES A.M. OBUKHOV INSTITUTEOF ATMOSPHERIC PHYSICS RAS,Russia,MOSKVA,Research Organisations
A.M. Prokhorov General Physics Institute of Russian Academy of Sciences,Russia,Moscow,Higher or Secondary Education Establishments
ALL-RUSSIAN RESEARCH INSTITUTE OF HYDROMETEOROLOGICAL INFORMATION-WORLD DATA CENTRE,Russia,OBNINSK,Research Organisations
FEDERAL STATE AUTONOMOUS EDUCATIONAL INSTITUTION FOR HIGHER EDUCATION NATIONAL RESEARCH UNIVERSITY HIGHER SCHOOL OF ECONOMICS,Russia,MOSKVA,Higher or Secondary Education Establishments
NIZHEGORODSKIY GOSUDARSTVENNIY UNIVERSITET IM N.I. LOBACHEVSKOGO,Russia,NIZHNY NOVGOROD,Higher or Secondary Education Establishments
NOVOSIBIRSK STATE UNIVERSITY,Russia,NOVOSIBIRSK,Higher or Secondary Education Establishments
CENTRAL AEROLOGICAL OBSERVATORY,Russia,DOLGOPRUDNY,Research Organisations
STATE RESEARCH INSTITUTE OF AVIATION SYSTEMS,Russia,MOSCOW,Research Organisations
ITMO UNIVERSITY,Russia,ST PETERSBURG,Higher or Secondary Education Establishments
FEDERAL STATE BUDGETARY INSTITUTION OF SCIENCE INSTITUTE OF HISTORY AND ARCHAEOLOGY OF THE URAL BRANCH OF THE RUSSIAN ACADEMY OF SCIENCES,Russia,EKATERINBURG,Research Organisations
SMORODINTSEV RESEARCH INSTITUTE OF INFLUENZA OF THE MINISTRY OF HEALTH OF THE RUSSIAN FEDERATION,Russia,ST PETERSBURG,Research Organisations
"""FEDERAL STATE AUTONOMOUS EDUCATIONAL INSTITUTION OF HIGHER PROFESSIONAL EDUCATION """"URAL FEDERAL UNIVERSITY NAMED AFTER THE FIRST PRESIDENT OF RUSSIA B.N.YELTSIN""""""",Russia,YEKATERINBURG,Higher or Secondary Education Establishments
M.V. LOMONOSOV MOSCOW STATE UNIVERSITY,Russia,MOSCOW,Higher or Secondary Education Establishments
Scientific foundation Nansen International Environmental and Remote Sensing Centre,Russia,St. Petersburg,Research Organisations
FEDERALNOE GOSUDARSTVENNOE UNITARNOE PREDPRIYATIE CENTRALNII INSTITUTAVIACIONOGO MOTOROSTROENIYA IMENI PI BARANOVA,Russia,MOSKVA,Other
MOSCOW INSTITUTE OF PHYSICS AND TECHNOLOGY (STATE UNIVERSITY),Russia,MOSCOW,Higher or Secondary Education Establishments
SYNTHAUR OOO,Russia,MOSKVA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
FEDERAL RESEARCH CENTER THE N.I. VAVILOV ALL-RUSSIAN INSTITUTE OF PLANT GENETIC RESOURCES,Russia,ST PETERSBURG,Research Organisations
SCIENTIFIC AND ENGINEERING CENTRE FOR NUCLEAR AND RADIATION SAFETY,Russia,MOSKVA,Higher or Secondary Education Establishments
Topcon Positioning Systems LLC,Russia,Moscow,Other
FEDERAL STATE-FUNDED EDUCATION INSTITUTION OF HIGHER PROFESSIONAL EDUCATION PERM NATIONAL RESEARCH POLYTECHNIC UNIVERSITY,Russia,PERM,Higher or Secondary Education Establishments
Lomonosov Moscow State University,Russia,Moscow,Other
STATE BUDGETARY INSTITUTION OF HEALTH PROTECTION IRKUTSK REGIONAL CENTER ON PREVENTION AND CONTROL OF AIDS AND INFECTION,Russia,IRKUTSK,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
FEDERAL STATE AUTONOMOUS EDUCATIONAL INSTITUTION OF HIGHER PROFESSIONAL EDUCATION NOTHERN (ARCTIC) FEDERAL UNIVERSITY,Russia,ARKHANGELSK,Higher or Secondary Education Establishments
FOUNDATION FOR ASSISTANCE TO SMALL INNOVATIVE ENTERPRISES,Russia,MOSKVA,Other
