name,country,city,businessType
UNIVERSITE CHEIKH ANTA DIOP DE DAKAR,Senegal,DAKAR FANN,Higher or Secondary Education Establishments
IUCN - Senegal,Senegal,Dakar,Other
SONATEL - SA,Senegal,Dakar,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UNIVERSITE GASTON BERGER DE SAINT LOUIS,Senegal,SAINT LOUIS,Higher or Secondary Education Establishments
CODERS4SN,Senegal,DAKAR YOFF,Private for-profit entities (excluding Higher or Secondary Education Establishments)
CROISSANCE TIC DAKAR CTIC DAKAR,Senegal,DAKAR,Other
UNIVERSITE ASSANE SECK DE ZIGUINCHOR,Senegal,ZIGUINCHOR,Higher or Secondary Education Establishments
AGENCE NATIONALE DE LA STATISTIQUE ET DE LA DEMOGRAPHIE,Senegal,DAKAR,Research Organisations
AGENCE POUR LA SECURITE DE LA NAVIGATION AERIENNE EN AFRIQUE ET A MADAGASCAR,Senegal,DAKAR,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
INSTITUT PASTEUR DE DAKAR,Senegal,DAKAR,Research Organisations
MANOBI SENEGAL - SA,Senegal,DAKAR,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ALLIANCE POUR REFONDER LA GOUVERNANCE EN AFRIQUE ARGA,Senegal,DAKAR,Other
CENTRE REGIONAL DE RECHERCHE ET DE FORMATION A LA PRISE EN CHARGE CLINIQUE DU VIH SIDA ET MALADIES ASSOCIEES DE DAKAR CRCF,Senegal,DAKAR,Other
AGENCE NATIONALE POUR LES ENERGIES RENOUVELABLES,Senegal,DAKAR,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
"AFI, L UNIVERSITE DE L ENTREPRISE",Senegal,DAKAR,Private for-profit entities (excluding Higher or Secondary Education Establishments)
CONSEIL NATIONAL DES EMPLOYEURS DU SENEGAL,Senegal,DAKAR,Other
INSTITUT SENEGALAIS DE RECHERCHES AGRICOLES,Senegal,DAKAR,Research Organisations
CONF. RESPONS. RECHER. AGRONOM.AFRIQ. DE L'OUEST & DU CENTRE,Senegal,DAKAR,Research Organisations
CONSERVATION AND RESEARCH OF WEST AFRICAN AQUATIC MAMMALS (COREWAM),Senegal,DAKAR FANN,Other
CENTRE DE SUIVI ECOLOGIQUE,Senegal,DAKAR,Other
CONSEIL NATIONAL DE CONCERTATION ET DE COOPERATION DES RURAUX ASSOCIATION,Senegal,DAKAR,Other
MINISTERE DE L'ENSEIGNEMENT SUPERIEUR DE LA RECHERCHE ET DE L'INNOVATION,Senegal,DAKAR,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
MINISTERE DE L' ENVIRONNEMENT ET DU DEVELOPPEMENT DURABLE,Senegal,DAKAR,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
Institut SÃ©nÃ©galais de Recherches Agricoles,Senegal,Dakar,Unknown
UniversitÃ© de Dakar,Senegal,Dakar,Unknown
ConfÃ©rence des Responsables de Recherche Agronomiquee Africains,Senegal,Dakar,Unknown
Institut Pasteur de Dakar,Senegal,Dakar,Unknown
Laboratory Technician ORANA,Senegal,Dakar,Unknown
INSTITUT SENEGALAIS DE RECHERCHES AGRICOLES,Senegal,DAKAR,Unknown
Institut FranÃ§ais de Recherche Scientifique pour le DÃ©veloppement en CoopÃ©ration - ORSTOM,Senegal,Dakar - Hann,Unknown
Institut Pasteur de Dakar,Senegal,DAKAR,Unknown
Institut FranÃ§ais de Recherche Scientifique pour le DÃ©veloppement en CoopÃ©ration - ORSTOM,Senegal,Dakar,Unknown
Institut SÃ©nÃ©galais de Recherches Agricoles,Senegal,Bambey,Unknown
HÃŽpital Saint-Louis,Senegal,Saint Louis,Unknown
RÃ©gion MÃ©dicale de St.Louis du SÃ©nÃ©gal - MinistÃšre de la SantÃ© Publique et Action Sociale,Senegal,Saint Louis,Unknown
Association SÃ©nÃ©galaise en santÃ© de la RÃ©production,Senegal,Dakar,Unknown
UniversitÃ© Cheikh Anta Diop de Dakar,Senegal,Dakar,Unknown
Institut de Recherche pour le DÃ©veloppement,Senegal,Dakar - Hann,Unknown
Centre de Suivi Ecologique,Senegal,Dakar-Fann,Unknown
UniversitÃ© Cheikh Anta Diop de Dakar,Senegal,Dakar-Fann,Unknown
ENVIRONNEMENT DEVELOPPEMENT ACTION - SAHEL AFRIQUE DE L'OUEST - GROUPES DE RECHERCHE ACTION FORMATION,Senegal,DAKAR,Unknown
UNIVERSITE CHEIKH ANTA DIOP DE DAKAR,Senegal,DAKAR,Unknown
Institut SÃ©nÃ©galais de Recherches Agricoles,Senegal,Dahra,Unknown
SERVICE DE L'ENERGIE EN MILIEU SAHELIEN,Senegal,DAKAR,Unknown
Centre de Recherche Oceanographiques de Dakar-Thiaroye,Senegal,Dakar,Unknown
MinistÃšre de l'Environnement et de laProtection de la Nature,Senegal,Dakar-Fann,Unknown
Service d'Etude et de Recherche pour le DÃ©veloppement Humain en Afrique,Senegal,Dakar,Unknown
UniversitÃ© de Dakar Cheikh Anta DIOP,Senegal,Dakar,Unknown
Ecole Superieure Polytechnique de Dakar,Senegal,Fann- Dakar,Unknown
MINISTRY OF ENVIRONMENT SENEGAL,Senegal,DAKAR,Unknown
REGION MEDICALE DE ST.LOUIS DU SENEGAL - MINISTERE DE LA SANTE PUBLIQUE ET ACTION SOCIALE,Senegal,SAINT-LOUIS,Unknown
MINISTRY OF ENVIRONMENT SENEGAL,Senegal,SAINT LOUIS,Unknown
THE WORLD CONSERVATION UNION,Senegal,DAKAR,Unknown
CENTRE DE RECHERCHE OCEANOGRAPHIQUE DE DAKAR-THIAROYE,Senegal,DAKAR,Unknown
INSTITUT DE RECHERCHE POUR LE DEVELOPPEMENT,Senegal,DAKAR,Unknown
CENTRE D'ETUDE REGIONAL POUR AMELIORATION DE L'ADAPTATION A LA SECHERESSE,Senegal,THIES,Unknown
GROUPE DE RECHERCHE ET D'ECHANGES TECHNOLOGIQUES,Senegal,DAKAR LIBERTE,Unknown
PROGRAMME NATIONAL DE LUTTE CONTRE LA TUBERCULOSE,Senegal,DAKAR,Unknown
ECOLE SUPERIEURE POLYTECHNIQUE,Senegal,DAKAR-FANN,Higher or Secondary Education Establishments
ENVIRONNEMENT ET DEVELOPPEMENT DU TIERS-MONDE,Senegal,DAKAR,Unknown
AGENCE POUR LA SECURITE DE LA NAVIGATION AERIENNE EN AFRIQUE ET A MADAGASCAR,Senegal,DAKAR,Unknown
UNIVERSITE CHEIKH ANTA DIOP DE DAKAR,Senegal,DAKAR FANN,Unknown
ASSOCIATION CENTRE DE SUIVI ECOLOGIQUE POUR LA GESTION DES RESSOURCES NATURELLES,Senegal,DAKAR,Unknown
DIRECTION DE LA METEOROLOGIE NATIONALE DU SENEGAL,Senegal,DAKAR,Unknown
CENTRE DE RECHERCHE OCEANOGRAPHIQUE DE DAKAR THIAROYE,Senegal,DAKAR,Unknown
INSTITUT PASTEUR DE DAKAR,Senegal,DAKAR,Unknown
CENTRE D'ETUDE RÃGIONAL POUR L'AMÃLIORATION DE L'ADAPTATION Ã LA SÃCHERESSE,Senegal,THIÃS,Unknown
COMMISSION SOUS REGIONALE DES PECHES,Senegal,DAKAR,Unknown
INSTITUT UNIVERSITAIRE DE PÃCHE ET D'AQUACULTURE,Senegal,DAKAR,Unknown
UNIVERSITE GASTON BERGER DE SAINT-LOUIS,Senegal,SAINT-LOUIS,Unknown
UNIVERSITE CHEIKH ANTA DIOP,Senegal,DAKAR FANN,Unknown
UNIVERSTIY CHEIKH ANTA DIOP OF DAKAR,Senegal,DAKAR FANN,Unknown
COMMUNE DE MATAM,Senegal,MATAM,Unknown
UNIVERSITY CHEIKH ANTA DIOP,Senegal,DAKAR,Unknown
INSTITUT PANOS AFRIQUE DE L'OUEST,Senegal,DAKAR,Unknown
WORLD WIDE FUND FOR NATURE - WESTERN AFRICAN MARINE ECOREGION,Senegal,DAKAR,Unknown
INSTITUT SENEGALAIS DE RECHERCHES AGRICOLES,Senegal,DAKAR-HANN,Unknown
CENTRE DE RECHERCHES OCEANOGRAPHIQUES DE DAKAR-THIAROYE,Senegal,DAKAR,Unknown
CENTRE DE RECHERCHES OCÃANOGRAPHIQUES DE DAKAR THIAROYE,Senegal,Dakar,Research Organisations
ORGANISATION POUR LA MISE EN VALEUR DU FLEUVE SENEGAL*O.M.V.S. MMVS,Senegal,DAKAR,Unknown
ENDA SAHEL ET AFRIQUE DE L'OUEST (GROUPE RECHERCHE ACTION FORMATION),Senegal,DAKAR,Unknown
UNIVERSITÃ CHEIKH ANTA DIOP,Senegal,DAKAR,Unknown
CENTRE DE SUIVI ECOLOGIQUE,Senegal,DAKAR,Unknown
UNIVERSITE CHEIKH ANTA DIOP CHU LE DANTEC,Senegal,DAKAR,Unknown
GROUPE DE RECHERCHE ET D'APPUI AUX INITIATIVES DU DÃVELOPPEMENT ENDOGÃNE,Senegal,DAKAR FANN,Unknown
SANTÃ REPRODUCTIVE ET GENRE,Senegal,DAKAR,Unknown
INSTITUT SÃNÃGALAIS DE RECHERCHES AGRICOLES,Senegal,DAKAR,Unknown
INSTITUT SENEGALAIS DE RECHERCHES AGRICOLES - ISRA,Senegal,DAKAR,Unknown
ENVIRONMENT AND DEVELOPMENT ACTION IN THE THIRD WORLD,Senegal,DAKAR,Unknown
Agence pour la SÃ©curitÃ© de la Navigation AÃ©rienne en Afrique et Ã  Madagascar,Senegal,Dakar,Other
ECOLE INTER-ETATS DES SCIENCES ET MEDECINE VETERINAIRES DE DAKAR,Senegal,DAKAR,Higher or Secondary Education Establishments
ENDA Tiers Monde,Senegal,Dakar,Research Organisations
CONSEIL REGIONAL DE MATAM,Senegal,MATAM,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
INSTITUT AFRICAIN DE GESTION URBAINE,Senegal,DAKAR,Other
CENTRE DE RECHERCHE SUR LES POLITIQUES SOCIALES,Senegal,DAKAR,Other
CONSORTIUM POUR LA RECHERCHE ECONOMIQUE ET SOCIALE,Senegal,DAKAR,Research Organisations
AGENCE NATIONALE DE LA METEOROLOGIE DU SENEGAL,Senegal,DAKAR,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
ECOLE SUPERIEURE MULTINATIONALE DES TELECOMMUNICATIONS,Senegal,DAKAR,Higher or Secondary Education Establishments
MinistÃšre des Mines et de l'Industrie,Senegal,DAKAR,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
UNIVERSITE INTERNATIONALE DES DIASPORAS AFRICAINES,Senegal,DAKAR,Higher or Secondary Education Establishments
UNION DES ASSOCIATIONS D'ELUS LOCAUX - UAEL,Senegal,DAKAR,Other
THIAM DOUDOU SAKHIR,Senegal,DAKAR,Private for-profit entities (excluding Higher or Secondary Education Establishments)
INSTITUT PANOS AFRIQUE DE L'OUEST,Senegal,DAKAR,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
ASSOCIATION AFRIQUE AGRO EXPORT,Senegal,DAKAR,Other
reseau des plates formes d ong d afrique de l ouest et du centre REPAOC,Senegal,Dakar,Other
