name,country,city,businessType
"MINISTARSTVO PROSVETE, NAUKE I TEHNOLOSKOG RAZVOJA",Serbia,BELGRADE,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
BIOSENSE INSTITUTE - RESEARCH AND DEVELOPMENT INSTITUTE FOR INFORMATION TECHNOLOGIES IN BIOSYSTEMS,Serbia,NOVI SAD,Research Organisations
UNIVERZITET U NOVOM SADU,Serbia,NOVI SAD,Higher or Secondary Education Establishments
FACULTY OF TECHNOLOGY AND METALLURGY  UNIVERSITY OF BELGRADE,Serbia,BELGRADE,Higher or Secondary Education Establishments
INSTITUT ZA FIZIKU,Serbia,BEOGRAD,Research Organisations
INSTITUT ZA NUKLEARNE NAUKE VINCA,Serbia,VINCA BEOGRAD,Other
FACULTY OF CIVIL ENGINEERING,Serbia,BELGRADE,Higher or Secondary Education Establishments
UDRUZENJE POLJOPRIVREDNIKA OPSTINE RUMA,Serbia,PUTINCI,Other
UNIVERZITET U BEOGRADU,Serbia,BEOGRAD,Higher or Secondary Education Establishments
University of Belgrade - Faculty of Mechanical Engineering,Serbia,Belgrade,Higher or Secondary Education Establishments
Univerzitet u Beogradu - Saobracajni fakultet,Serbia,Belgrade,Higher or Secondary Education Establishments
CENTAR ZA PROMOCIJU NAUKE,Serbia,BEOGRAD,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
ELEKTROENERGETSKI KOORDINACIONI CENTAR DOO,Serbia,BEOGRAD,Private for-profit entities (excluding Higher or Secondary Education Establishments)
PRIVREDNA KOMORA SRBIJE,Serbia,BEOGRAD,Other
FAKULTET INZENJERSKIH NAUKA UNIVERZITETA U KRAGUJEVCU,Serbia,KRAGUJEVAC,Higher or Secondary Education Establishments
FACULTY OF AGRICULTURE - UNIVERSITY OF BELGRADE,Serbia,BELGRADE,Higher or Secondary Education Establishments
UDRUZENJE KOMPANIJA ZA PRERADU VOCAI POVRCA KRALJEVO,Serbia,KRALJEVO,Other
PROMETNO PROMETNO DRUSTVO SA OGRANICENOM ODGOVORNOSCU POLO CACAK,Serbia,CACAK,Private for-profit entities (excluding Higher or Secondary Education Establishments)
INSTITUT DRUSTVENIH NAUKA,Serbia,BEOGRAD,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
UNIVERZITET U BEOGRADU - Filozofski fakultet,Serbia,BELGRADE,Higher or Secondary Education Establishments
UNIVERSITY OF BELGRADE - FACULTY OF MINING AND GEOLOGY,Serbia,BELGRADE,Higher or Secondary Education Establishments
FACULTY OF BIOLOGY OF THE UNIVERSITY OF BELGRADE,Serbia,BEOGRAD,Higher or Secondary Education Establishments
