name,country,city,businessType
NANYANG TECHNOLOGICAL UNIVERSITY,Singapore,SINGAPORE,Higher or Secondary Education Establishments
NATIONAL UNIVERSITY OF SINGAPORE PUBLIC COMPANY LIMITED BY GUARANTEE,Singapore,SINGAPORE,Higher or Secondary Education Establishments
HISTOINDEX PTE LTD,Singapore,SINGAPORE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
Singapore University of Technology & Design,Singapore,Singapur,Private for-profit entities (excluding Higher or Secondary Education Establishments)
TauRx Therapeutics Ltd,Singapore,Singapore,Private for-profit entities (excluding Higher or Secondary Education Establishments)
INSTITUTE FOR INFOCOMM RESEARCH,Singapore,SINGAPORE,Research Organisations
Centre for Wireless Communications,Singapore,,Unknown
Deutsche Telekom Berkom GmbH,Singapore,,Unknown
Kent Ridge Digital Labs,Singapore,,Unknown
Institute of Molecular and Cell Biology,Singapore,Singapore,Unknown
National University of Singapore,Singapore,Singapore,Unknown
SingTel Mobile,Singapore,,Unknown
ASIAN MEDIA INFORMATION & COMMUNICATION CENTRE LTD,Singapore,SINGAPORE,Unknown
INSTITUTE FOR INFOCOMM RESEARCH,Singapore,SINGAPORE,Unknown
SINGAPORE GENERAL HOSPITAL,Singapore,SINGAPOUR,Unknown
NATIONAL UNIVERSITY OF SINGAPORE,Singapore,SINGAPORE,Unknown
NATIONAL UNIVERSITY OF SINGAPORE (DEPT. OF BIOLOGICAL SCIENCES),Singapore,Singapore City,Unknown
TEMASEK LIFE SCIENCES LABORATORY,Singapore,NA,Unknown
BIOMEDICAL SCIENCES INSTITUTES,Singapore,SINGAPORE,Unknown
GENOME INSTITUTE SINGAPORE,Singapore,SINGAPORE,Unknown
NANYANG TECHNOLOGICAL UNIVERSITY,Singapore,SINGAPORE,Unknown
GENOME INSTITUTE OF SINGAPORE,Singapore,SINGAPORE,Unknown
"NATIONAL UNIVERSITY OF SINGAPORE, TROPICAL MARINE SCIENCE INSTITUTE",Singapore,SINGAPORE,Unknown
SUN MICROSYSTEMS PTE LTD,Singapore,SINGAPORE,Unknown
PUBLIC UTILITIES BOARD,Singapore,SINGAPORE,Unknown
INFOCOMM DEVELOPMENT AUTHORITY OF SINGAPORE,Singapore,SINGAPORE,Unknown
"AGENCY FOR SCIENCE, TECHNOLOGY AND RESEARCH",Singapore,,Unknown
INFOCOMM DEVELOPMENT AUTHORITY OF SINGAPORE,Singapore,SINGAPORE,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
Clearbridge Biomedics Pte Ltd,Singapore,Singapore,Unknown
INSTITUTE OF MATERIALS RESEARCH AND ENGINEERING,Singapore,SINGAPORE,Research Organisations
BIOMEDICAL SCIENCES INSTITUTES Limited by Guarantee,Singapore,SINGAPORE,Research Organisations
BRITISH HIGH COMMISSION,Singapore,SINGAPORE,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
INSTITUTE OF CHEMICAL AND ENGINEERING SCIENCES LIMITED,Singapore,SINGAPORE,Higher or Secondary Education Establishments
SINGAPORE MANAGEMENT UNIVERSITY,Singapore,SINGAPORE,Higher or Secondary Education Establishments
