name,country,city,businessType
MEDZINARODNE LASEROVE CENTRUM,Slovakia,BRATISLAVA,Research Organisations
NARODNY TRUST NO,Slovakia,BRATISLAVA,Other
SPINEA SRO,Slovakia,PRESOV,Private for-profit entities (excluding Higher or Secondary Education Establishments)
USTAV EXPERIMENTALNEJ FYZIKY SLOVENSKEJ AKADEMIE VIED,Slovakia,KOSICE,Higher or Secondary Education Establishments
UNIVERZITA PAVLA JOZEFA SAFARIKA V KOSICIACH,Slovakia,KOSICE,Higher or Secondary Education Establishments
INSTITUTE OF LANDSCAPE ECOLOGY OF THE SLOVAK ACADEMY OF SCIENCES,Slovakia,BRATISLAVA,Higher or Secondary Education Establishments
SLOVENSKA POLNOHOSPODARSKA UNIVERZITA V NITRE,Slovakia,NITRA,Higher or Secondary Education Establishments
SAFTRA PHOTONICS SRO,Slovakia,KOSICE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
RIMANEC SRO,Slovakia,PLIESOVCE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UNIVERZITA  KONSTANTINA FILOZOFA VNITRE,Slovakia,NITRA,Higher or Secondary Education Establishments
CENTRUM VEDECKO TECHNICKYCH INFORMACII SLOVENSKEJ REPUBLIKY,Slovakia,BRATISLAVA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
NEULOGY AS,Slovakia,BRATISLAVA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
BIC BRATISLAVA SPOL SRO,Slovakia,BRATISLAVA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UNIVERZITA MATEJA BELA V BANSKEJ BYSTRICI,Slovakia,BANSKA BYSTRICA,Higher or Secondary Education Establishments
PEDAL CONSULTING SRO,Slovakia,MARTIN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MINISTRY OF ENVIRONMENT,Slovakia,BRATISLAVA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
SLOVENSKA AGENTURA ZIVOTNEHO PROSTREDIA,Slovakia,BANSKA BYSTRICA,Research Organisations
MOTION ZONE SRO,Slovakia,BRATISLAVA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SLOVENSKA AKADEMIA VIED,Slovakia,BRATISLAVA,Research Organisations
CENTRUM TRANSDISCIPLINARNYCH STUDIICETIP N.O.,Slovakia,BRATISLAVA,Other
TRNAVSKA UNIVERZITA V TRNAVE,Slovakia,TRNAVA,Higher or Secondary Education Establishments
"LETOVE PREVADZKOVE SLUZBY SLOVENSKEJ REPUBLIKY, STATNY PODNIK",Slovakia,BRATISLAVA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
TECHNICKA UNIVERZITA V KOSICIACH,Slovakia,KOSICE,Higher or Secondary Education Establishments
KOSICKY SAMOSPRAVNY KRAJ,Slovakia,KOSICE,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
NARODNE LESNICKE CENTRUM,Slovakia,ZVOLEN,Other
VYSKUMNY USTAV PAPIERA A CELULOZY AS,Slovakia,BRATISLAVA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UNIVERZITA KOMENSKEHO V BRATISLAVE,Slovakia,BRATISLAVA,Higher or Secondary Education Establishments
NEUROIMUNOLOGICKY USTAV SLOVENSKEJAKADEMIA VIED,Slovakia,BRATISLAVA,Research Organisations
SLOVENSKA TECHNICKA UNIVERZITA V BRATISLAVE,Slovakia,BRATISLAVA,Higher or Secondary Education Establishments
"Institute of Electrical Engineering, Slovak Academy of Sciences",Slovakia,Bratislava,Research Organisations
STATNY GEOLOGICKY USTAV DIONYZA STURA,Slovakia,BRATISLAVA,Research Organisations
EXPRO S.R.O.,Slovakia,SALA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
HOLIG GROUP AS,Slovakia,BRATISLAVA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ENVIRONMENTAL INSTITUTE s.r.o.,Slovakia,KOS,Private for-profit entities (excluding Higher or Secondary Education Establishments)
KAJO SRO,Slovakia,BYTCA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MASA TECH S.R.O.,Slovakia,STARA TURA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SOCIOLOGICKY USTAV SLOVENSKEJ AKADEMIE VIED,Slovakia,BRATISLAVA,Research Organisations
BIOPHIL CENTRAL EUROPE SRO,Slovakia,BRATISLAVA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
TATRAMED SOFTWARE SRO,Slovakia,BRATISLAVA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
HOLCIM EMERGING EUROPE SERVICES SRO,Slovakia,Bratislava,Private for-profit entities (excluding Higher or Secondary Education Establishments)
CHEMICKY USTAV SLOVENSKEJ AKADEMIEVIED,Slovakia,BRATISLAVA,Research Organisations
BIOMEDICAL ENGINEERING S.R.O,Slovakia,KOSICE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
STREDOEUROPSKY INSTITUT PRE VYSKUMPRACE ZDRUZENIE,Slovakia,BRATISLAVA RUZINOV,Other
CENTRUM SPOLOCNYCH CINNOSTI SLOVENSKEJ AKADEMIE VIED,Slovakia,BRATISLAVA,Other
GLOBAL WATER PARTNERSHIP CENTRAL AND EASTERN EUROPE,Slovakia,BRATISLAVA,Other
USTAV EKOLOGIE LESA SLOVENSKEJ AKADEMIE VIED,Slovakia,ZVOLEN,Research Organisations
BROADBIT ENERGY TECHNOLOGIES SRO,Slovakia,Komarno,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ZILINSKA UNIVERZITA V ZILINE,Slovakia,ZILINA,Higher or Secondary Education Establishments
