name,country,city,businessType
UNIVERZITETNI KLINICNI CENTER LJUBLJANA,Slovenia,LJUBLJANA,Higher or Secondary Education Establishments
KEMIJSKI INSTITUT,Slovenia,LJUBLJANA,Research Organisations
UNIVERZA V LJUBLJANI,Slovenia,LJUBLJANA,Higher or Secondary Education Establishments
"Ministrstvo za izobrazevanje, znanost in sport",Slovenia,Ljubljana,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
KOLEKTOR GROUP VODENJE IN UPRAVLJANJE DRUZB DOO,Slovenia,IDRIJA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MEDEX ZIVILSKA INDUSTRIJA DOO,Slovenia,LJUBLJANA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
NACIONALNI INSTITUT ZA BIOLOGIJO,Slovenia,LJUBLJANA,Research Organisations
MINISTRSTVO ZA NOTRANJE ZADEVE,Slovenia,LJUBLJANA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
UNIVERZA V MARIBORU,Slovenia,MARIBOR,Higher or Secondary Education Establishments
INSTITUT JOZEF STEFAN,Slovenia,LJUBLJANA,Research Organisations
SLOVENSKE ZELEZNICE INFRASTRUKTURA DRUZBA ZA UPRAVLJANJE IN VZDRZEVANJE ZELEZNISKE INFRASTRUKTURE TER VODENJE ZELEZNISKEGA PROMETA DOO,Slovenia,Ljubljana,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ZAVOD ZA GRADBENISTVO SLOVENIJE,Slovenia,LJUBLJANA,Research Organisations
ARCTUR RACUNALNISKI INZENIRING DOO,Slovenia,NOVA GORICA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
DRUSTVO URBANI CEBELAR,Slovenia,LJUBLJANA,Other
"BORZEN, OPERATER TRGA Z ELEKTRIKO,D.O.O.",Slovenia,LJUBLJANA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
HOLDING SLOVENSKE ELEKTRARNE DOO,Slovenia,LJUBLJANA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"C & G SKUPINA, INVESTIRANJE IN SVETOVANJE DOO",Slovenia,LJUBJANA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"MELU, mizarstvo, d.o.o.",Slovenia,Luce,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"CIRCULAR CHANGE, INSTITUT ZA KROZNO GOSPODARSTVO",Slovenia,LJUBLJANA,Other
AQUAFILSLO PROIZVODNJA POLIAMIDNIH FILAMENTOV IN GRANULATOV DOO,Slovenia,LJUBLJANA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ZNANSTVENORAZISKOVALNI CENTER SLOVENSKE AKADEMIJE ZNANOSTI IN UMETNOSTI,Slovenia,LJUBLJANA,Research Organisations
MESTNA OBCINA VELENJE,Slovenia,VELENJE,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
ZAVOD ENERGETSKA AGENCIJA ZA SAVINJSKO SALESKO IN KOROSKO,Slovenia,VELENJE,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
UNIVERZA V NOVI GORICI,Slovenia,NOVA GORICA,Higher or Secondary Education Establishments
"ISKRATEL, TELEKOMUNIKACIJSKI SISTEMI,DOO,KRANJ",Slovenia,KRANJ,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"ELVEZ, PROIZVODNJA KABELSKE KONFEKCIJE IN PREDELAVA PLASTICNIH MAS DOO",Slovenia,VISNJA GORA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UNIVERZA NA PRIMORSKEM UNIVERSITA DEL LITORALE,Slovenia,KOPER,Higher or Secondary Education Establishments
ELES DOO SISTEMSKI OPERATER PRENOSNEGA ELEKTROENERGETSKEGA OMREZJA,Slovenia,LJUBLJANA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
POMURSKI TEHNOLOSKI PARK PODJETJE ZA POSPESEVANJE PODJETNISTVA V POMURJU DOO,Slovenia,MURSKA SOBOTA,Other
JAVNA AGENCIJA ZA RAZISKOVALNO DEJAVNOST REPUBLIKE SLOVENIJE,Slovenia,LJUBLJANA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
MESTNA OBCINA PTUJ,Slovenia,PTUJ,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
"E-ZAVOD, ZAVOD ZA PROJEKTNO SVETOVANJE, RAZISKOVANJE IN RAZVOJ CELOVITIH RESITEV",Slovenia,PTUJ,Research Organisations
KULTURNO IZOBRAZEVALNO DRUSTVO KIBLA,Slovenia,MARIBOR,Other
"ZAVOD ZA KULTURO, TURIZEM IN PROMOCIJO GORNJA RADGONA",Slovenia,GORNJA RADGONA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
"ZAVOD ZA KULTURO, UMETNOST IN IZOBRAZEVANJE KERSNIKOVA",Slovenia,LJUBLJANA,Other
