name,country,city,businessType
VINPRO,South Africa,SUIDER PAARL,Other
PATHO SOLUTIONS (PTY) LTD,South Africa,PRETORIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UNIVERSITY OF PRETORIA,South Africa,PRETORIA,Higher or Secondary Education Establishments
STELLENBOSCH UNIVERSITY,South Africa,STELLENBOSCH,Higher or Secondary Education Establishments
UNIVERSITY OF THE WITWATERSRAND JOHANNESBURG,South Africa,JOHANNESBURG,Higher or Secondary Education Establishments
DEPARTMENT OF SCIENCE AND INNOVATION,South Africa,BRUMMERIA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
NOORDWES-UNIVERSITEIT,South Africa,POTCHEFSTROOM,Higher or Secondary Education Establishments
DIVERS ALERT NETWORK SOUTHERN AFRICA,South Africa,DURBANVILLE,Other
COUNCIL FOR SCIENTIFIC AND INDUSTRIAL RESEARCH,South Africa,PRETORIA,Research Organisations
UNIVERSITY OF THE WESTERN CAPE,South Africa,CAPE TOWN,Higher or Secondary Education Establishments
MERENSKY TIMBER (PTY) LTD,South Africa,JOHANNESBURG,Private for-profit entities (excluding Higher or Secondary Education Establishments)
NATIONAL RESEARCH FOUNDATION,South Africa,PRETORIA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
UNIVERSITY OF CAPE TOWN,South Africa,RONDEBOSCH,Higher or Secondary Education Establishments
THE SOUTH AFRICAN NUCLEAR ENERGY CORPORATION LIMITED,South Africa,PRETORIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
WATER RESEARCH COMMISSION,South Africa,PRETORIA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
NELSON MANDELA UNIVERSITY,South Africa,PORT ELIZABETH,Higher or Secondary Education Establishments
DMT-KAI BATLA PTY LTD,South Africa,RANDBURG,Private for-profit entities (excluding Higher or Secondary Education Establishments)
African Circular Economy Network,South Africa,Cape Town,Other
MARIFEED PTY LTD,South Africa,HERMANUS,Private for-profit entities (excluding Higher or Secondary Education Establishments)
WILD COAST ABALONE,South Africa,EAST LONDON,Private for-profit entities (excluding Higher or Secondary Education Establishments)
RHODES UNIVERSITY,South Africa,GRAHAMSTOWN,Higher or Secondary Education Establishments
MAKERS BE LIKE,South Africa,DURBAN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
CAPE PENINSULA UNIVERSITY OF TECHNOLOGY,South Africa,BELLVILLE,Higher or Secondary Education Establishments
THE SOUTH AFRICAN SAN INSTITUTE TRUST,South Africa,KIMBERLEY,Other
ESTEQ ENGINEERING (PTY) LTD,South Africa,PRETORIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ARMAMENTS CORPORATION OF SOUTH AFRICA,South Africa,PRETORIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
THE AURUM INSTITUTE NPC,South Africa,PARKTOWN JOHANNESBURG,Research Organisations
WITS HEALTH CONSORTIUM (PTY) LTD,South Africa,Johannesburg,Private for-profit entities (excluding Higher or Secondary Education Establishments)
TSHWANE UNIVERSITY OF TECHNOLOGY,South Africa,PRETORIA,Higher or Secondary Education Establishments
UNIVERSITY OF KWAZULU-NATAL,South Africa,WESTVILLE,Higher or Secondary Education Establishments
University of Limpopo,South Africa,Polokwane,Higher or Secondary Education Establishments
MINTEK,South Africa,RANDBURG,Research Organisations
