name,country,city,businessType
KAIST,South Korea,DAEJEON,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MEGAGEN IMPLANT CO LTD,South Korea,DAEGU,Private for-profit entities (excluding Higher or Secondary Education Establishments)
CHONNAM NATIONAL UNIVERSITY,South Korea,GWANGJU,Higher or Secondary Education Establishments
KYUNGPOOK NATIONAL UNIVERSITY,South Korea,DAEGU,Higher or Secondary Education Establishments
KOREA INSTITUTE FOR ADVANCED STUDY,South Korea,SEOUL,Research Organisations
KOREA ATOMIC ENERGY RESEARCH INSTITUTE,South Korea,DAEJEON,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
Kora Advanced Institute of Technology,South Korea,Daejeon,Higher or Secondary Education Establishments
KOREA ADVANCED INSTITUTE OF SCIENCE AND TECHNOLOGY,South Korea,DAEJEON,Private for-profit entities (excluding Higher or Secondary Education Establishments)
GWANGJU INSTITUTE OF SCIENCE AND TECHNOLOGY,South Korea,Gwang-ju,Higher or Secondary Education Establishments
GLOBAL GREEN GROWTH INSTITUTE,South Korea,SEOUL,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
SEOUL NATIONAL UNIVERSITY,South Korea,SEOUL,Higher or Secondary Education Establishments
University of Ulsan,South Korea,Ulsan,Higher or Secondary Education Establishments
YONSEI UNIVERSITY,South Korea,SEOUL,Higher or Secondary Education Establishments
ENG TECH CO LTD,South Korea,DAEJEON,Private for-profit entities (excluding Higher or Secondary Education Establishments)
KOREA RESEARCH INSTITUTE OF CHEMICAL TECHNOLOGY,South Korea,DAEJEON,Higher or Secondary Education Establishments
ULSAN NATIONAL INSTITUTE OF SCIENCE AND TECHNOLOGY,South Korea,ULSAN,Higher or Secondary Education Establishments
POHANG UNIVERSITY OF SCIENCE AND TECHNOLOGY,South Korea,POHANG,Higher or Secondary Education Establishments
CHEMOPTICS INC,South Korea,DAEJEON,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ELECTRONICS AND TELECOMMUNICATIONS RESEARCH INSTITUTE,South Korea,DAEJON,Research Organisations
INTERNATIONAL TUBERCULOSIS RESEARCH CENTER,South Korea,GYEONGSANGNAM DO,Research Organisations
INTERNATIONAL VACCINE INSTITUTE,South Korea,Seoul,Research Organisations
METABUILD CORPORATION,South Korea,SEOUL,Private for-profit entities (excluding Higher or Secondary Education Establishments)
YOON IDEA LAB CO LTD,South Korea,SEOUL,Private for-profit entities (excluding Higher or Secondary Education Establishments)
KOREA RESEARCH INSTITUTE OF STANDARDS AND SCIENCE,South Korea,DAEJEON,Research Organisations
"MBD CO, LTD",South Korea,"SUWON-SI, GYEONGGI-DO",Private for-profit entities (excluding Higher or Secondary Education Establishments)
KOREA BASIC SCIENCE INSTITUTE,South Korea,DAEJEON,Research Organisations
KOREA OCEAN RESEARCH AND DEVELOPMENT INSTITUTE,South Korea,ANSAN,Research Organisations
SUNDOSOFT LTD,South Korea,SEOUL,Private for-profit entities (excluding Higher or Secondary Education Establishments)
Korea Institute of Science and Technology,South Korea,Seoul,Research Organisations
INDUSTRY-UNIVERSITY COOPERATION FOUNDATION OF HANYANG UNIVERSITY,South Korea,SEOUL,Higher or Secondary Education Establishments
KOREA ELECTRONICS TECHNOLOGY INSTITUTE,South Korea,SEONGNAM SI GYEONGGI DO,Research Organisations
KIGAM (KOREA INSTITUTE OF GEOSCIENCE AND MINERAL RESOURCES),South Korea,DAEJOEN,Research Organisations
KOREA INSTITUTE OF CIVIL ENGINEERING AND BUILDING TECHNOLOGY,South Korea,GOYANG,Research Organisations
NEXGEO INC,South Korea,Seoul,Private for-profit entities (excluding Higher or Secondary Education Establishments)
TEIN COOPERATION CENTER FOUNDATION,South Korea,SEOUL,Other
SEONGNAM INDUSTRY PROMOTION AGENCY,South Korea,SEONGNAM,Other
ULIKE CO LTD,South Korea,GYEONGGI-DO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
Jipyong Space Inc,South Korea,Seoul,Other
TO21 CO LTD,South Korea,SOEUL,Private for-profit entities (excluding Higher or Secondary Education Establishments)
OSCUBE,South Korea,SEOUL,Private for-profit entities (excluding Higher or Secondary Education Establishments)
EUROPEAN CHAMBER OF COMMERCE IN KOREA,South Korea,SEOUL,Other
KOREA ASTRONOMY AND SPACE SCIENCE INSTITUTE,South Korea,DAEJOEN,Research Organisations
KOREA AVIATION TECHNOLOGIES CO LTD,South Korea,INCHEON,Private for-profit entities (excluding Higher or Secondary Education Establishments)
INHA UNIVERSITY RESEARCH AND BUSINES FOUNDATION,South Korea,INCHEON,Other
UNIVERSITY OF SEOUL INDUSTRYCOOPERATION FOUNDATION,South Korea,SEOUL,Research Organisations
MOSIM AND SALIM RESEARCH INSTITUTE,South Korea,SEOUL,Research Organisations
CENTER FOR ECONOMIC CATCH-UP,South Korea,SEOUL,Research Organisations
EWHA WOMANS UNIVERSITY,South Korea,Seoul,Higher or Secondary Education Establishments
Hanyang University,South Korea,Seoul,Other
Samsung Healthcare,South Korea,Seúl,Other
SUNGKYUNKWAN UNIVERSITY,South Korea,SUWON,Higher or Secondary Education Establishments
KOREA INSTITUTE OF ROBOT AND CONVERGENCE,South Korea,POHANG,Private for-profit entities (excluding Higher or Secondary Education Establishments)
KYUNGHEE UNIVERSITY-INDUSTRY COOPERATION FOUNDATION,South Korea,YONGIN,Research Organisations
GLOBAL SMES BUSINESS COUNCIL,South Korea,SEOUL,Research Organisations
KOREA UNIVERSITY,South Korea,SEONGBUK GU SEOUL,Private for-profit entities (excluding Higher or Secondary Education Establishments)
