name,country,city,businessType
AGRISAT IBERIA SL,Spain,ALBACETE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ACONDICIONAMIENTO TARRASENSE ASSOCIACION,Spain,TERRASSA,Research Organisations
FUNDACION CENTRO NACIONAL DE INVESTIGACIONES ONCOLOGICAS CARLOS III,Spain,MADRID,Research Organisations
BARCELONA SUPERCOMPUTING CENTER - CENTRO NACIONAL DE SUPERCOMPUTACION,Spain,BARCELONA,Research Organisations
UNIVERSITAT POLITECNICA DE VALENCIA,Spain,VALENCIA,Higher or Secondary Education Establishments
LGAI TECHNOLOGICAL CENTER SA,Spain,CERDANYOLA DEL VALLES BARCELONA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MIDATECH PHARMA ESPANA SL,Spain,DERIO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
GALCHIMIA SA,Spain,O PINO A CORUNA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UNIVERSIDAD DE SANTIAGO DE COMPOSTELA,Spain,SANTIAGO DE COMPOSTELA,Higher or Secondary Education Establishments
ISERN PATENTES Y MARCAS M SL,Spain,MADRID,Private for-profit entities (excluding Higher or Secondary Education Establishments)
Fundacion IMDEA Energia,Spain,MOSTOLES MADRID,Research Organisations
NANOSCALE BIOMAGNETICS SOCIEDAD LIMITADA,Spain,ZARAGOZA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UNIVERSITAT DE VALENCIA,Spain,VALENCIA,Higher or Secondary Education Establishments
FUNDACION PRIVADA INSTITUTO DE SALUD GLOBAL BARCELONA,Spain,BARCELONA,Research Organisations
SERVIZO GALEGO DE SAUDE,Spain,Santiago de Compostela,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
INSTITUTO NACIONAL DE INVESTIGACION Y TECNOLOGIA AGRARIA Y ALIMENTARIA OA MP,Spain,MADRID,Research Organisations
UNIVERSIDAD COMPLUTENSE DE MADRID,Spain,MADRID,Higher or Secondary Education Establishments
AGENCIA ESTATAL CONSEJO SUPERIOR DEINVESTIGACIONES CIENTIFICAS,Spain,MADRID,Research Organisations
FUNDACION PARA LA INVESTIGACION DEL HOSPITAL UNIVERSITARIO LA FE DE LA COMUNIDAD VALENCIANA,Spain,VALENCIA,Research Organisations
VLC PHOTONICS SOCIEDAD LIMITADA,Spain,VALENCIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
FUNDACIO PRIVADA INSTITUT CATALA D'INVESTIGACIO QUIMICA,Spain,TARRAGONA,Research Organisations
FUNDACIO INSTITUT DE CIENCIES FOTONIQUES,Spain,Castelldefels,Research Organisations
