name,country,city,businessType
INTERNATIONAL WATER MANAGEMENT INSTITUTE IWMI,Sri Lanka,COLOMBO,Research Organisations
UNIVERSITRY OF PERADENIYA,Sri Lanka,PERADENIYA,Higher or Secondary Education Establishments
UNIVERSITY OF KELANIYA,Sri Lanka,KELANIYA,Higher or Secondary Education Establishments
UNIVERSITY OF COLOMBO,Sri Lanka,COLOMBO WESTERN PROVINCE,Higher or Secondary Education Establishments
INSTITUTE FOR HEALTH POLICY,Sri Lanka,COLOMBO,Research Organisations
CEREBRAL PALSY LANKA FOUNDATION,Sri Lanka,COLOMBO,Other
University of Peradeniya,Sri Lanka,Peradeniya,Unknown
University of Colombo,Sri Lanka,Colombo,Unknown
Veterinary Research Institute,Sri Lanka,Peradeniya,Unknown
National Aquatic Resources Agency,Sri Lanka,Colombo 15,Unknown
University of Kelaniya,Sri Lanka,Kelaniya,Unknown
"Institute of Fundamental Studies, Srilanka",Sri Lanka,Kandy,Unknown
Lanka Rain Water Harvesting Forum,Sri Lanka,5 Colombo,Unknown
University of Ruhuna,Sri Lanka,Hatara,Unknown
NATIONAL AQUATIC RESOURCES RESEARCH AND DEVELOPMENT AGENCY,Sri Lanka,COLOMBO,Unknown
UNIVERSITY OF PERADENIYA,Sri Lanka,PERADENIYA,Unknown
RUBBER RESEARCH INSTITUTE OF SRI LANKA,Sri Lanka,AGALAWATTA,Unknown
UNIVERSITY OF COLOMBO,Sri Lanka,COLOMBO,Unknown
INSTITUTE OF POLICY STUDIES OF SRI LANKA,Sri Lanka,COLOMBO,Unknown
COSI FOUNDATION FOR TECHNICAL COOPERATION,Sri Lanka,KATUGASTOTA,Unknown
"DEPARTMENT OF SOCIOLOGY, UNIVERSITY OF COLOMBO",Sri Lanka,COLOMBO,Unknown
DISASTER MANAGEMENT CENTRE,Sri Lanka,COLOMBO 07,Unknown
INTERNATIONAL WATER MANAGEMENT INSTITUTE IWMI,Sri Lanka,COLOMBO,Unknown
UNIVERSITY OF MORATUWA,Sri Lanka,MORATUWA,Higher or Secondary Education Establishments
FEDERATION OF SRI LANKAN LOCAL GOVERNMENT AUTHORITIES,Sri Lanka,COLOMBO,Other
MINISTRY OF HEALTH AND NUTRITION,Sri Lanka,COLOMBO,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
