name,country,city,businessType
CANAAN CENTER FOR ORGANIC RESEARCH AND EXTENSION,State of Palestine,JENIN,Research Organisations
APPLIED RESEARCH INSTITUTE JERUSALEM ASSOCIATION,State of Palestine,Bethlehem,Research Organisations
THE WONDER CABINET COMPANY FOR CULTURE AND ARTS,State of Palestine,BETHLEHEM,Research Organisations
AN-NAJAH NATIONAL UNIVERSITY,State of Palestine,NABLUS,Higher or Secondary Education Establishments
ACCREDITATION AND QUALITY ASSURANCE COMMISSION,State of Palestine,ramallah,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
Islamic University of Gaza,State of Palestine,GAZA,Higher or Secondary Education Establishments
PALESTINIAN CENTER FOR POLICY AND SURVEY RESEARCH,State of Palestine,RAMALLAH,Other
DAR AL KALIMA UNIVERSITY COLLEGE OFARTS AND CULTURE,State of Palestine,BETHLEHEM,Higher or Secondary Education Establishments
Palestinian Energy and Environment Research Centre,State of Palestine,Nablus,Unknown
AN NAJAH NATIONAL UNIVERSITY,State of Palestine,NABLUS - WEST BANK,Unknown
APPLIED RESEARCH INSTITUTE - JERUSALEM,State of Palestine,WEST BANK,Unknown
PALESTINE POLYTECHNIC UNIVERSITY,State of Palestine,HEBRON,Unknown
AL AZHAR UNIVERSITY - GAZA,State of Palestine,GAZA,Unknown
GAZA HEALTH SERVICES RESEARCH CENTER,State of Palestine,GAZA,Unknown
BIRZEIT UNIVERSITY,State of Palestine,BIRZEIT,Unknown
PALESTINIAN HYDROLOGY GROUP FOR WATER AND ENVIRONMENTAL RESOURCES DEVELOPMENT,State of Palestine,PALESTINIAN AUTHORITY,Unknown
VIA MARIS LTD,State of Palestine,REMAL/GAZA,Unknown
ISLAMIC UNIVERSITY - GAZA,State of Palestine,GAZA CITY,Unknown
MINISTRY OF HIGHER EDUCATION,State of Palestine,RAMALLAH,Unknown
APPLIED RESEARCH INSTITUTE - JERUSALEM,State of Palestine,BETHLEHEM,Unknown
PALESTINIAN HYDROLOGY GROUP FOR WATER AND ENVIRONMENTAL RESOURCES DEVELOPMENT,State of Palestine,RAMALLAH,Unknown
AL QUDS UNIVERSITY,State of Palestine,JERUSALEM,Unknown
MINISTRY OF AGRICULTURE,State of Palestine,RAMALLAH,Unknown
LAND RESEARCH CENTER,State of Palestine,JERUSALEM,Unknown
BETHLEHEM UNIVERSITY,State of Palestine,BETHLEHEM,Unknown
PEC,State of Palestine,NABLUS,Unknown
PALESTINIAN ENERGY & ENVIRONMENT RESEARCH CENTER,State of Palestine,NABLUS,Unknown
D.G OF DEVELOPMENT AND SCIENTIFIC RESEARCH,State of Palestine,RAMALLAH,Unknown
LAND RESEARCH CENTER,State of Palestine,"HALHUL, HEBRON",Unknown
PALESTINIAN ENERGY AND ENVIRONMENT RESEARCH CENTER,State of Palestine,NABLUS,Unknown
BIRZEIT UNIVERSITY,State of Palestine,BIRZEIT/WESTBANK,Unknown
PALESTINIAN WATER AUTHORITY,State of Palestine,RAMMALLAH,Unknown
PALESTINIAN ACADEMY FOR SCIENCE AND TECHNOLOGY,State of Palestine,JERUSALEM,Unknown
BIRZEIT UNIVERSITY,State of Palestine,BIRZEIT/WEST BANK,Unknown
VIA MARIS INC.,State of Palestine,RAMALLAH,Unknown
SIDATA INFORMATION & COMMUNICATION SYSTEMS LTD.,State of Palestine,GAZA,Unknown
PALESTINIAN WATER AUTHORITY,State of Palestine,RAMALLAH -WEST BANK,Unknown
PALESTINIAN HYDROLOGY GROUP FOR WATER AND ENVIRONMENTAL RESOURCES DEVELOPMENT,State of Palestine,RAMALLAH -WEST BANK,Unknown
AN-NAJAH NATIONAL UNIVERSITY,State of Palestine,NABLUS,Unknown
HOUSE OF WATER AND ENVIRONMENT,State of Palestine,AL BIREH - RAMALLAH,Unknown
PALESTINIAN HYDROLOGY GROUP FOR WATER AND ENVIRONMENTAL RESOURCES DEVELOPMENT.,State of Palestine,RAMALLAH,Unknown
AL-QUDS UNIVERSITY,State of Palestine,EAST JERUSALEM,Unknown
VIA MARIS LNC.,State of Palestine,RAMALLAH,Unknown
HEBRON UNIVERSITY,State of Palestine,HEBRON,Unknown
THE BOARD OF TRUSTEES OF THE BIR ZEIT UNIVERSITY,State of Palestine,BIRZEIT,Higher or Secondary Education Establishments
PALESTINE ECONOMIC POLICY RESEARCH INSTITUTE MAS,State of Palestine,Ramallah,Research Organisations
RIWAQ- CENTRE FOR ARCHITECTURAL CONSERVATION,State of Palestine,RAMALLAH,Other
WATER AND ENVIRONMENTAL DEVELOPMENTORGANISATION ASSOCIATION NGO,State of Palestine,BETHLEHEM,Research Organisations
PALESTINE TECHNICAL UNIVERSITY - KADOORIE (PTUK),State of Palestine,TULKARM WEST BANK,Higher or Secondary Education Establishments
AL-QUDS UNIVERSITY,State of Palestine,EAST JERUSALEM,Higher or Secondary Education Establishments
PALESTINIAN ENERGY AND ENVIRONMENT RESEARCH CENTER,State of Palestine,NABLUS,Research Organisations
PALESTINIAN HYDROLOGY GROUP FOR WATER & ENVIRONMENTAL RESOURCES DEVELOPMENT,State of Palestine,RAMALLAH,Research Organisations
MINISTRY OF EDUCATION AND HIGHER EDUCATION,State of Palestine,RAMALLAH,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
MINISTRY OF HIGHER EDUCATION,State of Palestine,RAMALLAH,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
