name,country,city,businessType
FERROAMP ELEKTRONIK AB,Sweden,SPANGA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
NORDIC SOLAR SWEDEN AB,Sweden,ARJANG,Private for-profit entities (excluding Higher or Secondary Education Establishments)
INISSION AB,Sweden,MUNKFORS,Private for-profit entities (excluding Higher or Secondary Education Establishments)
KUNGLIGA TEKNISKA HOEGSKOLAN,Sweden,STOCKHOLM,Higher or Secondary Education Establishments
TOTALFORSVARETS FORSKNINGSINSTITUT,Sweden,STOCKHOLM,Research Organisations
FOLKHALSOMYNDIGHETEN,Sweden,SOLNA,Other
NORDISKT GENRESURSCENTER,Sweden,ALNARP,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
CHALMERS TEKNISKA HOEGSKOLA AB,Sweden,GOETEBORG,Higher or Secondary Education Establishments
LUNDS UNIVERSITET,Sweden,LUND,Higher or Secondary Education Establishments
UMECRINE AB,Sweden,UMEA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UMEA UNIVERSITET,Sweden,UMEA,Higher or Secondary Education Establishments
SWEDISH PARKINSON FOUNDATION,Sweden,Stockholm,Other
SKANE LANS LANDSTING,Sweden,KRISTIANSTAD,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
KAROLINSKA INSTITUTET,Sweden,STOCKHOLM,Higher or Secondary Education Establishments
NATURVARDSVERKET,Sweden,STOCKHOLM,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
STOCKHOLMS UNIVERSITET,Sweden,STOCKHOLM,Higher or Secondary Education Establishments
JOHANNEBERG SCIENCE PARK,Sweden,GOTEBORG,Private for-profit entities (excluding Higher or Secondary Education Establishments)
GOETEBORGS UNIVERSITET,Sweden,GOETEBORG,Higher or Secondary Education Establishments
ERICSSON AB,Sweden,STOCKHOLM,Private for-profit entities (excluding Higher or Secondary Education Establishments)
REGION STOCKHOLM,Sweden,STOCKHOLM,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
PARANS SOLAR LIGHTNING AB,Sweden,GOTEBORG,Private for-profit entities (excluding Higher or Secondary Education Establishments)
HOGSKOLAN DALARNA,Sweden,FALUN,Higher or Secondary Education Establishments
UPPSALA UNIVERSITET,Sweden,UPPSALA,Higher or Secondary Education Establishments
Landstinget Dalarna,Sweden,FALUN,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
LUNDS UNIVERSITET,Sweden,Lund,Higher or Secondary Education Establishments
SVERIGES METEOROLOGISKA OCH HYDROLOGISKA INSTITUT,Sweden,NORRKOEPING,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
SANDVIK MINING AND CONSTRUCTION TOOLS AB,Sweden,SANDVIKEN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SECO TOOLS AB,Sweden,FAGERSTA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
EISCAT SCIENTIFIC ASSOCIATION,Sweden,KIRUNA,Research Organisations
LINKOPINGS UNIVERSITET,Sweden,LINKOPING,Higher or Secondary Education Establishments
AKTIEBOLAGET SANDVIK MATERIALSTECHONOLOGY,Sweden,SANDVIKEN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
VOLVO PERSONVAGNAR AB,Sweden,GOTEBORG,Private for-profit entities (excluding Higher or Secondary Education Establishments)
Volvo Cars Corporation,Sweden,Göteborg,Private for-profit entities (excluding Higher or Secondary Education Establishments)
LINNEUNIVERSITETET,Sweden,VAXJO,Higher or Secondary Education Establishments
E-MAINTENANCE SWEDEN AB,Sweden,VAXJO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ALGORYX SIMULATION,Sweden,UMEA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
KOLLMORGEN AUTOMATION AB,Sweden,MOLNDAL,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ORKLA FOODS SVERIGE AB,Sweden,MALMO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
OREBRO UNIVERSITY,Sweden,OREBRO,Higher or Secondary Education Establishments
VETENSKAPSRADET - SWEDISH RESEARCH COUNCIL,Sweden,STOCKHOLM,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
SVERIGES LANTBRUKSUNIVERSITET,Sweden,UPPSALA,Higher or Secondary Education Establishments
STIFTELSEN SKOGSBRUKETS FORSKNINGSINSTITUT - SKOGFORSK,Sweden,UPPSALA,Research Organisations
INSTITUTET FOR RYMDFYSIK,Sweden,KIRUNA,Research Organisations
EUROPEAN SPALLATION SOURCE ERIC,Sweden,LUND,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
RISE RESEARCH INSTITUTES OF SWEDEN AB,Sweden,BORAS,Research Organisations
TATAA BIOCENTER AB,Sweden,GOTEBORG,Private for-profit entities (excluding Higher or Secondary Education Establishments)
STATENS ENERGIMYNDIGHET,Sweden,ESKILSTUNA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
RIDGEVIEW INSTRUMENTS AB,Sweden,VANGE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
LINDBACKS BYGG AB,Sweden,PITEA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
RISE ACREO AB,Sweden,KISTA,Other
UMEA ENERGI AKTIEBOLAG,Sweden,UMEA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
VASTERBOTTENS LANS LANDSTING,Sweden,UMEA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
AKADEMISKA HUS AKTIEBOLAG,Sweden,GOTEBORG,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UMEA KOMMUN,Sweden,UMEA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
UMEA PARKERINGS AKTIEBOLAG,Sweden,UMEA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
HENNES & MAURITZ GBC AB,Sweden,STOCKHOLM,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SAROMICS BIOSTRUCTURES AB,Sweden,Lund,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MALMO FOTBOLLFORENING,Sweden,MALMO,Other
COOMPANION KOOPERATIV UTVECKLING SKANE EK. FOR.,Sweden,MALMO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
HYDRORESEARCH SAM JOHANSSON AB,Sweden,TABY,Private for-profit entities (excluding Higher or Secondary Education Establishments)
RISE SICOMP AB,Sweden,PITEA,Other
NEXAM CHEMICAL AB,Sweden,LUND,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SWETREE TECHNOLOGIES AB,Sweden,UMEA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
LULEA TEKNISKA UNIVERSITET,Sweden,LULEA,Higher or Secondary Education Establishments
MOBILITY MOTORS SWEDEN AB,Sweden,BROMMA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
FLEXIDRIVE SVERIGE AB,Sweden,STOCKHOLM,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UBIGO INNOVATION AB,Sweden,GOTEBORG,Private for-profit entities (excluding Higher or Secondary Education Establishments)
CYKELKONSULTERNA SVERIGE AB,Sweden,SOLNA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
STOCKHOLMS STAD,Sweden,STOCKHOLM,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
AFFIBODY AB,Sweden,SOLNA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SENSEAIR AB,Sweden,DELSBO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
STIFTELSEN FOR EKONOMISK-HISTORIK OCH FORETAGSHISTORISK FORSKNING,Sweden,STOCKHOLM,Research Organisations
"FORSKNINGSRADET FOR MILJO, AREELLA NARINGAR OCH SAMHALLSBYGGANDE",Sweden,STOCKHOLM,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
