name,country,city,businessType
METEOBLUE AG,Switzerland,BASEL,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UNIVERSITE DE GENEVE,Switzerland,GENEVE,Higher or Secondary Education Establishments
ECOLE POLYTECHNIQUE FEDERALE DE LAUSANNE,Switzerland,LAUSANNE,Higher or Secondary Education Establishments
FRONTIERS MEDIA SA,Switzerland,Lausanne,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SWISSLUMIX SARL,Switzerland,LAUSANNE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UNIVERSITAET BERN,Switzerland,BERN,Higher or Secondary Education Establishments
UNIVERSITE DE FRIBOURG,Switzerland,FRIBOURG,Higher or Secondary Education Establishments
WORLD HEALTH ORGANIZATION,Switzerland,GENEVE,Research Organisations
VEREIN SAVE FOUNDATION SCHWEIZ,Switzerland,ST GALLEN,Other
SOLIDPOWER SA,Switzerland,Yverdon-les-Bains,Private for-profit entities (excluding Higher or Secondary Education Establishments)
CSEM CENTRE SUISSE D'ELECTRONIQUE ET DE MICROTECHNIQUE SA - RECHERCHE ET DEVELOPPEMENT,Switzerland,NEUCHATEL,Research Organisations
FONDATION INSTITUT SUISSE DES VITAMINES-ISV,Switzerland,EPALIGNES,Research Organisations
ALPES LASERS SA,Switzerland,SAINT-BLAISE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
IBM RESEARCH GMBH,Switzerland,RUESCHLIKON,Private for-profit entities (excluding Higher or Secondary Education Establishments)
LIGENTEC SA,Switzerland,ECUBLENS,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MEMBRASENZ SARL,Switzerland,ECUBLENS,Private for-profit entities (excluding Higher or Secondary Education Establishments)
EIDGENOESSISCHE TECHNISCHE HOCHSCHULE ZUERICH,Switzerland,ZUERICH,Higher or Secondary Education Establishments
RUAG Schweiz AG,Switzerland,EMMEN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MICROR SYSTEMS SARL,Switzerland,LAUSANNE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
EIDGENOESSISCHES DEPARTEMENT DES INNERN,Switzerland,BERN,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
QUANTIS,Switzerland,ECUBLENS VD,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ODERMATT & BROCKMANN GMBH,Switzerland,ZURICH,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ONL'FAIT,Switzerland,GENEVE,Other
SIB INSTITUT SUISSE DE BIOINFORMATIQUE,Switzerland,GENEVE,Research Organisations
CENTRE HOSPITALIER UNIVERSITAIRE VAUDOIS,Switzerland,LAUSANNE,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
UNIVERSITAT ZURICH,Switzerland,ZURICH,Higher or Secondary Education Establishments
FORSCHUNGSINSTITUT FUR BIOLOGISCHEN LANDBAU STIFTUNG,Switzerland,FRICK,Research Organisations
EUROPEAN ORGANIZATION FOR NUCLEAR RESEARCH,Switzerland,GENEVA 23,Research Organisations
ACCELOPMENT AG,Switzerland,ZUERICH,Private for-profit entities (excluding Higher or Secondary Education Establishments)
BERNER FACHHOCHSCHULE,Switzerland,BERN,Higher or Secondary Education Establishments
