name,country,city,businessType
Taiwan CE Network,Taiwan,Taipei,Other
NATIONAL CHENG KUNG UNIVERSITY,Taiwan,Tainan,Higher or Secondary Education Establishments
ASUS CLOUD CORPORATION,Taiwan,TAIPEI CITY,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ACADEMIA SINICA,Taiwan,TAIPEI,Higher or Secondary Education Establishments
DALIN TZU CHI HOSPITAL BUDDHIST TZUCHI MEDICAL FOUNDATION,Taiwan,DALIN TOWN CHIA YI,Other
INDUSTRIAL TECHNOLOGY RESEARCH INSTITUTE INCORPORATED,Taiwan,CHUTUNG,Research Organisations
NATIONAL CHUNG CHENG UNIVERSITY,Taiwan,CHIA-YI COUNTY,Higher or Secondary Education Establishments
NATIONAL TAIWAN UNIVERSITY OF SCIENCE AND TECHNOLOGY,Taiwan,TAIPEI,Higher or Secondary Education Establishments
European Chamber of Commerce Taiwan,Taiwan,Taipei,Other
MINISTRY OF SCIENCE AND TECHNOLOGY,Taiwan,Taipei,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
"CHUNGHWA TELECOM CO., LTD.",Taiwan,TAIPEI CITY,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ALPHA NETWORKS INC,Taiwan,HSINCHU,Private for-profit entities (excluding Higher or Secondary Education Establishments)
Institute for Information Industry,Taiwan,Taipei,Research Organisations
"MACKAY MEDICAL FOUNDATION,THE PRESBYTERIAN CHURCH IN TAIWAN",Taiwan,TAIPEI CITY,Other
National Central University,Taiwan,Jhongli,Higher or Secondary Education Establishments
NATIONAL YANG-MING UNIVERSITY,Taiwan,TAIPEI,Higher or Secondary Education Establishments
TAIWAN TEXTILE RESEARCH INSTITUTE,Taiwan,NEW TAIPEI CITY,Other
KINGS METAL FIBER TECHNOLOGIES CO.LTD,Taiwan,Taichung,Private for-profit entities (excluding Higher or Secondary Education Establishments)
NATIONAL TAIWAN UNIVERSITY,Taiwan,TAIPEI,Higher or Secondary Education Establishments
ADLINK TECHNOLOGY INC,Taiwan,NEW TAIPEI CITY,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"FAIR FRIEND ENTERPRISE CO., LTD",Taiwan,TAIPEI,Private for-profit entities (excluding Higher or Secondary Education Establishments)
NATIONAL CHIAO TUNG UNIVERSITY,Taiwan,HSINCHU,Higher or Secondary Education Establishments
TAIPEI MEDICAL UNIVERSITY FOUNDATION*TMU,Taiwan,TAIPEI,Higher or Secondary Education Establishments
HC PHOTONICS CORPORATION LIMITED,Taiwan,HSINCHU,Private for-profit entities (excluding Higher or Secondary Education Establishments)
National Yunlin University of Science and Technology,Taiwan,"Dou-Liu city, Yun-Lin county",Private for-profit entities (excluding Higher or Secondary Education Establishments)
ASIAN VEGETABLE RESEARCH AND DEVELOPMENT CENTER,Taiwan,TAINAN,Research Organisations
NATIONAL TSING HUA UNIVERSITY,Taiwan,HSINCHU,Unknown
INDUSTRIAL TECHNOLOGY RESEARCH INSTITUTE,Taiwan,CHUTUNG,Unknown
TAIWAN MASK CORPORATION,Taiwan,"SCIENCE-BASED INDUSTRIAL PARK, HSINCHU,",Unknown
CHANG GUNG UNIVERSITY,Taiwan,TAOYUAN,Unknown
NATIONAL TAIWAN UNIVERSITY,Taiwan,TAIPEI,Unknown
"INSTITUTE OF FISHERIES SCIENCE, NATIONAL TAIWAN UNIVERSITY",Taiwan,TAIPEI,Unknown
FOOD INDUSTRY RESEARCH AND DEVELOPMENT INSTITUTE,Taiwan,HSINCHU,Unknown
UNIVERSITY OF THUNGAI,Taiwan,TAICHUNG,Unknown
TAMKANG UNIVERSITY FOUNDATION,Taiwan,TAIPEI,Unknown
"CENTER FOR DISEASE CONTROL, DEPARTMENT OF HEALTH, EXECTUTIVE YUAN",Taiwan,TAIPEI,Unknown
"NATIONAL HEALTH RESEARCH INSTITUTES, TAIWAN",Taiwan,TAIPEI CITY,Unknown
"INSTITUTE OF MOLECULAR BIOLOGY, ACADEMIA SINICA",Taiwan,"NANKANG, TAIPEI",Unknown
NATIONAL SCIENCE COUNCIL,Taiwan,,Unknown
AU Optronics Corporation,Taiwan,Hsinchu,Private for-profit entities (excluding Higher or Secondary Education Establishments)
Telcordia Applied Research Center Taiwan Company,Taiwan,Taipei,Private for-profit entities (excluding Higher or Secondary Education Establishments)
FENG CHIA UNIVERSITY ASSOCIATION,Taiwan,TAICHUNG,Higher or Secondary Education Establishments
SKYEYES GPS TECHNOLOGY CO,Taiwan,TAICHUNG CITY,Private for-profit entities (excluding Higher or Secondary Education Establishments)
CENTERS FOR DISEASE CONTROL,Taiwan,TAIPEI,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
NATIONAL CHENGCHI UNIVERSITY,Taiwan,WENSHAN TAIPEI,Higher or Secondary Education Establishments
NATIONAL APPLIED RESEARCH LABORATORIES,Taiwan,TAIPEI,Research Organisations
United Microelectronics Corporation LTD,Taiwan,Hsinchu,Private for-profit entities (excluding Higher or Secondary Education Establishments)
PINGTUNG CHRISTIAN HOSPITAL,Taiwan,PINGTUNG CITY,Private for-profit entities (excluding Higher or Secondary Education Establishments)
NATIONAL SUN YAT-SEN UNIVERSITY,Taiwan,Kaohsiung,Higher or Secondary Education Establishments
NATIONAL TSING HUA UNIVERSITY,Taiwan,HSINCHU,Higher or Secondary Education Establishments
NATIONAL TAIWAN OCEAN UNIVERSITY,Taiwan,KEELUNG,Higher or Secondary Education Establishments
National Health Research Institutes,Taiwan,Zhunan,Research Organisations
