name,country,city,businessType
TAJIK TECHNICAL UNIVERSITY NAMED AFTER ACADEMICIAN M OSIMI,Tajikistan,DUSHANBE,Higher or Secondary Education Establishments
KHUJAND POLYTECHNIC INSTITUTE OF TAJIK TECHNICAL UNIVERSITY OF TAJIKISTAN BY ACADEMIC M.C. OSIMI,Tajikistan,KHUJAND,Higher or Secondary Education Establishments
CENTER OF SOCIOLOGICAL RESEARCHES ZERKALO,Tajikistan,DUSHANBE,Other
UNIVERSITY OF CENTRAL ASIA,Tajikistan,KHOROG,Higher or Secondary Education Establishments
TAJIK RESEARCH INSTITUTE OF PREVENTIVE MEDICINE,Tajikistan,DUSHANBE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
Institute of Plant Physiology and Genetics - Tajik Academy of Science,Tajikistan,Dushanbe,Unknown
TADJIK INSTITUTE OF RECLAMATION AND CIVIL ENGINEERING,Tajikistan,DUSHANBE,Unknown
"TAJIK ASSOCIATION OF USERS OF ACADEMICIAN, RESEARCH AND EDUCATIONAL NETWORKS",Tajikistan,Dushanbe,Other
SOCIETY FOR DEVELOPMENT OF SCIENTIFIC COOPERATION,Tajikistan,DUSHANBE,Unknown
"WATER PROBLEM, HYDROPOWER AND ECOLOGY INSTITUTE OF TAJIKISTAN ACADEMY OF SCIENCES",Tajikistan,DUSHANBE,Unknown
CHEMISTRY INSTITUTE OF TAJIKISTAN ACADEMY OF SCIENCES,Tajikistan,DUSHANBE,Unknown
ACADEMY OF SCIENCES OF THE REPUBLIC OF TAJIKISTAN,Tajikistan,DUSHANBE,Unknown
TECHNOLOGICAL UNIVERSITY OF TAJIKISTAN,Tajikistan,DUSHAMBE,Higher or Secondary Education Establishments
Society for Development of Scientific Cooperation (SODESCO),Tajikistan,Dushanbe,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
"INSTITUTE OF GEOLOGY, EARTHQUAKE ENGINEERING AND SEISMOLOGY OF THE ACADEMY OF SCIENCES OF THE REPUBLIC OF TAJIKISTAN",Tajikistan,DUSHANBE,Research Organisations
ACADEMY OF SCIENCES OF THE REPUBLIC OF TAJIKISTAN,Tajikistan,DUSHANBE,Research Organisations
STATE ADMINISTRATION ON HYDROMETEOROLOGY,Tajikistan,Dushanbe,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
OLIMONI NAVIN,Tajikistan,Dushanbe,Other
