name,country,city,businessType
NATIONAL INSTITUTE FOR MEDICAL RESEARCH,Tanzania,DAR ES SALAAM,Research Organisations
PRESIDENT'S OFFICE REGIONAL AND LOCAL GOVERNMENT,Tanzania,DODOMA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
Sokoine University of Agriculture,Tanzania,Morogoro,Higher or Secondary Education Establishments
TANZANIA FOREST SERVICES AGENCY,Tanzania,DAR ES SALAAM,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
DAR TEKNOHAMA BUSINESS INCUBATOR LIMITED,Tanzania,DAR ES SAALAM,Other
IFAKARA HEALTH INSTITUTE TRUST,Tanzania,DAR ES SALAAM,Research Organisations
MUHIMBILI UNIVERSITY OF HEALTH AND ALLIED SCIENCES,Tanzania,DAR ES SALAAM,Higher or Secondary Education Establishments
DODOMA REGION,Tanzania,DODOMA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
"SCIENCE, TECHNOLOGY AND INNOVATION POLICY RESEARCH ORGANISATION",Tanzania,DAR ES SALAAM,Other
TANZANIA FISHERIES RESEARCH INSTITUTE,Tanzania,DAR ES SALAAM,Research Organisations
EAST CENTRAL AND SOUTHERN AFRICA HEALTH COMMUNITY,Tanzania,ARUSHA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
DAR ES SALAAM INSTITUTE OF TECHNOLOGY,Tanzania,DAR ES SALAAM,Higher or Secondary Education Establishments
THE OPEN UNIVERSITY OF TANZANIA,Tanzania,DAR ES SALAAM,Higher or Secondary Education Establishments
THE NELSON MANDELA AFRICAN INSTITUTE OF SCIENCE AND TECHNOLOGY,Tanzania,ARUSHA,Higher or Secondary Education Establishments
OIKOS EAST AFRICA,Tanzania,ARUSHA,Other
DIGNITY KWANZA - COMMUNITY SOLUTION,Tanzania,DAR ES SALAAM,Other
TANZANIA AGRICULTURAL RESEARCH INSTITUTE,Tanzania,DODOMA,Research Organisations
KATUNDU TRADERS LTD,Tanzania,MOROGORO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UNIVERSITY OF DODOMA,Tanzania,DODOMA,Higher or Secondary Education Establishments
UNIVERSITY OF DAR ES SALAAM,Tanzania,DAR ES SALAAM,Higher or Secondary Education Establishments
TANZANIA WILDLIFE RESEARCH INSTITUTE,Tanzania,ARUSHA,Research Organisations
ARDHI UNIVERSITY,Tanzania,DAR ES SALAAM,Research Organisations
National Institute of Medical Research,Tanzania,Dar es Salaam,Other
TANZANIA COMMISSION FOR SCIENCE AND TECHNOLOGY,Tanzania,DAR ES SALAAM,Research Organisations
Sokoine University of Agriculture,Tanzania,Morogoro,Unknown
African Medical and Research Foundation,Tanzania,Dar es-Salaam,Unknown
NATIONAL INSTITUTE FOR MEDICAL RESEARCH,Tanzania,DAR-ES-SALAAM,Unknown
National Institute for Medical Research,Tanzania,Amani,Unknown
National Coconut Development Programme,Tanzania,Dar es-Salaam,Unknown
Research and Training Institute Tumbi,Tanzania,Tabora,Unknown
University of Dar Es Salaam,Tanzania,Zanzibar,Unknown
National Institute for Medical Research,Tanzania,Dar es-Salaam,Unknown
Tanzania Industrial Research and Development Organization,Tanzania,Dar es Salaam,Unknown
National Institute for Medical Research,Tanzania,Ifakara,Unknown
The Uyole Agricultural Research Centre,Tanzania,Mbeya,Unknown
Tropical Pesticides Research Institute,Tanzania,Arusha,Unknown
MINISTERE DE L'AGRICULTURE,Tanzania,MOROGORO,Unknown
SOKOINE UNIVERSITY OF AGRICULTURE,Tanzania,MOROGORO,Unknown
Muhimbili University College of Health Sciences,Tanzania,Dar Es Salaam,Unknown
"Animal Diseases Research Institute, Dar Es Salaam",Tanzania,Dar Es Salaam,Unknown
University of Dar Es Salaam,Tanzania,Dar es-Salaam,Unknown
UMATI - The Family Planning Association of Tanzania,Tanzania,Dar-Es-Salaam,Unknown
National Institute for Medical Research,Tanzania,Mwanza,Unknown
Ministry of Health of Tanzania,Tanzania,Zanzibar,Unknown
Tanzania Forestry Research Institute,Tanzania,Morogoro,Unknown
"Ministry of Tourism, Natural Resources and Environment - United Republic of Tanzania",Tanzania,Dar Es Salaam,Unknown
Mikocheni Agricultural Research Institute,Tanzania,Dar es Salaam,Unknown
Ministry of Health of Tanzania,Tanzania,Mbeya,Unknown
University of Muhumbili,Tanzania,Dar Es Salaam,Unknown
UNIVERSITY OF DAR ES SALAAM,Tanzania,DAR ES SALAAM,Unknown
The Marti Uyole Agricultural ResearchCentre,Tanzania,Mbeya,Unknown
Animal Disease Research Institute Temeke Dar-es-Salaam,Tanzania,Dar-es-Salaam,Unknown
MUHIMBILI UNIVERSITY COLLEGE OF HEALTH SCIENCES,Tanzania,DAR ES SALAAM,Unknown
TANZANIA TRADITIONAL ENERGY DEVELOPMENT AND ENVIRONMENT ORGANISATION,Tanzania,DAR ES SALAAM,Unknown
"CENTRE OF EDUCATIONAL DEVELOPMENT IN HEALTH, ARUSHA",Tanzania,ARUSHA,Unknown
TANZANIA INDUSTRIAL RESEARCH AND DEVELOPMENT ORGANIZATION,Tanzania,DAR ES SALAAM,Unknown
REGIONAL MEDICAL OFFICE OF THE MINISTRY OF HEALTH OF TANZANIA,Tanzania,MBEYA,Unknown
FELISA COMPANY LIMITED,Tanzania,KIGOMA,Unknown
AFRICAN MALARIA NETWORK TRUST,Tanzania,DAR ES SALAAM,Unknown
"MBEYA REGIONAL MEDICAL OFFICE, MINISTRY OF HEALTH TANZANIA,",Tanzania,MBEYA,Unknown
NATIONAL INSTITUTE FOR MEDICAL RESEARCH,Tanzania,DAR ES SALAAM,Unknown
TANZANIA NATIONAL PARKS,Tanzania,ARUSHA,Unknown
ARUSHA CITY COUNCIL,Tanzania,ARUSHA,Unknown
TANZANIA FORESTRY RESEARCH INSTITUTE,Tanzania,MOROGORO,Unknown
TANZANIA ASSOCIATION OF FORESTERS,Tanzania,MOSHI,Unknown
IFAKARA HEALTH INSTITUTE,Tanzania,DAR ES SALAAM,Unknown
"HELMINTHS CONTROL PROGRAMME, MINISTRY OF HEALTH AND SOCIAL WELFARE",Tanzania,ZANZIBAR,Unknown
INSTITUTE OF MARINE SCIENCES - UNIVERSITY OF DAR ES SALAAM,Tanzania,ZANZIBAR,Unknown
WESTERN INDIAN OCEAN MARINE SCIENCE ASSOCIATION,Tanzania,ZANZIBAR,Unknown
NATIONAL ENVIRONMENT MANAGEMENT COUNCIL,Tanzania,DAR ES SALAAM,Unknown
UNIVERSITY OF DAR ES SALAAM.,Tanzania,DAR ES SALAAM,Unknown
"AVRDC-THE WORLD VEGETABLE CENTER, REGIONAL CENTER FOR AFRICA",Tanzania,DULUTI ARUSHA,Unknown
NATIONAL PLANT GENETIC RESOURCES CENTRE (NPGRC),Tanzania,ARUSHA,Unknown
PRIMARY HEALTH CARE INSTITUTE,Tanzania,IRINGA,Unknown
TANZANIA COMMISSION FOR SCIENCE AND TECHNOLOGY,Tanzania,DAR ES SALAAM,Unknown
UNIVERISTY OF DAR-ES-SALAAM,Tanzania,DAR-ES -SALAAM,Unknown
LAKE ZONE AGRICULTURAL RESEARCH AND DEVELOPMENT INSTITUTE,Tanzania,MWANZA,Unknown
Ministry of Health and Social Welfare,Tanzania,Dar es Salaam,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
AFRICAN MALARIA NETWORK TRUST,Tanzania,DAR ES SALAAM,Research Organisations
THE GOOD SAMARITAN FOUNDATION (KILIMANJARO CHRISTIAN MEDICAL CENTRE GSF KCMC),Tanzania,MOSHI,Other
The Southern and Eastern African Mineral centre,Tanzania,DAR ES SALAAM,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
Ministry of Education and Vocational Training,Tanzania,Dar es Salaam,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
ADC-Afrideut Consult Limited,Tanzania,Dar es Salaam,Private for-profit entities (excluding Higher or Secondary Education Establishments)
National institute of transport,Tanzania,DAR ES SALAAM,Research Organisations
Tanzania Traditional Energy Development Organisation,Tanzania,Dar es Salaam,Other
THE EASTERN AND SOUTHERN AFRICA SMALL SCALE FARMERS' FORUM ASSOCIATION,Tanzania,MOROGORO,Other
