name,country,city,businessType
CHIANG MAI UNIVERSITY,Thailand,CHIANG MAI,Higher or Secondary Education Establishments
CHULALONGKORN UNIVERSITY,Thailand,BANGKOK,Higher or Secondary Education Establishments
RANGSIT UNIVERSITY,Thailand,PATHUMTHANI,Higher or Secondary Education Establishments
THAI UNION GROUP PUBLIC COMPANY LIMITED,Thailand,SAMUTSAKORN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
NATIONAL SCIENCE & TECHNOLOGY DEVELOPMENT AGENCY,Thailand,KLONG 1 KLONGLUANG,Research Organisations
Thai National Shippers' Council,Thailand,Bangkok,Private for-profit entities (excluding Higher or Secondary Education Establishments)
THAMMASAT UNIVERSITY,Thailand,BANGKOK,Higher or Secondary Education Establishments
MAHIDOL UNIVERSITY,Thailand,BANGKOK,Higher or Secondary Education Establishments
VIDYASIRIMEDHI INSTITUTE OF SCIENCE AND TECHNOLOGY,Thailand,RAYONG,Higher or Secondary Education Establishments
ASIAN INSTITUTE OF TECHNOLOGY,Thailand,PATHUMTHANI,Higher or Secondary Education Establishments
PRINCE OF SONGKLA UNIVERSITY,Thailand,HATYAI,Higher or Secondary Education Establishments
UNIVERSITY OF PHAYAO,Thailand,PHAYAO,Higher or Secondary Education Establishments
COORDINATING COMMITTEE FOR GEOSCIENCE PROGRAMMES IN EAST AND SOUTHEASTASIA,Thailand,BANGKOK,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
KASETSART UNIVERSITY,Thailand,BANGKOK,Higher or Secondary Education Establishments
KHON KAEN UNIVERSITY,Thailand,KHON KAEN,Higher or Secondary Education Establishments
NARESUAN UNIVERSITY,Thailand,PHITSANULOK,Higher or Secondary Education Establishments
MAE FAH LUANG UNIVERSITY,Thailand,CHIANG RAI,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
HYDRO-INFORMATICS INSTITUTE,Thailand,BANGKOK,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
RAKS THAI FOUNDATION,Thailand,BANGKOK,Other
ACIOA ASSOCIACION,Thailand,DUSIT BANKGKOLK,Other
Phranakhon Rajabhat University,Thailand,Bangkok,Higher or Secondary Education Establishments
Kasetsart University,Thailand,Nakorn Pathom,Unknown
Chiang Mai University,Thailand,Chiang Mai,Unknown
MAHIDOL UNIVERSITY,Thailand,BANGKOK,Unknown
Maejo Institute of Agricultural Technology,Thailand,"Sansai, Chiang Mai",Unknown
King Monkut's Institute of Technology,Thailand,Bangkok,Unknown
Kasetsart University,Thailand,Bangkok,Unknown
Khon Kaen University,Thailand,Bangkok,Unknown
Thailand Institute of Scientific and Technological Research,Thailand,Bangkok,Unknown
Suranaree University of Technology,Thailand,Nakhon Ratchasima,Unknown
Mahidol University,Thailand,Bangkok,Unknown
Chulalongkorn University,Thailand,Bangkok,Unknown
Department of Agriculture - Ministry of Agriculture and Cooperatives,Thailand,Bangkok,Unknown
National Research Council of Thailand,Thailand,Bangkok,Unknown
CHIANG MAI UNIVERSITY,Thailand,"SANSAI,CHIANG MAI",Unknown
AQUATIC ANIMAL HEALTH RESEARCH INSTITUTE,Thailand,BANGKOK,Unknown
Raj-Pracha-Samasai Institute,Thailand,Bangkok,Unknown
Asian Institute of Technology,Thailand,Bangkok,Unknown
Khon Kaen University,Thailand,Khon Kaen,Unknown
PRINCE OF SONGKLA UNIVERSITY,Thailand,HATYAI / SONGKHLA,Unknown
Ministry of Public Health,Thailand,Bangkok,Unknown
Prince of Songkla University,Thailand,"Hatyai, Singkhla",Unknown
Fishery Technological Development Institute,Thailand,Bangkok - Samuthsakorn,Unknown
Naresuan University,Thailand,Phitsanulok,Unknown
MINISTRY OF PUBLIC HEALTH,Thailand,NOTHABURI,Unknown
National Science and Technology Development Agency,Thailand,Bangkok,Unknown
Ministry of Public Health,Thailand,Nonthaburi,Unknown
Prachin Buri Rice Research Center,Thailand,Bansang - Prachin Buri,Unknown
Kasetsart University,Thailand,Nakhorn Pathom,Unknown
National Inland Fisheries Institute,Thailand,Bangkok,Unknown
Kasetsart University,Thailand,Nakorn Prathom,Unknown
Institute of Dermatology,Thailand,Bangkok,Unknown
KASETSART UNIVERSITY,Thailand,NAKORN PATHOM,Unknown
