name,country,city,businessType
UNIVERSITE DE LOME,Togo,LOME,Higher or Secondary Education Establishments
VILLE DE LOME,Togo,LOME,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
ECOLE AFRICAINE DES METIERS DE L'ARCHITECTURE ET DE L'URBANISME,Togo,LOME,Higher or Secondary Education Establishments
UniversitÃ© du Togo,Togo,LomÃ©,Unknown
UniversitÃ© Nationale du BÃ©nin,Togo,LomÃ©,Unknown
Centre Hospitalier Regional Sokode,Togo,Sokode,Unknown
Direction Scientifique de la Recherche Agronomique,Togo,Agou Gare,Unknown
Institut Togolais de Recherche Agronomique,Togo,LomÃ©,Unknown
MinistÃšre de l'Agriculture de l'Elevage et de la Peche,Togo,LomÃ©,Unknown
UNIVERSITE DE LOME,Togo,LOME,Unknown
INSTITUT NATIONAL D'HYGIENE,Togo,LOME,Research Organisations
