name,country,city,businessType
INSTITUT NATIONAL DE RECHERCHE ET D'ANALYSE PHYSICO-CHIMIQUE,Tunisia,SIDI THABET,Research Organisations
INSTITUTION DE LA RECHERCHE ET DE L'ENSEIGNEMENT SUPERIEUR AGRICOLES,Tunisia,TUNIS,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
MINISTRY OF HIGHER EDUCATION AND SCIENTIFIC RESEARCH,Tunisia,TUNIS,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
Institut National des Sciences et Technologies de la Mer,Tunisia,Tunis,Research Organisations
SFAX UNIVERSITY,Tunisia,SFAX,Higher or Secondary Education Establishments
FACULTE DES SCIENCES DE SFAX,Tunisia,SFAX,Higher or Secondary Education Establishments
INSTITUT PASTEUR DE TUNIS,Tunisia,TUNIS,Research Organisations
Observatoire National des Maladies Nouvelles et Emergentes,Tunisia,TUNIS,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
ECOLE NATIONALE D'INGENIEURS DE GABES,Tunisia,ZRIG GABES,Higher or Secondary Education Establishments
ECOLE NATIONALE D'INGENIEURS DE TUNIS,Tunisia,TUNIS,Higher or Secondary Education Establishments
ECOLE SUPERIEURE DES COMMUNICATIONS DE TUNIS,Tunisia,ARIANA,Higher or Secondary Education Establishments
AGENCE NATIONALE POUR LA MAITRISE DE L'ENERGIE,Tunisia,TUNIS,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
WIKI START-UP,Tunisia,TUNIS,Private for-profit entities (excluding Higher or Secondary Education Establishments)
LES LABORATOIRES MEDIS,Tunisia,NABEUL,Private for-profit entities (excluding Higher or Secondary Education Establishments)
CENTRE DE BIOTECHNOLOGIE DE SFAX - CBS,Tunisia,SFAX,Research Organisations
CENTRE TECHNIQUE DES AGRUMES,Tunisia,BENI KHALED NABEUL,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
INSTITUT NATIONAL DE LA RECHERCHE AGRONOMIQUE DE TUNISIE,Tunisia,ARIANA,Research Organisations
CENTRE NATIONAL DE LA CARTOGRAPHIEET DE LA TELEDETECTION,Tunisia,TUNIS,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
FORUM TUNISIEN POUR LES DROITS ECONOMIQUES ET SOCIAUX,Tunisia,TUNIS,Other
FACULTE DE DROIT ET DES SCIENCES POLITIQUES DE TUNIS,Tunisia,TUNIS,Higher or Secondary Education Establishments
CENTRE D'ETUDES ET DE RECHERCHES DETELECOMMUNICATIONS,Tunisia,ARIANA,Other
OBSERVATOIRE DU SAHARA ET DU SAHEL,Tunisia,TUNIS,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
AGENCE DE PROMOTION DE L'INDUSTRIE ET DE L'INNOVATION- API,Tunisia,TUNIS BELVEDERE,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
DAR MARGOUM OUEDHREF,Tunisia,GABES,Other
"INSTITUT NATIONAL DE RECHERCHES EN GENIE RURAL, EAUX ET FORETS",Tunisia,Ariana,Research Organisations
INSTITUT SUPERIEUR DE BIOTECHNOLOGIE DE SIDI THABET,Tunisia,SIDI THABET ARIANA,Higher or Secondary Education Establishments
"FACULTY OF SCIENCES OF TUNIS, UNIVERSITY OF TUNIS EL MANAR",Tunisia,Tunis,Higher or Secondary Education Establishments
REGIONAL ACTIVITY CENTRE FOR SPECIALLY PROTECTED AREAS,Tunisia,TUNIS,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
ASSOCIATION NATIONALE DE DEVELOPPEMENT DURABLE ET DE LA CONSERVATION DE LA VIE SAUVAGE,Tunisia,TUNIS,Other
AGENCE NATIONALE DE PROTECTION DE L'ENVIRONNEMENT,Tunisia,TUNIS,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
CHAMBRE DE COMMERCE ET D INDUSTRIE DU CENTRE,Tunisia,Sousse,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
LA FONDATION JASMIN POUR LA RECHERCHE ET LA COMMUNICATION,Tunisia,ARIANA,Other
COMMUNE DE CARTHAGE,Tunisia,CARTHAGE,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
ASSOCIATION TUNISIENNE DE DEVELOPPEMENT DURABLE: LA RECHERCHE EN ACTION,Tunisia,TUNIS,Other
AGENCE NATIONALE DE LA PROMOTION DE LA RECHERCHE SCIENTIFIQUE,Tunisia,TUNIS,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
CENTRE DE RECHERCHE EN MICROELECTRONIQUE ET NANOTECHNOLOGIE AU TECHNOPOLE DE SOUSSE,Tunisia,SOUSSE ERRIADH,Research Organisations
INSTITUT SUPERIEUR AGRONOMIQUE DE CHOTT-MERIEM,Tunisia,SOUSSE,Higher or Secondary Education Establishments
Institut National Agronomique de Tunisie,Tunisia,Tunis,Higher or Secondary Education Establishments
GROUPEMENT HRAYER GLOUB ETHIRAN FERNANA,Tunisia,FERNANA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
INSTITUT DE L'OLIVIER,Tunisia,SFAX,Research Organisations
AGENCE DE VULGARISATION ET DE LA FORMATION AGRICOLES,Tunisia,BELVEDERE TUNIS,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
Tunisian Dolphin Project,Tunisia,Bizerte,Other
CARTHAGE UNIVERSITY,Tunisia,AMILCAR CARTHAGE,Higher or Secondary Education Establishments
INSTITUT DES REGIONS ARIDES,Tunisia,MEDENINE,Research Organisations
UNIVERSITE DE TUNIS EL MANAR,Tunisia,TUNIS,Higher or Secondary Education Establishments
ASSOCIATION FORUM DES SCIENCES SOCIALES APPLIQUEES,Tunisia,TUNIS,Other
