name,country,city,businessType
KOC UNIVERSITY,Turkey,ISTANBUL,Higher or Secondary Education Establishments
PROMATEK DENIZCILIK TEKNOLOJILERI VE MUHENDISLIK COZUMLERI SANAYI VE TICARET LIMITED SIRKETI,Turkey,ISTANBUL,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ARCELIK A.S.,Turkey,ISTANBUL,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ISTANBUL BILGI UNIVERSITESI,Turkey,EYUP ISTANBUL,Higher or Secondary Education Establishments
HAYATA DESTEK DERNEGI,Turkey,ISTANBUL,Other
MIDDLE EAST TECHNICAL UNIVERSITY,Turkey,ANKARA,Higher or Secondary Education Establishments
BOGAZICI ULUSLARARASI EGITIM DANISMANLIK MERKEZI VE TICARET LIMITED SIRKETI,Turkey,ISTANBUL,Private for-profit entities (excluding Higher or Secondary Education Establishments)
BILKENT UNIVERSITESI VAKIF,Turkey,BILKENT ANKARA,Higher or Secondary Education Establishments
BOGAZICI UNIVERSITESI,Turkey,ISTANBUL,Higher or Secondary Education Establishments
SILVERLINE ENDUSTRI VE TICARET A.S.,Turkey,AMASYA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
TURKIYE BILIMSEL VE TEKNOLOJIK ARASTIRMA KURUMU,Turkey,ANKARA,Research Organisations
GAZIANTEP ILI DAMIZLIK KOYUN KECI YETISTIRICILERI BIRLIGI,Turkey,SEHITKAMIL GAZIANTEP,Other
OMER HALISDEMIR UNIVERSITISI,Turkey,NIGDE,Higher or Secondary Education Establishments
PAN HAYVANCILIK GIDA SANAYI VE TICARET LIMITED SIRKETI,Turkey,SEHITKAMIL GAZIANTEP,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ATATURK UNIVERSITY,Turkey,ERZURUM,Higher or Secondary Education Establishments
RED ROCK AGRICULTURAL PASTORAL TARIM LIMITED SIRKETI,Turkey,CANKAYA ANKARA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
Turkiye Petrol Rafinerileri Anonim Sirketi,Turkey,Kocaeli,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MINISTRY OF AGRICULTURE AND FORESTRY,Turkey,Ankara,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
ELEKTRIK DAGITIM HIZMETLERI DERNEGI(ELDER),Turkey,CANKAYA,Other
AYDEM ELEKTRIK DAGITIM ANONIM SIRKETI,Turkey,DENIZLI,Private for-profit entities (excluding Higher or Secondary Education Establishments)
TURKIYE CIMENTO MUSTAHSILLERI BIRLIGI,Turkey,CANKAYA ANKARA,Other
EKODENGE MUHENDISLIK MIMARLIK DANISMANLIK TICARET ANONIM SIRKETI,Turkey,CANKAYA ANKARA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
AKG GAZBETON ISLETMELERI SANAYI VETICARETCARET AS,Turkey,IZMIR,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ZORLU ENERJI ELEKTRIK URETIM AS,Turkey,ISTANBUL,Private for-profit entities (excluding Higher or Secondary Education Establishments)
M-D2 MUHENDISLIK DANISMANLIK INSAAT TAAHHUT IC VE DIS TICARET LIMITED SIRKETI,Turkey,ANKARA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SRDC YAZILIM ARASTIRMA VE GELISTIRME VE DANISMANLIK TICARET ANONIM SIRKETI,Turkey,ANKARA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
IZMIR BUYUKSEHIR BELEDIYESI,Turkey,IZMIR,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
IZMIR INSTITUTE OF TECHNOLOGY,Turkey,IZMIR,Higher or Secondary Education Establishments
DE SURDURULEBILIR ENERJI VE INSAAT SANAYI TICARET LIMITED SIRKETI,Turkey,KADIKOY ISTANBUL,Private for-profit entities (excluding Higher or Secondary Education Establishments)
AREFSENS ELECTRONICS BIOTECHNOLOGY INC,Turkey,ANKARA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
KARADENIZ TEKNIK UNIVERSITESI,Turkey,TRABZON,Higher or Secondary Education Establishments
GREEN DANISMANLIK FINANS ENERJI CEVRE MUHENDISLIK TARIM MUSAVIRLIK INSAAT SANAYI VE DIS TICARET LIMITED SIRKETI,Turkey,ANKARA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
KILIC DENIZ URUNLERI URETIMI IHRACAT ITHALAT VE TICARET AS,Turkey,BODRUM MUGLA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
YEDITEPE UNIVERSITY VAKIF,Turkey,Istanbul,Higher or Secondary Education Establishments
ARGENIT AKILLI BILGI TEKNOLOJILERI SANAYI VE TICARET LIMITED SIRKETI,Turkey,ISTANBUL,Private for-profit entities (excluding Higher or Secondary Education Establishments)
EGE UNIVERSITY,Turkey,IZMIR,Higher or Secondary Education Establishments
MERCEDES-BENZ TURK AS,Turkey,ISTANBUL,Private for-profit entities (excluding Higher or Secondary Education Establishments)
BETA FIDAN DOKU KULTURU ISLAH ARGEZIRAAT TARIM SULAMA HAYVANCILIK GIDA TURIZM INSAAT SANAYI TICARET LIMITED SIRKETI,Turkey,ADANA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MUSTAFA KEMAL UNIVERSITY,Turkey,ANTAKYA HATAY,Higher or Secondary Education Establishments
TEKIRDAG NAMIK KEMAL UNIVERSITESI,Turkey,Tekirdağ,Higher or Secondary Education Establishments
DOKUZ EYLUL UNIVERSITESI,Turkey,ALSANCAK IZMIR,Higher or Secondary Education Establishments
ANKARA UNIVERSITESI,Turkey,TANDOGAN ANKARA,Higher or Secondary Education Establishments
FORD OTOMOTIV SANAYI ANONIM SIRKETI,Turkey,ISTANBUL,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ISTANBUL TEKNIK UNIVERSITESI,Turkey,MASLAK ISTANBUL,Higher or Secondary Education Establishments
Istanbul Metropolitan Municipality,Turkey,Istanbul,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
INAVITAS ENERJI ANONIM SIRKETI,Turkey,ANKARA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
OSMANGAZI ELEKTRIK DAGITIM ANONIM SIRKETI,Turkey,ESKISEHIR,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ISTANBUL UNIVERSITESI - CERRAHPASA,Turkey,ISTANBUL,Higher or Secondary Education Establishments
ISTANBUL UNIVERSITESI,Turkey,ISTANBUL,Higher or Secondary Education Establishments
BYS GROUP INFORMATION SYSTEMS CONSULTANCY TRADE AND INDUSTRY LIMITED COMPANY,Turkey,ANKARA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
Turkiye Cumhuriyeti Saglik Bakanligi,Turkey,Ankara,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
SABANCI UNIVERSITESI,Turkey,ISTANBUL,Higher or Secondary Education Establishments
AVL ARASTIRMA VE MUHENDISLIK SANAYI VE TICARET LIMITED SIRKETI,Turkey,GEBZE KOCAELI,Private for-profit entities (excluding Higher or Secondary Education Establishments)
HABITUS ARASTIRMA VE DANISMANLIK LIMITED SIRKETI,Turkey,ISTANBUL,Private for-profit entities (excluding Higher or Secondary Education Establishments)
KORDSA TEKNIK TEKSTIL ANONIM SIRKETI,Turkey,KOCAELI,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ISTANBUL CHEMICALS AND CHEMICAL PRODUCTS EXPORTERS' ASSOCIATION,Turkey,ISTANBUL,Other
UNIVERSITY OF CUKUROVA,Turkey,ADANA,Higher or Secondary Education Establishments
BASBAKANLIK AFET VE ACIL DURUM YONETIMI BASKANLIGI,Turkey,ANKARA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
TEKNOLOJI ARASTIRMA GELISTIRME ENDUSTRIYEL URUNLER BILISIM TEKNOLOJILERI SANAYI VE TICARET ANONIM TICARET,Turkey,ISTANBUL,Private for-profit entities (excluding Higher or Secondary Education Establishments)
TURKCELL TEKNOLOJI ARASTIRMA VE GELISTIRME ANONIM SIRKETI,Turkey,ISTANBUL,Private for-profit entities (excluding Higher or Secondary Education Establishments)
TOGEN DANISMANLIK TARIM VE HAYVANCILIK ZIRAAT GIDA BIOTEKNOLOJI ITHALAT IHRACAT SAN VE TIC LTD,Turkey,ADANA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
KADIR HAS UNIVERSITESI,Turkey,ISTANBUL,Higher or Secondary Education Establishments
CAMLI YEM BESICILIK SANAYI VE TICARET ANONIM SIRKETI,Turkey,IZMIR,Private for-profit entities (excluding Higher or Secondary Education Establishments)
NETAS TELEKOMUNIKASYON ANONIM SIRKETI,Turkey,ISTANBUL,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ASAS ALUMINYUM SANAYI VE TICARET ANONIM SIRKETI,Turkey,ISTANBUL,Private for-profit entities (excluding Higher or Secondary Education Establishments)
TRAFIK ARASTIRMA YONETIM SIMULASYON INSAAT MUSAVIRLIK PROJE VE TICARET ANONIM SIRKETI,Turkey,ISTANBUL,Private for-profit entities (excluding Higher or Secondary Education Establishments)
Sampas Bilisim Ve Iletisim Sistemleri Sanayi Ve Ticaret A.S.,Turkey,Istanbul,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ANTALYA METROPOLITAN MUNICIPALITY,Turkey,ANTALYA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
ANTEPE INSAAT VE TICARET ANONIM SIRKETI,Turkey,ANTALYA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
AKDENIZ UNIVERSITY,Turkey,ANTALYA,Higher or Secondary Education Establishments
MIKROELEKTRONIK ARASTIRMA GELISTIRME TASARIM VE TICARET LIMITED SIRKETI,Turkey,ISTANBUL,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SMART IS MAKINALARI SANAYI VE TICARET ANONIM SIRKETI,Turkey,MANISA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MARMARA UNIVERSITY,Turkey,ISTANBUL,Higher or Secondary Education Establishments
GE MARMARA TECHNOLOGY CENTER MUHENDISLIK HIZMETLERI LIMITED SIRKETI,Turkey,MASLAK,Private for-profit entities (excluding Higher or Secondary Education Establishments)
VESTEL ELEKTRONIK SANAYI VE TICARET ANONIM SIRKETI,Turkey,MANISA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
FLOTEKS PLASTIK SANAYI VE TICARET AS,Turkey,DEMIRTAS BURSA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MINISTRY OF ENVIRONMENT AND FORESTRY GENERAL DIRECTORATE OF FORESTRY,Turkey,ANKARA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
TURKIYE CUMHURIYETI DEVLET DEMIR YOLLARI ISLETMESI GENEL MUDURLUGU,Turkey,ANKARA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
TOFAS TURK OTOMOBIL FABRIKASI ANONIM SIRKETI,Turkey,SISLI ISTANBUL,Private for-profit entities (excluding Higher or Secondary Education Establishments)
