name,country,city,businessType
TEBIGY KUWWAT PUBLIC ASSOCIATION,Turkmenistan,ASGABAT SAHERI,Private for-profit entities (excluding Higher or Secondary Education Establishments)
YNANCH WEPA,Turkmenistan,ASHGABAT,Private for-profit entities (excluding Higher or Secondary Education Establishments)
Ministry of Nature Use and Environmental Protection of Turkmenistan,Turkmenistan,Ashgabat,Unknown
Seismological Research Institute - Academy of Sciences of Turkmenistan,Turkmenistan,Ashgabat,Unknown
"Institute for Desert Research Academy of Sciences, Turkmenistan",Turkmenistan,Ashgabat,Unknown
"NATIONAL INSTITUTE OF DESERTS, FLORA & FAUNA",Turkmenistan,ASHGABAT,Unknown
INSTITUTE OF ANIMAL HUSBANDRY AND VETERINARY DEVELOPMENT,Turkmenistan,ASHGABAT,Unknown
CATENA ECOLOGY CLUB,Turkmenistan,ASHGABAT,Unknown
"NATIONAL INSTITUTE OF DESERTS, FLORA AND FAUNA, MINISTRY OF NATURE PROTECTION",Turkmenistan,Ashgabat,Unknown
"NATIONAL INSTITUTE OF DESERT, FLORA AND FAUNA",Turkmenistan,ASHGABAT,Unknown
TURKMEN STATE UNIVERSITY,Turkmenistan,ASHGABAT,Unknown
JUMAGULYYEWA GUNCA JORAGULYYEWNA,Turkmenistan,Ashgabat,Private for-profit entities (excluding Higher or Secondary Education Establishments)
TURKMENISTAN YLYMLAR AKADEMIYASY,Turkmenistan,ASHGABAT,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
"National Institute of Deserts, Flora and Fauna of the Ministry of Nature Protection of Turkmenistan",Turkmenistan,ASHGABAT,Research Organisations
