name,country,city,businessType
TASO LIMITED,Uganda,KAMPALA,Other
AFRIBANANA PRODUCTS LIMITED,Uganda,KAMPALA,Other
KYAMBOGO UNIVERSITY,Uganda,KAMPALA,Higher or Secondary Education Establishments
HIVE COLAB,Uganda,KAMPALA,Other
WOMEN IN TECHNOLOGY UGANDA,Uganda,KAMPALA,Other
MAKERERE UNIVERSITY,Uganda,KAMPALA,Higher or Secondary Education Establishments
BUTABIKA NATIONAL MENTAL HOSPITAL,Uganda,KAMPALA,Research Organisations
HYDROPOWER ASSOCIATION OF UGANDA LIMITED,Uganda,KAMPALA,Other
UGANDA NATIONAL HEALTH RESEARCH ORGANISATION,Uganda,ENTEBBE,Research Organisations
TOORO BOTANICAL GARDENS,Uganda,FORT PORTAL,Other
NATIONAL AGRICULTURAL RESEARCH ORGANISATION,Uganda,ENTEBBE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
Facilitation for Peace and Development,Uganda,Lira,Other
All Saints University Lira,Uganda,LIRA,Higher or Secondary Education Establishments
AFRICAN FORUM FOR AGRICULTURAL ADVISORY SERVICES,Uganda,KAMPALA,Other
THE REGISTERED TRUSTEES OF THE ASSOCIATION FOR STRENGTHENING AGRICULTURAL RESEARCH IN EASTERN AND CENTRAL AFRICA,Uganda,ENTEBBE,Research Organisations
VOLUNTEER EFFORT FOR DEVELOPMENT-CONCERN UGANDA (VEDCO),Uganda,KAMPALA,Other
NUTREAL LIMITED,Uganda,KAMPALA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UGANDA NATIONAL COUNCIL FOR SCIENCE AND TECHNOLOGY,Uganda,KAMPALA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
REGIONAL UNIVERSITIES FORUM FOR CAPACITY BUILDING IN AGRICULTURE,Uganda,KAMPALA,Research Organisations
UGANDA MANUFACTURERS ASSOCIATION,Uganda,KAMPALA,Other
FOOD & NUTRITION SOLUTIONS LIMITED,Uganda,KAMPALA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
KULIKA UGANDA,Uganda,KAMPALA,Other
UGANDA INDUSTRIAL RESEARCH INSTITUTE,Uganda,KAMPALA,Research Organisations
Utro,Uganda,Kampala,Unknown
Makerere University,Uganda,Kampala,Unknown
MAKERERE UNIVERSITY,Uganda,KAMPALA,Unknown
Ministry of Health of Uganda,Uganda,Fort Portal,Unknown
Uganda Industrial Research,Uganda,Kampala,Unknown
Environmental Alert,Uganda,Kampala,Unknown
ENVIRONMENTAL ALERT,Uganda,KAMPALA,Unknown
Cooperative Office for Voluntary Organizations of Uganda,Uganda,Kampala,Unknown
MINISTRY OF HEALTH OF UGANDA,Uganda,KAMPALA,Unknown
Uganda Virus Research Institute,Uganda,Entebbe,Unknown
NATIONAL AGRICULTURAL RESEARCH ORGANIZATION,Uganda,MUKONO,Unknown
MEDVET LABORATORIES LTD,Uganda,KAMPALA,Unknown
NYABYEYA FORESTRY COLLEGE,Uganda,MASINDI,Unknown
"MINISTRY OF WATER, LANDS AND ENVIRONMENT",Uganda,KAMPALA,Unknown
TRADITIONAL AND MODERN HEALTH PRACTITIONERS TOGETHER AGAINST AIDS AND OTHER DISEASES,Uganda,KAMPALA,Unknown
MALARIA CONTROL UNIT,Uganda,KAMPALA,Unknown
MED BIOTECH LABORATORIES,Uganda,KAMPALA,Unknown
NATIONAL AGRICULTURAL RESEARCH ORGANIZATION,Uganda,KAMPALA,Unknown
THE SSEMWANGA CENTRE FOR AGRICULTURE AND FOOD LTD,Uganda,KAMPALA,Unknown
WATER AID UGANDA,Uganda,KAMPALA,Unknown
UGANDA NATIONAL COUNCIL FOR SCIENCE AND TECHNOLOGY,Uganda,KAMPALA,Unknown
INFECTIOUS DISEASES INSTITUTE,Uganda,KAMPALA,Unknown
JOINT CLINICAL RESEARCH CENTRE,Uganda,KAMPALA,Unknown
"MAKERERE UNIVERSITY, FACULTY OF MEDICINE",Uganda,KAMPALA,Unknown
REGIONAL UNIVERSITIES FORUM FOR CAPACITY BUILDING IN AGRICULTURE,Uganda,KAMPALA,Unknown
ASSOCIATION FOR STRENGTHENING AGRICULTURAL RESEARCH IN EAST AND CENTRAL AFRICA,Uganda,ENTEBBE,Unknown
