name,country,city,businessType
V.N. BAKUL INSTITUTE FOR SUPERHARD MATERIALS OF THE NATIONAL ACADEMY OF SCIENCES,Ukraine,KIEV,Research Organisations
SPACE RESEARCH INSTITUTE OF THE NATIONAL ACADEMY OF SCIENCES OF UKRAINE AND THE NATIONAL SPACE AGENCY OF UKRAINE,Ukraine,KYIV,Other
Institute for Nuclear Research of NAS of Ukraine,Ukraine,KYIV,Research Organisations
"ENAMINE LIMITED LIABILITY COMPANY,RESEARCH AND PRODUCTION ENTERPRISE",Ukraine,KYIV,Private for-profit entities (excluding Higher or Secondary Education Establishments)
NANOTECHCENTER  LLC,Ukraine,KIEV,Private for-profit entities (excluding Higher or Secondary Education Establishments)
DONETSK INSTITUTE FOR PHYSICS AND ENGINEERING NAMED AFTER O.O. GALKIN OF THE NATIONAL ACADEMY OF SCIENCESS OF UKRAINE,Ukraine,KIEV,Research Organisations
MATERIALS RESEARCH CENTER,Ukraine,KIEV,Private for-profit entities (excluding Higher or Secondary Education Establishments)
OO BOGOMOLETZ INSTITUTE OF PHYSIOLOGY OF THE NATIONAL ACADEMY OF SCIENCE OF UKRAINE,Ukraine,KYIV,Research Organisations
UKRORGSYNTEZ,Ukraine,KYIV,Private for-profit entities (excluding Higher or Secondary Education Establishments)
STATE ENTERPRISE STATE SCIENTIFIC AND TECHNICAL CENTER FOR NUCLEAR AND RADIATION SAFETY,Ukraine,KYIV,Research Organisations
LIMITED LIABILITY COMPANY ENERGORISK,Ukraine,KYIV,Private for-profit entities (excluding Higher or Secondary Education Establishments)
IVAN FRANKO NATIONAL UNIVERSITY OF LVIV,Ukraine,LVIV,Higher or Secondary Education Establishments
INSTITUTE OF RADIO ASTRONOMY OF NATIONAL ACADEMY OF SCIENCES OF UKRAINE,Ukraine,KHARKOV,Research Organisations
INSTITUTE OF BIOENERGY CROPS AND SUGAR BEET NATIONAL ACADEMY OF AGRARIAN SCIENCES OF UKRAINE,Ukraine,KIEV,Research Organisations
UKRAINIAN SCIENTIFIC CENTRE OF ECOLOGY OF THE SEA,Ukraine,ODESSA,Research Organisations
G.E. PUKHOV INSTITUTE FOR MODELINGIN ENERGY ENGINEERING OF THE NATIONAL ACADEMY OF SCIENCES OF UKRAINE,Ukraine,KYIV,Research Organisations
PRIVATE JOINT STOCK COMPANY RADIATION PROTECTION INSTITUTE OF THE ACADEMY OF TECHNOLOGICAL SCIENCES OF UKRAINE,Ukraine,KYIV,Private for-profit entities (excluding Higher or Secondary Education Establishments)
STATE INSTITUTION INSTITUTE OF PEDIATRICS OBSTETRICS AND GYNECOLOGY NATIONAL ACADEMY OF MEDICAL SCIENCES OF UKRAINE,Ukraine,KIEV,Research Organisations
MINISTRY OF EDUCATION AND SCIENCE OF UKRAINE,Ukraine,KYIV,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
NATIONAL ACADEMY OF SCIENCES OF UKRAINE NAS OF UKRAINE,Ukraine,KYIV,Higher or Secondary Education Establishments
THE CENTRE FOR SCIENTIFIC AND TECHNICAL INFORMATION AND INNOVATION PROMOTION OF UKRAINE,Ukraine,KYIV,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
INSTITUTE OF PHYSICS OF NATIONAL ACADEMY OF SCIENCE OF UKRAINE,Ukraine,KYIV,Research Organisations
NATIONAL SCIENCE CENTER KHARKOV INSTITUTE OF PHYSICS AND TECHNOLOGY,Ukraine,KHARKIV,Research Organisations
Institute for Scintillation Materials of National Academy of Sciences of Ukraine,Ukraine,Kharkov,Research Organisations
INSTITUTE OF ENVIRONMENTAL GEOCHEMISTRY OF THE NATIONAL ACADEMY OF SCIENCES OF UKRAINE,Ukraine,KYIV,Other
UZHGORODSKYI NACIONALNYI UNIVERSITET,Ukraine,Uzhhorod,Higher or Secondary Education Establishments
CORPORATION SCIENCE PARK TARAS SHEVCHENKO UNIVERSITY OF KYIV,Ukraine,KYIV,Private for-profit entities (excluding Higher or Secondary Education Establishments)
NAUKOVO-TEHNICHNII CENTAR BIOMASA LLC,Ukraine,KYIV,Private for-profit entities (excluding Higher or Secondary Education Establishments)
NATIONAL ECOLOGICAL CENTRE OF UKRAINE,Ukraine,KYIV,Other
LVIV CITY COUNCIL,Ukraine,LVIV,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
LVIV MUNICIPAL ENTERPRICE LVIVAVTODOR,Ukraine,LVIV,Private for-profit entities (excluding Higher or Secondary Education Establishments)
NATIONAL AEROSPACE UNIVERSITY KHARKIV AVIATION INSTITUTE NAMED BY N ZUKOVSKIY,Ukraine,KHARKIV,Higher or Secondary Education Establishments
UKRAINIAN RESEARCH INSTITUTE OF AVIATION TECHNOLOGY,Ukraine,KIEV,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ZAPOROZHYE MACHINE-BUILDING DESIGN BUREAU PROGRESS STATE ENTERPRISE NAMED AFTER ACADEMICIAN A.G. IVCHENKO,Ukraine,ZAPOROZHYE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
PRIVATE JOINT STOCK COMPANY FED,Ukraine,KHARKIV,Private for-profit entities (excluding Higher or Secondary Education Establishments)
LIMITED LIABILITY COMPANY ANALYTICAL RESEARCH BUREAU FOR NPP SAFETY,Ukraine,KYIV,Private for-profit entities (excluding Higher or Secondary Education Establishments)
IPP CENTRE LLC,Ukraine,KYIV,Private for-profit entities (excluding Higher or Secondary Education Establishments)
YUNASKO-UKRAINE LLC,Ukraine,KYIV,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"LIMITED LIABILITY COMPANY APOWERCAP, LLC APOWERCAP",Ukraine,KYIV,Private for-profit entities (excluding Higher or Secondary Education Establishments)
PRYVATNE PIDPRYIEMSTVO DOMINION,Ukraine,KYIV,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SOLARGAPS LLC,Ukraine,KYIV,Private for-profit entities (excluding Higher or Secondary Education Establishments)
STATE SPACE AGENCY OF UKRAINE,Ukraine,Kyiv,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
NATIONAL AVIATION UNIVERSITY,Ukraine,Kyiv,Higher or Secondary Education Establishments
NATIONAL TECHNICAL UNIVERSITY OF UKRAINE IGOR SIKORSKY KYIV POLYTECHNIC INSTITUTE,Ukraine,KYIV,Higher or Secondary Education Establishments
LIMITED LIABILITY COMPANY POLYTEDA CLOUD,Ukraine,KYIV,Private for-profit entities (excluding Higher or Secondary Education Establishments)
BIOENERGY ASSOCIATION OF UKRAINE,Ukraine,KIEV,Other
PRIVATE ENTERPRISE SOFTPARTNERS,Ukraine,LVIV,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SCIENTIFIC RESEARCH COMPANY ELECTRON-CARAT BRANCH OF PRIVATE JOINT STOCK COMPANY CONCERN-ELECTRON,Ukraine,LVIV,Private for-profit entities (excluding Higher or Secondary Education Establishments)
NACIONALNIJ UNIVERSITET LVIVSKA POLITEHNIKA,Ukraine,LVIV,Higher or Secondary Education Establishments
PASSIVDOM UKRAINE LIMITED LIABILTY COMPANY,Ukraine,KYIV,Private for-profit entities (excluding Higher or Secondary Education Establishments)
LLC BIOSENS UKRAINE,Ukraine,KYIV,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"""ALL-UKRAINIAN CHARITABLE ORGANIZATION """"MUNICIPAL DEVELOPMENT INSTITUTE""""""",Ukraine,KYIV,Research Organisations
FIRMA INSTYTUT ECOLOGII LIUDYNY-INEKO,Ukraine,KYIV,Private for-profit entities (excluding Higher or Secondary Education Establishments)
JOINT STOCK COMPANY NVO CHERNOVA HUILYA,Ukraine,KYIV,Private for-profit entities (excluding Higher or Secondary Education Establishments)
JOINT STOCK COMPANY FARMAK,Ukraine,KIJEV,Private for-profit entities (excluding Higher or Secondary Education Establishments)
INSTITUTE FOR LOW TEMPERATURE PHYSICS AND ENGINEERING of NASU,Ukraine,KHARKIV,Research Organisations
FIATU,Ukraine,KYIV,Private for-profit entities (excluding Higher or Secondary Education Establishments)
FORZA AGENCY FOR SUSTAINABLE DEVELOPMENT OF THE CARPATHIAN REGION NONPROFIT ORGANIZATION,Ukraine,UZHGOROD,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
DISCOPERI UKRAINE LLC,Ukraine,KYIV,Private for-profit entities (excluding Higher or Secondary Education Establishments)
