name,country,city,businessType
"10X GENOMICS, INC.",United States of America,PLEASANTON,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MEDGENOME INC,United States of America,FOSTER CITY,Private for-profit entities (excluding Higher or Secondary Education Establishments)
THE UNIVERSITY OF TEXAS SYSTEM,United States of America,AUSTIN,Higher or Secondary Education Establishments
BioSurface Technologies Corporation,United States of America,Bozeman,Private for-profit entities (excluding Higher or Secondary Education Establishments)
Montana State University Bozeman,United States of America,Bozeman,Higher or Secondary Education Establishments
THE UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,United States of America,CHAPEL HILL,Higher or Secondary Education Establishments
UNIVERSITY OF NORTH TEXAS SYSTEM,United States of America,DALLAS TX,Higher or Secondary Education Establishments
THE BROAD INSTITUTE INC CORPORATION*BROAD INSTITUTE OF MIT AND HARVARD,United States of America,Cambridge,Research Organisations
Woodrow Wilson International Center for Scholars,United States of America,WASHIINGTON DC,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
SRI INTERNATIONAL,United States of America,MENLO PARK,Research Organisations
GEORGIA TECH RESEARCH CORPORATION,United States of America,ATLANTA GA,Research Organisations
HARVARD GLOBAL RESEARCH AND SUPPORT SERVICES INC.,United States of America,CAMBRIDGE,Research Organisations
FLORIDA INTERNATIONAL UNIVERSITY,United States of America,MIAMI,Higher or Secondary Education Establishments
NATIONAL COUNCIL OF UNIVERSITY RESEARCH ADMINISTRATORS,United States of America,WASHINGTON DC,Other
PRESIDENT AND FELLOWS OF HARVARD COLLEGE,United States of America,CAMBRIDGE,Higher or Secondary Education Establishments
ABBVIE INC,United States of America,NORTH CHICAGO IL,Private for-profit entities (excluding Higher or Secondary Education Establishments)
THE J. PAUL GETTY TRUST,United States of America,LOS ANGELES,Other
UNIVERSITY OF WASHINGTON,United States of America,SEATTLE WA,Higher or Secondary Education Establishments
TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,United States of America,NEW YORK,Higher or Secondary Education Establishments
THE REGENTS OF THE UNIVERSITY OF CALIFORNIA,United States of America,OAKLAND CA,Higher or Secondary Education Establishments
FERMI RESEARCH ALLIANCE LLC,United States of America,BATAVIA IL,Other
NEW YORK UNIVERSITY,United States of America,NEW YORK,Higher or Secondary Education Establishments
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,United States of America,CAMBRIDGE,Higher or Secondary Education Establishments
Argonne National Laboratory,United States of America,Argonne,Other
Arizona University,United States of America,Tucson,Higher or Secondary Education Establishments
Caterpilar Fuel systems,United States of America,Pontiac,Private for-profit entities (excluding Higher or Secondary Education Establishments)
Sandia Corporation,United States of America,Albuquerque,Private for-profit entities (excluding Higher or Secondary Education Establishments)
Virginia Commonweath University,United States of America,Richmond,Higher or Secondary Education Establishments
NORTH CAROLINA STATE UNIVERSITY,United States of America,RALEIGH,Higher or Secondary Education Establishments
"GEORGE MASON RESEARCH FOUNDATION, INC",United States of America,FAIRFAX,Research Organisations
Boston College,United States of America,"Chestnut Hill, Massachusetts",Higher or Secondary Education Establishments
FORDHAM UNIVERSITY CORP,United States of America,NEW YORK,Higher or Secondary Education Establishments
THE BOARD OF TRUSTEES OF THE UNIVERSITY OF ILLINOIS,United States of America,CHAMPAIGN,Higher or Secondary Education Establishments
UCHICAGO ARGONNE LLC,United States of America,CHICAGO IL,Other
THE COLLEGE OF EXPLORATION,United States of America,Potomac Falls,Other
BOARD OF TRUSTEES OF THE LELAND STANFORD JUNIOR UNIVERSITY,United States of America,STANFORD,Higher or Secondary Education Establishments
SYRACUSE UNIVERSITY,United States of America,SYRACUSE NY,Higher or Secondary Education Establishments
TRUSTEES OF PRINCETON UNIVERSITY,United States of America,"PRINCETON, NJ",Higher or Secondary Education Establishments
CALIFORNIA INSTITUTE OF TECHNOLOGYCORP,United States of America,PASADENA,Higher or Secondary Education Establishments
WOODS HOLE OCEANOGRAPHIC INSTITUTION,United States of America,WOODS HOLE,Higher or Secondary Education Establishments
UNIVERSITY OF MICHIGAN THE REGENTS OF THE UNIVERSITY OF MICHIGAN,United States of America,ANN ARBOR,Higher or Secondary Education Establishments
The Curators of the University of Missouri,United States of America,Columbia,Higher or Secondary Education Establishments
JEFFERSON SCIENCE ASSOCIATES LLC,United States of America,WASHINGTON,Private for-profit entities (excluding Higher or Secondary Education Establishments)
IOWA STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY,United States of America,AMES,Higher or Secondary Education Establishments
FARADAY TECHNOLOGY INC.,United States of America,"ENGLEWOOD, OHIO",Private for-profit entities (excluding Higher or Secondary Education Establishments)
