name,country,city,businessType
Tashkent State Technical University named after Abu Raikhman Beruni,Uzbekistan,Tashkent,Higher or Secondary Education Establishments
JAHON OITISODIYOTI VA DIPLOMATIVA UNIVERSITETI,Uzbekistan,TASHKENT,Higher or Secondary Education Establishments
ION-PLAZMA VA LAZER TEXNOLOGIYALARI INSTITUTI - INSTITUTE OF ION-PLASMA AND LASER TECHNOLOGIES OF UZBEKISTAN ACADEMY OF SCIENCES IP&LT,Uzbekistan,TASHKENT,Other
TOSHKENT SHAHRIDAGI XALQARO WESTMINSTER UNIVERSITETI,Uzbekistan,TASHKENT,Higher or Secondary Education Establishments
O ZBEKISTON RESPUBLIKASI BOSH PROKURATURASI AKADEMIYASI,Uzbekistan,TASHKENT,Higher or Secondary Education Establishments
RESPUBLIKA ONKOLOGIYA ILMIY MARKAZI,Uzbekistan,TASKENT,Other
TOSHKENT SHAHRIDAGI TURIN POLITEXNIKA UNIVERSITETI,Uzbekistan,TASHKENT,Higher or Secondary Education Establishments
Samarkand Medical Institute,Uzbekistan,Samarkand,Unknown
Physical and Technical Institute 'Physics-Sun' - Uzbek Academy of Sciences,Uzbekistan,Tashkent,Unknown
Institute of Microbiology of the Academy of Sciences of Uzbekistan,Uzbekistan,Tashkent,Unknown
Institute of water Purification and Irrigation,Uzbekistan,Tashkent,Unknown
"Research Institute for Epidemiology, Microbiology and Infectious Diseases",Uzbekistan,Tashkent,Unknown
Institute of Water Problems - Uzbek Academy of Sciences,Uzbekistan,Tashkent,Unknown
"Scientific Research and Design survey Association ""Vodproject""",Uzbekistan,Tashkent,Unknown
Agency for Promotion of Research and Innovative Projects at the State Committee On Science and Technology of the Republic of Uzbekistan (Aprip),Uzbekistan,Toshkent,Unknown
Central Asia Research Hydrometeorological Institute - Academy of Science of Uzbekistan,Uzbekistan,Tashkent,Unknown
TASHKENT INSTITUTE OF ENGINEER FOR IRRIGATION AND AGRICULTURAL MECHANIZATION,Uzbekistan,TASHKENT,Unknown
CENTRAL ASIAN SCIENTIFIC RESEARCH INSTITUTE FOR IRRIGATION,Uzbekistan,TASHKENT,Unknown
