name,country,city,businessType
Asociacion de Universidades confiadas a la Compania de Jesus en America Latina,Venezuela,Chacao,Other
INSTITUTO VENEZOLANO DE INVESTIGACIONES CIENTIFICAS,Venezuela,ALTOS DE PIPE,Higher or Secondary Education Establishments
UNIVERSIDAD CENTRAL DE VENEZUELA,Venezuela,CARACAS,Higher or Secondary Education Establishments
UNIVERSIDAD SIMON BOLIVAR,Venezuela,CARACAS,Higher or Secondary Education Establishments
UNIVERSIDAD DE CARABOBO,Venezuela,Valencia,Higher or Secondary Education Establishments
Universidad Central de Venezuela,Venezuela,Caracas,Unknown
UNIVERSIDAD CENTRAL DE VENEZUELA,Venezuela,CARACAS,Unknown
Instituto Venezolano de Investigaciones CientÃ­ficas,Venezuela,Altos de Pipe,Unknown
Fondo Nacional de Investigaciones Agropecuarias,Venezuela,Maracay,Unknown
Universidado Centro Occidental 'Lisandro Alvarado',Venezuela,Barquisimeto,Unknown
Universidad de Carabobo,Venezuela,"Maracay, Edo, Carabobo",Unknown
Universidad de Los Andes,Venezuela,MÃ©rida,Unknown
Instituto Venezolano de Investigaciones CientÃ²ficas,Venezuela,Caracas,Unknown
Universidad de Los Andes,Venezuela,Merida,Unknown
INSTITUTO VENEZOLANO DE INVESTIGACIONES CIENTIFICAS,Venezuela,CARACAS,Unknown
Universidad de Oriente Nucleo de Sucre,Venezuela,Cumana,Unknown
Universidad de Carabobo,Venezuela,Maracay,Unknown
Centre de Estudios Integrales del Ambiente,Venezuela,Caracas,Unknown
FUNDACION MOMENTO DE LA GENTE,Venezuela,CARACAS,Unknown
INSTITUTO VENEZOLANO DE INVESTIGACIONES CIENTÃFICAS,Venezuela,ESTADO MIRANDA,Unknown
CENTRO DE INVESTIGACIONES EN ECOLOGÃA Y ZONAS ÃRIDAS. UNIVERSIDAD NACIONAL EXPERIMENTAL FRANCISCO DE MIRANDA,Venezuela,CORO-FALCÃN,Unknown
CENTRO NACIONAL DE TECNOLOGIAS DE INFORMACION,Venezuela,CARACAS,Unknown
FEDERACION PANAMERICANA DE ASOCIACIONES DE FACULTADES DE ESCUELAS DE MEDICINA,Venezuela,CARACAS,Unknown
UNIVERSITY OF THE ANDES,Venezuela,TRUJILLO,Unknown
CENTRO DE INGENIERÃA GENÃTICA-UNIVERSIDAD DE LOS ANDES,Venezuela,"MÃRIDA, MÃRIDA",Unknown
UNIVERSIDAD DE CARABOBO - CENTRO DE INVESTIGACIONES BIOMÃDICAS-CENTRO NACIONAL DE REFERENCIA DE FLEBOTOMOS DE VENEZUELA,Venezuela,MARACAY,Unknown
UNIVERSIDAD SIMÃN BOLÃVAR,Venezuela,CARACAS,Unknown
UNIVERSIDAD DE LOS ANDES,Venezuela,MERIDA,Unknown
MINISTERIO DEL AMBIENTE Y DE LOS RECURSOS NATURALES,Venezuela,CARACAS,Unknown
GRUPO DE INVESTIGACIÃN MANEJO MULTIPLE DE ECOSISTEMAS FORESTALES,Venezuela,MÃRIDA,Unknown
Corporacion Parque Tecnologico de Merida,Venezuela,Merida,Research Organisations
UNIVERSIDAD DE LOS ANDES,Venezuela,MERIDA,Higher or Secondary Education Establishments
CORPORACION ANDINA DE FOMENTO,Venezuela,CARACAS,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
