name,country,city,businessType
TRUONG DAI HOC LUAT TP.HCM,Vietnam,HO CHI MINH CITY,Higher or Secondary Education Establishments
TRUONG DAI HOC NHA TRANG,Vietnam,NHA TRANG KHANH HOA,Higher or Secondary Education Establishments
UNIVERSITY OF TRANSPORT TECHNOLOGY,Vietnam,HANOI,Higher or Secondary Education Establishments
HANOI DEPARTMENT OF TRANSPORT,Vietnam,HA DONG,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
THAI NGUYEN UNIVERSITY OF MEDICINE AND PHARMACY,Vietnam,THAI NGUYEN,Higher or Secondary Education Establishments
INSTITUTE OF HEALTH STRATEGY AND POLICY,Vietnam,HANOI,Other
UNIVERSITY OF ENGINEERING AND TECHNOLOGY - VIETNAM NATIONAL UNIVERSITY - HA NOI,Vietnam,HANOI,Higher or Secondary Education Establishments
CAN THO UNIVERSITY,Vietnam,Can Tho City,Higher or Secondary Education Establishments
TRUONG DAI HOC Y DUOC TP.HCM,Vietnam,HO CHI MINH CITY,Higher or Secondary Education Establishments
TRUONG DAI HOC CONG NGHE TP HCM,Vietnam,HO CHI MINH,Higher or Secondary Education Establishments
VIETNAM ACADEMY OF AGRICULTURAL SCIENCES,Vietnam,HANOI,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
TRUONG DAI HOC BACH KHOA HANOI - HANOI UNIVERSITY OF SCIENCE AND TECHNOLOGY HUST,Vietnam,HANOI,Higher or Secondary Education Establishments
BIN DINH PEOPLE'S COMMITTEE,Vietnam,QUY NHON,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
CONG TY TNHH DAI HOC RMIT VIET NAM,Vietnam,HO CHI MINH CITY,Higher or Secondary Education Establishments
TRUONG DAI HOC KINH TE THUOC DAI HOC QUOC GIA HANOI,Vietnam,HANOI,Higher or Secondary Education Establishments
CONG TY TNHH LUONG THUC TAN VUONG,Vietnam,AN GIANG,Private for-profit entities (excluding Higher or Secondary Education Establishments)
CONGTY TNHH HOA LAM,Vietnam,PHU YEN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
TRUONG DAI HOC NONG LAM - THANH PHO HO CHI MINH,Vietnam,HO CHI MINH CITY,Higher or Secondary Education Establishments
NATIONAL INSTITUTE OF ANIMAL SCIENCE,Vietnam,HANOI,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
TRUONG DAI HOC QUOC TE,Vietnam,HO CHI MINH,Higher or Secondary Education Establishments
TRUONG DAI HOC KINH TE THANH PHO HO CHI MINH,Vietnam,HO CHI MINH,Higher or Secondary Education Establishments
DAI HOC Y KHOA PHAM NGOC THACH (PHAM NGOC THACH UNIVERSITY OF MEDICINE),Vietnam,HO CHI MINH CITY,Higher or Secondary Education Establishments
CONG TY TNHH DIGITAL IDENTITY,Vietnam,HO CHI MINH,Private for-profit entities (excluding Higher or Secondary Education Establishments)
VIEN KHOA HOC CONG NGHE VINASA,Vietnam,HANOI,Other
TRUONG DAI HOC TON DUC THANG,Vietnam,HO CHI MINH,Higher or Secondary Education Establishments
VIEN KHOA HOC XA HOI VIET NAM,Vietnam,HANOI,Research Organisations
TRUONG DAI HOC SAI GON,Vietnam,HO CHI MINH,Higher or Secondary Education Establishments
National Centre for Human Resources for Health,Vietnam,Hanoi,Unknown
University of Can Tho,Vietnam,"Can Tho, Province Hau Giang",Unknown
Institut National des Sciences Agronomiques / Vien Khoa Hoc Ky Thuat Nong Nghiep,Vietnam,Ha Son Binh,Unknown
Institut de G̩ographie,Vietnam,Hanoi - Nghia Do Tu Liem,Unknown
Institute of Oceanography,Vietnam,Nha Trang,Unknown
Hanoi National Pedagogic University,Vietnam,Hanoi,Unknown
Ho Chi Minh City University of Technology,Vietnam,Ho Chi Minh City,Unknown
Center for Social Sciences for Health,Vietnam,Hanoi City,Unknown
National Center for Natural Science and Technology,Vietnam,Hanoi,Unknown
"Institute of Malariology, Parasitology & Entomology",Vietnam,Hanoi,Unknown
First Pediatric Hospital of Ho Chi Minh City,Vietnam,Ho Chi Minh City,Unknown
Ha Noi College of Pharmacy,Vietnam,Ha Noi,Unknown
Cantho University,Vietnam,Cantho City,Unknown
Institute of Agricultural Science of South Vietnam,Vietnam,Ho Chi Minh City,Unknown
Vietnam Agricultural Science Institute,Vietnam,Hanoi,Unknown
"Centre for Marine Environment Survey, Research and Consultation",Vietnam,Vien Co Hoc,Unknown
Institute of Vaccines and Biological Substances,Vietnam,58 Nha Trang,Unknown
Institute of Agricultural Genetics,Vietnam,Hanoi,Unknown
HANOI AGRICULTURAL UNIVERSITY,Vietnam,HANOI,Unknown
RESEARCH INSTITUTE OF MARINE PRODUCTS,Vietnam,HAIPHONG,Unknown
