name,country,city,businessType
UNIVERSITY OF ZAMBIA,Zambia,LUSAKA,Higher or Secondary Education Establishments
MINISTRY OF HEALTH,Zambia,LUSAKA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
THE SURGICAL SOCIETY OF ZAMBIA,Zambia,LUSAKA,Higher or Secondary Education Establishments
CHOMA MUNICIPAL COUNCIL,Zambia,Choma,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
WORLD WIDE FUND FOR NATURE (WWF) ZAMBIA,Zambia,LUSAKA,Other
Misamfu Research Station,Zambia,Kasama,Unknown
MinistÃšre de l'Agriculture,Zambia,Lusaka,Unknown
University of Zambia,Zambia,Lusaka,Unknown
Ministry of Health of Zambia,Zambia,Lusaka,Unknown
University Teaching Hospital,Zambia,Lusaka,Unknown
Central Veterinary Research Institute,Zambia,Lusaka,Unknown
Misamfy Regional Research Center,Zambia,Kasama,Unknown
Tropical Diseases Research Centre,Zambia,Ndola,Unknown
Forest Department,Zambia,Kitwe,Unknown
"CENTRE FOR ENERGY, ENVIRONMENT AND ENGINEERING ZAMBIA LTD",Zambia,LUSAKA,Unknown
DEPARTMENT OF FISHERIES,Zambia,CHILANGA,Unknown
ENERGY AND ENVIRONMENTAL CONCERNS FOR ZAMBIA,Zambia,LUSAKA,Unknown
UNIVERSITY OF ZAMBIA,Zambia,LUSAKA,Unknown
TRADITIONAL HEALTH PRACTITIONERS' ASSOCIATION OF ZAMBIA,Zambia,LUSAKA,Unknown
UNIVERSITY TEACHING HOSPITAL,Zambia,LUSAKA,Unknown
SOILS AND CROPS RESEARCH BRANCH,Zambia,SOLWEZI,Unknown
"CENTER FOR ENERGY, ENVIRONMENT AND ENGINEERING ZAMBIA LTD.",Zambia,LUSAKA,Unknown
TROPICAL DISEASES RESEARCH CENTER,Zambia,NDOLA,Unknown
UNIVERSITY OF ZAMBIA,Zambia,LUSKAKA,Unknown
AQUACULTURE AND FISHERIES INFORMATION CENTRE,Zambia,KAFUE,Unknown
UNIVERSITY OF BELGRADE,Zambia,BELGRADE,Unknown
TROPICAL DISEASES RESEARCH CENTRE,Zambia,NDOLA,Unknown
DEPARTMENT OF RESEARCH AND SPECIALIST SERVICES-MINISTRY OF AGRICULTURE AND COOPERATIVES,Zambia,CHILANGA,Unknown
"UNIVERSITY OF ZAMBIA, SCHOOL OF MEDICINE",Zambia,LUSAKA,Unknown
GOLDEN VALLEY AGRICULTURAL RESEARCH TRUST,Zambia,LUSAKA,Research Organisations
TROPICAL DISEASES RESEARCH CENTRE,Zambia,NDOLA,Research Organisations
ZAMBIA FORUM FOR HEALTH RESEARCH,Zambia,LUSAKA,Other
Ministry of Communications and Transport,Zambia,Lusaka,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
PARTICIPATORY ECOLOGY LAND USE MANAGEMENT,Zambia,LUSAKA,Other
